GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
YY	10.5	2.911	0.95330782	-2.35912	-3.2830761	0.92639081	-3.2829809	0.87427114	1.0233326	-3.1256232	a248bdd	2x2_2C_8b_C2v_L	9.68	validity_data_2022.py	2.5187715e-06	0.96194007	-1.5303669	7.2651148e-06	1.5303507	6.8202629e-06	1.6869477e-06	-2.0562468	2024-08-13@16:38	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	1.0372393	-2.3836558	-3.299943	0.96546153	-3.3000206	0.90988212	1.0678258	-3.1384789	a248bdd	2x2_2C_8b_C2v_L	9.69	validity_data_2022.py	1.0647706e-05	0.96479104	-1.5321794	1.1291464e-05	1.532189	5.149037e-06	-6.2460279e-06	-2.0574091	2024-08-13@16:38	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	1.1420884	-2.4082213	-3.3171398	0.99504286	-3.3171819	0.96633493	1.1235405	-3.1513846	a248bdd	2x2_2C_8b_C2v_L	9.7	validity_data_2022.py	-8.4547807e-07	0.9676151	-1.534028	2.8594315e-06	1.5340377	-1.1890318e-06	2.5906536e-07	-2.0585661	2024-08-13@16:39	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	1.3755853	-2.4323652	-3.334082	1.0115709	-3.3340783	1.1085473	1.2498298	-3.1642293	a248bdd	2x2_2C_8b_C2v_L	9.71	validity_data_2022.py	-5.5277103e-08	0.97034887	-1.5358093	-3.0217866e-09	1.5358087	-1.9132078e-07	-1.1495199e-07	-2.0596874	2024-08-13@16:39	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	1.773381	-2.4561525	-3.3508483	1.0134727	-3.3508531	1.3617068	1.4346279	-3.1769819	a248bdd	2x2_2C_8b_C2v_L	9.72	validity_data_2022.py	5.0574781e-07	0.97300524	-1.5375402	1.3686595e-07	1.5375411	-3.6671136e-07	9.4156833e-07	-2.0607703	2024-08-13@16:40	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	2.3609587	-2.4796606	-3.3674954	1.0124834	-3.3674989	1.7574712	1.7062282	-3.1896609	a248bdd	2x2_2C_8b_C2v_L	9.73	validity_data_2022.py	-5.0791106e-07	0.97559791	-1.5392344	-2.9991496e-08	1.5392345	2.7648092e-07	9.8378212e-08	-2.0618217	2024-08-13@16:40	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	3.1689039	-2.5028478	-3.3839947	0.99305273	-3.3839944	2.2186327	2.1091005	-3.2022573	a248bdd	2x2_2C_8b_C2v_L	9.74	validity_data_2022.py	-2.0240809e-07	0.97812155	-1.5408873	-1.248058e-07	1.5408875	2.6721634e-08	1.6603134e-07	-2.0628411	2024-08-13@16:40	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	4.155437	-2.5257384	-3.400343	1.0573665	-3.4003419	2.8296778	2.6187528	-3.2147665	a248bdd	2x2_2C_8b_C2v_L	9.75	validity_data_2022.py	-1.3812199e-07	0.98058141	-1.5425001	2.3292069e-07	1.5424999	-3.2153539e-07	-3.8121506e-07	-2.0638277	2024-08-13@16:41	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	5.3694499	-2.5483445	-3.416546	1.2250509	-3.4165478	3.5795292	3.3097381	-3.2271959	a248bdd	2x2_2C_8b_C2v_L	9.76	validity_data_2022.py	2.7599308e-07	0.98298026	-1.5440741	7.6625288e-08	1.5440743	6.6109129e-08	2.4972169e-07	-2.0647845	2024-08-13@16:41	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	6.8360606	-2.5706777	-3.4326112	1.5246722	-3.4326097	4.5074698	4.1688655	-3.2395417	a248bdd	2x2_2C_8b_C2v_L	9.77	validity_data_2022.py	4.0589048e-07	0.9853207	-1.5456112	2.1832922e-08	1.545611	-1.9577283e-07	6.1386565e-08	-2.0657109	2024-08-13@16:41	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	8.5981524	-2.5927427	-3.4485333	1.9676654	-3.4485318	5.6155696	5.241729	-3.2518037	a248bdd	2x2_2C_8b_C2v_L	9.78	validity_data_2022.py	-3.1535764e-08	0.98760431	-1.5471112	-4.0577338e-08	1.5471108	5.7133443e-08	-3.6179107e-07	-2.066607	2024-08-13@16:42	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	10.703981	-2.6145486	-3.4643127	2.5600858	-3.4643111	6.9138511	6.5934042	-3.2639848	a248bdd	2x2_2C_8b_C2v_L	9.79	validity_data_2022.py	-2.5705517e-07	0.98983327	-1.5485742	-1.5439302e-07	1.5485738	1.9931462e-08	1.0692809e-06	-2.0674742	2024-08-13@16:42	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	13.201363	-2.6361085	-3.4799545	3.2980903	-3.479954	8.4707159	8.2928255	-3.2760846	a248bdd	2x2_2C_8b_C2v_L	9.8	validity_data_2022.py	-3.3230234e-07	0.99201023	-1.5500017	-1.2191216e-07	1.5500016	-1.9373367e-07	1.5785208e-07	-2.0683125	2024-08-13@16:42	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	16.147704	-2.6574263	-3.4954613	4.1916379	-3.4954593	10.301862	10.366655	-3.288104	a248bdd	2x2_2C_8b_C2v_L	9.81	validity_data_2022.py	-1.5456062e-08	0.99413643	-1.5513945	3.7570326e-07	1.5513942	2.7819143e-07	-2.0698826e-07	-2.0691225	2024-08-13@16:43	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	19.560509	-2.6785123	-3.51083	5.2625542	-3.5108325	12.437331	12.822395	-3.3000439	a248bdd	2x2_2C_8b_C2v_L	9.82	validity_data_2022.py	-3.9411447e-07	0.99621403	-1.5527524	-7.2193921e-07	1.5527529	-8.0779777e-07	6.4914592e-08	-2.0699047	2024-08-13@16:43	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	23.443745	-2.6993717	-3.5260695	6.5855233	-3.5260702	14.844807	15.680137	-3.3119049	a248bdd	2x2_2C_8b_C2v_L	9.83	validity_data_2022.py	-1.3213097e-07	0.99824441	-1.5540774	-1.3215184e-08	1.5540775	-5.5084916e-07	-1.0366282e-06	-2.0706595	2024-08-13@16:43	1.9306	1	0.2821	v2.7.1	
