D	D_ave	E0_1	E0_2	E_kin	U	U_1_ave	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
0	0.02277972268	-86.55600111	-113.4704	10.17569448	14	0.1947902662	4.0781	2	1.237152968	0.02817793502	0.1919546016	-3.942375102	1.932191345	-4.357672856	1.7159471	-0.305711894	1.650209822	-4.358030621	1.716562994	-0.3056950985	1.648316485	0.3843404318	0.01587359145	-3.411397907	1.379194939	a248bdd	2x2_2C_8b_C2v_L	11.17	1.161838363	2	1.623063296	0.9999999997090229	1.0	0.0004424596262	-0.003014421264	0.0001233036369	-0.0001610174131	0.01554520998	0.2011452993	-0.3033883688	1.304996934	0.01518775853	0.201617143	-0.3036947065	1.31243489	0.0004709110858	-0.001811859622	-0.0002092551065	-0.000106552703	boucle.py	R0:S0:1	uncorrelated	-0.1530840877	1.375274735	-1.319292328	0.7075848571	1.99398858	-1.890659706	0.0644665491	-0.6576765007	-1.994118491	1.887315454	-0.06366692485	0.6545294412	0.4198583378	-0.3711375162	-2.518452677	3.005791395	2025-01-09@10:43	2.1719	-0.6580709632	1	-1.233624044e-17	-0.2401198018	0.1609	-9.9261356e-17	0.0997437444	v2.7.1	
0	0.02145688517	-80.38655457	-113.4704	10.33264824	14	0.1855289574	4.0781	2	1.241981852	-0.00697884974	0.2027779089	-2.913646885	1.929810215	-3.79179548	1.754332597	-0.1571202641	1.612327778	-3.791862728	1.753900724	-0.1552833728	1.612127073	0.2252384462	0.01308388165	-3.469619136	1.464007371	a248bdd	2x2_2C_8b_C2v_L	11.17	1.162176652	2	1.619656884	0.9999999997629658	1.0	-0.0016645234	0.01715798951	-0.0002186031624	0.001043098478	0.01811123552	0.1559076421	-0.1992244905	1.176153273	0.01833213683	0.1546428671	-0.1983079668	1.170417823	-0.0007483003503	0.003368760073	0.0003153516738	-2.050643487e-05	boucle.py	R0:S0:1	uncorrelated	-0.1409904928	1.26401508	-1.090047489	0.7306073362	1.756041031	-1.730303692	0.08710854099	-0.7538059757	-1.755616182	1.732751306	-0.08817320201	0.7592126354	0.2876527244	-0.2910236564	-2.34505327	2.819031909	2025-01-09@10:43	2.1719	-0.6488619658	1	-1.233624044e-17	-0.2266283981	0.1609	-9.9261356e-17	0.09435419947	v2.7.1	
0	0.02122969028	-80.33161538	-113.4704	10.32202335	14	0.1855982934	4.0781	2	1.241611481	-0.004670365289	0.2051131172	-2.919496984	1.930115725	-3.798443651	1.750451565	-0.1234452655	1.555073971	-3.798435792	1.750309771	-0.124110977	1.555988929	0.1749784089	0.01227958804	-3.479357249	1.458229245	a248bdd	2x2_2C_8b_C2v_L	11.17	1.16185458	2	1.619918567	0.9999999997093891	1.0	-0.001448737597	0.01452287173	-1.204714026e-07	4.119245506e-05	0.01418514132	0.1512823903	-0.1833992805	1.20944876	0.01417296708	0.1516818463	-0.1833243897	1.207190389	8.55109645e-06	-0.0003175110851	0.0001002913975	-0.0003546068525	boucle.py	R0:S0:1	uncorrelated	-0.1372489684	1.256576893	-1.09143574	0.7302557518	1.762957245	-1.742462028	0.08140641366	-0.7786670175	-1.762948828	1.743167332	-0.08150985982	0.7797809021	0.2615794531	-0.2713724965	-2.355753901	2.83229799	2025-01-09@10:44	2.1719	-0.6491408584	1	-1.233624044e-17	-0.2281244992	0.1609	-9.9261356e-17	0.09479301189	v2.7.1	
0	0.0208474929	-80.32303516	-113.4704	10.30573644	14	0.1853561783	4.0781	2	1.241240074	0.001296794333	0.2139192025	-2.930422436	1.929302704	-3.804483488	1.750143245	-0.1137323541	1.51411618	-3.80456816	1.750249838	-0.1127979231	1.512712466	0.1640026262	0.01305920701	-3.474736423	1.456461539	a248bdd	2x2_2C_8b_C2v_L	11.17	1.161423961	2	1.619072072	0.9999999997352759	1.0	-0.001461071482	0.01303122138	0.0001159243817	-0.0002536780924	0.01280120056	0.1442580528	-0.1848032442	1.25213764	0.01271585593	0.1440540728	-0.184694459	1.255219188	0.0002402020729	-0.001027573915	-0.0001343487772	0.0002619115512	boucle.py	R0:S0:1	uncorrelated	-0.1388023483	1.267072556	-1.092908905	0.737272572	1.764026305	-1.743022623	0.07315121963	-0.757853144	-1.764053274	1.742410864	-0.07248990337	0.7545457821	0.2627236709	-0.2762386257	-2.352739322	2.833270157	2025-01-09@10:45	2.1719	-0.6506580645	1	-1.233624044e-17	-0.2287969947	0.1609	-9.9261356e-17	0.09512477522	v2.7.1	
0	0.02046026383	-80.33738872	-113.4704	10.3186319	14	0.1854062526	4.0781	2	1.241586578	0.002342326007	0.2069854782	-2.932663962	1.930106601	-3.804953109	1.751379106	-0.1160645694	1.534414978	-3.805032818	1.751099272	-0.1163461698	1.535590679	0.1674133193	0.01300517916	-3.474374887	1.459814152	a248bdd	2x2_2C_8b_C2v_L	11.17	1.161825009	2	1.619252165	0.9999999997481297	1.0	-0.001415489611	0.01231564094	-0.0001264866023	0.0001861679871	0.01185707008	0.1447938458	-0.186995203	1.24030189	0.01198300185	0.1446535425	-0.1868322343	1.23539639	-0.0004512128004	0.002396262518	8.848574474e-05	0.0001286104716	boucle.py	R0:S0:1	uncorrelated	-0.1382931076	1.252436746	-1.093486081	0.7323762934	1.76490732	-1.739260673	0.0677190732	-0.7205308553	-1.764814798	1.740916535	-0.06854653796	0.7248861413	0.2645814244	-0.2771150572	-2.352159967	2.826899076	2025-01-09@10:45	2.1719	-0.6498008847	1	-1.233624044e-17	-0.2277155785	0.1609	-9.9261356e-17	0.09476609712	v2.7.1	
0	0.02045054001	-80.34081924	-113.4704	10.32259187	14	0.1854594822	4.0781	2	1.241667214	0.001502458695	0.2055889961	-2.932789549	1.93020952	-3.804881289	1.751169471	-0.1164054384	1.540645509	-3.80497511	1.751063552	-0.116604275	1.541254018	0.1680288532	0.01281594555	-3.474145304	1.459834933	a248bdd	2x2_2C_8b_C2v_L	11.17	1.16190893	2	1.619489372	0.9999999997271838	1.0	-0.001420273777	0.01252650578	-1.840160441e-05	1.960724045e-05	0.01186969553	0.145418286	-0.1858020654	1.2313854	0.01210511543	0.1452544211	-0.1856782172	1.229075625	-0.0001519234	0.0007620326524	0.0001045081852	-5.022573104e-05	boucle.py	R0:S0:1	uncorrelated	-0.1381247825	1.251176041	-1.093950313	0.7314941155	1.765616691	-1.740244355	0.06874570673	-0.723760089	-1.765518762	1.74089962	-0.06907999361	0.7257381176	0.2632449849	-0.2753474576	-2.352949544	2.827259007	2025-01-09@10:46	2.1719	-0.6493891938	1	-1.233624044e-17	-0.2276083834	0.1609	-9.9261356e-17	0.09470271984	v2.7.1	
0	0.02080063905	-80.35412017	-113.4704	10.31246541	14	0.1854046306	4.0781	2	1.241385523	-0.002225712664	0.2133328275	-2.935124256	1.929310439	-3.805790206	1.750309183	-0.1169199968	1.528458082	-3.805860487	1.750535624	-0.1167636823	1.527457733	0.1688218808	0.01301685371	-3.473770746	1.456971184	a248bdd	2x2_2C_8b_C2v_L	11.17	1.161537632	2	1.619402484	0.999999999612442	1.0	-0.001432719857	0.01367712053	4.88926528e-05	-0.0001417250129	0.01387967631	0.1445259749	-0.1845541017	1.236933195	0.01337158749	0.1450648421	-0.1848648491	1.241852582	0.0004876992291	-0.00250697088	-0.0003007677491	8.943784002e-05	boucle.py	R0:S0:1	uncorrelated	-0.1383604869	1.266194052	-1.09420557	0.7368422607	1.764851212	-1.742898744	0.07505730044	-0.7610542305	-1.765154058	1.741508628	-0.0742477489	0.7565450186	0.2639888919	-0.2766659472	-2.353012571	2.832407237	2025-01-09@10:46	2.1719	-0.6500126388	1	-1.233624044e-17	-0.2285290427	0.1609	-9.9261356e-17	0.09500100879	v2.7.1	
0	0.02053919812	-80.35074816	-113.4704	10.32006089	14	0.1854474331	4.0781	2	1.241596355	0.0005379033966	0.2075232941	-2.935027215	1.92999218	-3.805686615	1.750954948	-0.1167557806	1.537912181	-3.805786103	1.750955526	-0.1168316452	1.538006751	0.1682952447	0.01287167813	-3.473806678	1.459100611	a248bdd	2x2_2C_8b_C2v_L	11.17	1.161815741	2	1.619469214	0.9999999996737075	1.0	-0.001424869281	0.01281476333	-1.791472305e-06	1.999782017e-06	0.01246980399	0.1450937316	-0.1855762025	1.232574751	0.01252635241	0.1450581104	-0.1855883342	1.232388104	5.785014143e-06	-3.810394172e-05	1.502130094e-05	-2.36658373e-05	boucle.py	R0:S0:1	uncorrelated	-0.1381865393	1.254988814	-1.094323452	0.7328424824	1.765586534	-1.740962027	0.07040893784	-0.7333361842	-1.765601899	1.740983602	-0.0704570384	0.733567336	0.2635609034	-0.2757921382	-2.352942339	2.828544395	2025-01-09@10:47	2.1719	-0.6495441773	1	-1.233624044e-17	-0.2278385303	0.1609	-9.9261356e-17	0.09477769527	v2.7.1	
D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
