CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	-71.98154446	-64	23.20750282	YY	11.6	0.4133763276	self-energy	sharp_wc_2_b_50	8	2	1.156063759	0.07208146474	0.3469538685	-1.619958133	1.857588421	0.153882589	0.9146030444	-2.049230493	1.644919279	-2.047158593	1.643346509	0.1519824171	0.9184078093	0.1976593198	0.01040766576	-1.904494923	1.062971494	a248bdd	2x2_2C_8b_C2v_L	12	1.400200477	2	1.610228754	1.4002004771193217	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1748835163	-1.893689101	-0.8294037796	0.8076511736	-0.2653550012	2.474883689	1.19406402	-1.74639445	-1.19349747	1.751582134	-0.2645065942	2.474138843	0.2715987683	-0.3725467588	1.680748985	-3.511608263	2024-07-18@12:39	1.5	-0.7926509685	1	1.668139686e-16	-0.4282124882	1	3.314967962e-16	0.1045131457	v2.7.1	
2	Broyden	-71.96189283	-63.92	23.18833877	YY	11.6	0.4132392286	self-energy	sharp_wc_2_b_50	8	2	1.155593031	0.07461850974	0.349359918	-1.621558763	1.857251829	0.1563368948	0.9150695094	-2.049216285	1.645291823	-2.047863316	1.645208714	0.1564461241	0.914975819	0.2005996823	0.01046147891	-1.900898777	1.062339224	a248bdd	2x2_2C_8b_C2v_L	11.995	1.400010421	2	1.60947939	1.400010421199482	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.176348342	-1.901796524	-0.8300268274	0.8099908106	-0.2666792134	2.478258832	1.194498798	-1.74603231	-1.194209139	1.746018998	-0.2666448719	2.477984847	0.2728406459	-0.3740167323	1.681030716	-3.51223388	2024-07-18@12:41	1.5	-0.793859708	1	-1.306686107e-17	-0.4289043283	1	2.520176519e-16	0.1043959021	v2.7.1	
2	Broyden	-71.93254113	-63.84	23.17408736	YY	11.6	0.4127961597	self-energy	sharp_wc_2_b_50	8	2	1.155222229	0.07497597826	0.3511050569	-1.621116611	1.856694487	0.1569406226	0.9160103456	-2.048574067	1.644985328	-2.047096948	1.644773184	0.1568826354	0.9162399943	0.2013306971	0.01049693873	-1.89731252	1.061666395	a248bdd	2x2_2C_8b_C2v_L	11.99	1.399507067	2	1.608949533	1.399507067198467	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1767752749	-1.905623209	-0.8304191364	0.8124898348	-0.2672621459	2.478921264	1.195021546	-1.747503239	-1.194693734	1.747926449	-0.2671575743	2.47859576	0.2733979117	-0.3748308909	1.681275792	-3.512485658	2024-07-18@12:43	1.5	-0.7946113728	1	-3.314100088e-16	-0.4295083959	1	-2.775231212e-16	0.1043434126	v2.7.1	
1	Broyden	-71.92253633	-63.76	23.15682636	YY	11.6	0.4125480358	self-energy	sharp_wc_2_b_50	8	2	1.154788948	0.07759112924	0.3529959485	-1.623098986	1.856507419	0.1589882096	0.9164337823	-2.049020186	1.645293891	-2.048549242	1.646233434	0.1604604925	0.9137562325	0.2035488538	0.01056947893	-1.896323123	1.061413702	a248bdd	2x2_2C_8b_C2v_L	11.985	1.399199028	2	1.608293372	1.3991990278782054	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1782963373	-1.912545602	-0.8311961727	0.8143136014	-0.2684547014	2.481655653	1.195673526	-1.747284315	-1.195668629	1.743785439	-0.2689857912	2.481774449	0.2748970531	-0.3764581151	1.682383105	-3.512893336	2024-07-18@12:45	1.5	-0.7956345896	1	1.887039394e-16	-0.4301663229	1	8.05113828e-17	0.1042487461	v2.7.1	
2	Broyden	-71.87003163	-63.68	23.14147488	YY	11.6	0.4121931283	self-energy	sharp_wc_2_b_50	8	2	1.154391107	0.08077235269	0.3538093486	-1.620004151	1.85633376	0.1596913819	0.9169732691	-2.045157351	1.644859161	-2.044448198	1.644632243	0.1594620564	0.917428213	0.2028346243	0.01056215489	-1.890780579	1.0602878	a248bdd	2x2_2C_8b_C2v_L	11.98	1.398778513	2	1.607745596	1.3987785123330951	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1798844646	-1.916725552	-0.831094733	0.8154941927	-0.2690746057	2.482379458	1.195370614	-1.748385295	-1.195190081	1.749036368	-0.2689476972	2.482191061	0.274832864	-0.3766918606	1.681824445	-3.513672206	2024-07-18@12:47	1.5	-0.7964461327	1	2.152526434e-16	-0.4308405448	1	-3.034497496e-16	0.1042058474	v2.7.1	
1	Broyden	-71.89630391	-63.6	23.12278022	YY	11.6	0.4119782182	self-energy	sharp_wc_2_b_50	8	2	1.153927831	0.08537549084	0.3550738553	-1.627347251	1.856822711	0.1634064001	0.9150726978	-2.050535658	1.646624771	-2.052429419	1.646929501	0.1636282299	0.9146944828	0.2091961183	0.01066280081	-1.889788379	1.060092055	a248bdd	2x2_2C_8b_C2v_L	11.975	1.398506781	2	1.607012077	1.3985067813403436	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.182325624	-1.925081829	-0.8328612619	0.8158479793	-0.2709785129	2.486763299	1.197132045	-1.744133586	-1.197622438	1.743513429	-0.2712229019	2.487251869	0.277342517	-0.379278881	1.682908751	-3.513850446	2024-07-18@12:48	1.5	-0.797602679	1	1.360036513e-16	-0.4314983346	1	-2.338150319e-16	0.1040731143	v2.7.1	
2	Broyden	-71.7619167	-63.52	23.10900759	YY	11.6	0.4115980624	self-energy	sharp_wc_2_b_50	8	2	1.153563189	0.08477626176	0.3568918698	-1.613784395	1.855421269	0.1605402311	0.9205800023	-2.036581093	1.643159438	-2.034714165	1.643538585	0.1614185186	0.9191054809	0.203289599	0.01060266591	-1.881305353	1.058446694	a248bdd	2x2_2C_8b_C2v_L	11.97	1.398063499	2	1.60654172	1.3980634987236127	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1820794468	-1.926027169	-0.8306940843	0.8196087169	-0.2699638744	2.48399719	1.194370912	-1.753723719	-1.194014401	1.751918451	-0.2701801123	2.483734338	0.275430696	-0.3779207893	1.681236773	-3.515028973	2024-07-18@12:51	1.5	-0.7982698626	1	-3.068762996e-16	-0.4321776237	1	-8.051780101e-17	0.1040794323	v2.7.1	
2	Broyden	-71.85317989	-63.44	23.08893747	YY	11.6	0.4114508298	self-energy	sharp_wc_2_b_50	8	2	1.153065023	0.09676697897	0.3550483159	-1.635981648	1.858254003	0.1662785997	0.9161821533	-2.049290289	1.646720683	-2.046406178	1.646132958	0.1658607779	0.9171154799	0.2106211643	0.0106936177	-1.882664799	1.0584789	a248bdd	2x2_2C_8b_C2v_L	11.965	1.397843472	2	1.605794642	1.3978434721914874	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1879292319	-1.937404469	-0.8354210341	0.8141105292	-0.2731302824	2.491719223	1.198014549	-1.744635016	-1.197335671	1.746091012	-0.2728144647	2.491045569	0.2787431756	-0.380982029	1.683254509	-3.515421863	2024-07-18@12:53	1.5	-0.7994862944	1	-6.917980775e-16	-0.4328918841	1	-1.685743975e-16	0.1039136291	v2.7.1	
2	Broyden	-71.69760601	-63.36	23.07743532	YY	11.6	0.4108871217	self-energy	sharp_wc_2_b_50	8	2	1.152758501	0.08870687219	0.3595318966	-1.610506664	1.854812073	0.162616055	0.9217230878	-2.031908717	1.642712554	-2.035692253	1.643102082	0.1627446214	0.9215153545	0.2056741412	0.01067750676	-1.874175563	1.057011109	a248bdd	2x2_2C_8b_C2v_L	11.96	1.397228584	2	1.605385101	1.3972285840972045	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.184285298	-1.934665741	-0.8308178757	0.8229337732	-0.2713627629	2.486028551	1.194420236	-1.755336096	-1.195386023	1.754856209	-0.2716374002	2.486873067	0.2768978339	-0.3798830129	1.681619909	-3.515947168	2024-07-18@12:55	1.5	-0.7999773889	1	5.852617861e-16	-0.4334641176	1	4.737630977e-16	0.1038406308	v2.7.1	
2	Broyden	-71.79126188	-63.28	23.05790034	YY	11.6	0.4107390352	self-energy	sharp_wc_2_b_50	8	2	1.152265314	0.09920657318	0.3585653024	-1.634005511	1.857263718	0.1679749179	0.9187833342	-2.044355191	1.645743613	-2.046223882	1.646601947	0.1688742685	0.916916595	0.214507905	0.01081929347	-1.876686899	1.057272663	a248bdd	2x2_2C_8b_C2v_L	11.955	1.397008383	2	1.604639852	1.397008383075948	1.0000000000000007	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1894920872	-1.946465568	-0.836070788	0.8188001441	-0.2744654247	2.493672742	1.198147055	-1.748275244	-1.198574523	1.745601686	-0.274914822	2.494222038	0.280879898	-0.3836973174	1.683905965	-3.516047857	2024-07-18@12:57	1.5	-0.8011838941	1	5.712022204e-16	-0.4341571752	1	5.622056111e-16	0.1037772853	v2.7.1	
