CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
2	Broyden	-73.7557058	-64	23.61695774	NY	10.5	0.5021298556	self-energy	sharp_wc_2_b_50	8	2	1.159964447	0.01278098692	0.1324297651	-1.457257773	1.911424858	-1.677899436	1.327653273	0.03112872624	0.2157574716	-1.676882393	1.329262074	0.03122402966	0.2164033618	-1.680182145	0.9157938703	-1.226956947	1.984524984	a248bdd	2x2_2C_8b_C2v_L	12	1.491687585	2	1.665283234	1.5518108225115985	0.9999999999999999	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1459412516	-1.288242413	0.8182410532	-0.457830456	1.119731431	-2.303750353	-0.1956911625	1.172259651	-1.119129876	2.298515813	0.1955803687	-1.17504188	1.601941581	-3.621786826	-0.1578806152	0.4302047267	2024-07-18@12:18	1.5	-0.7207732666	1	1.668139686e-16	-0.4500974037	1	3.314967962e-16	0.1238609777	v2.7.1	
1	Broyden	-73.72786025	-63.92	23.59989294	NY	10.5	0.5016223866	self-energy	sharp_wc_2_b_50	8	2	1.159536719	0.01319336536	0.1336169251	-1.456774236	1.910887666	-1.677500688	1.328552632	0.03160387883	0.218106199	-1.676661409	1.327066259	0.03165316793	0.2171547711	-1.677814957	0.9156826771	-1.226678079	1.984437102	a248bdd	2x2_2C_8b_C2v_L	11.995	1.491123942	2	1.664646435	1.5511292629384394	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1463539442	-1.293247704	0.8186711366	-0.4599128898	1.120096753	-2.301733223	-0.1961101684	1.178137922	-1.119903106	2.305447644	0.1961397949	-1.174992007	1.602472285	-3.621682187	-0.1585277852	0.4313877606	2024-07-18@12:20	1.5	-0.7217650113	1	-1.306686107e-17	-0.4508494012	1	2.520176519e-16	0.1238341461	v2.7.1	
1	Broyden	-73.69227423	-63.84	23.58232453	NY	10.5	0.5011862911	self-energy	sharp_wc_2_b_50	8	2	1.159097921	0.01333940213	0.1347557491	-1.455894983	1.91038723	-1.676621815	1.327296225	0.03161964205	0.2199244588	-1.675953184	1.32641282	0.03167503272	0.2191671066	-1.673551979	0.9151961513	-1.22635218	1.984330832	a248bdd	2x2_2C_8b_C2v_L	11.99	1.490632357	2	1.663993853	1.550478353888618	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1466824734	-1.297975681	0.8187696912	-0.4617605528	1.120434637	-2.305609046	-0.1966137776	1.181138824	-1.120180625	2.307604723	0.1965443541	-1.178844703	1.602281922	-3.621528076	-0.1592796913	0.4327489507	2024-07-18@12:21	1.5	-0.7227938017	1	-3.314100088e-16	-0.4516249115	1	-2.775231212e-16	0.1238070873	v2.7.1	
1	Broyden	-73.64905199	-63.76	23.56424024	NY	10.5	0.5008159132	self-energy	sharp_wc_2_b_50	8	2	1.158648875	0.01361777791	0.135967437	-1.454087675	1.909838908	-1.674435056	1.326873678	0.0320067299	0.2219949157	-1.674298025	1.324637869	0.03183882007	0.2208855292	-1.669406792	0.9148767201	-1.225622555	1.984085174	a248bdd	2x2_2C_8b_C2v_L	11.985	1.490209942	2	1.663321865	1.5499022367312687	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1469989933	-1.302841527	0.8186644018	-0.4636845434	1.120142608	-2.306344302	-0.1969718286	1.185459021	-1.120350648	2.312690173	0.1970474021	-1.181229907	1.601955727	-3.621212733	-0.1606978066	0.4360305147	2024-07-18@12:23	1.5	-0.723870233	1	1.887039394e-16	-0.4524123452	1	8.05113828e-17	0.1237734362	v2.7.1	
1	Broyden	-73.56478544	-63.68	23.54350495	NY	10.5	0.5007385987	self-energy	sharp_wc_2_b_50	8	2	1.158135832	0.01416080924	0.137890391	-1.445914792	1.908820602	-1.665194752	1.322333298	0.03224755917	0.2246811778	-1.665271385	1.322818013	0.03230165456	0.2248130786	-1.66667839	0.9149253239	-1.22379611	1.983442717	a248bdd	2x2_2C_8b_C2v_L	11.98	1.49006885	2	1.662590393	1.549403265532137	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1472482703	-1.309259993	0.8173797253	-0.466462685	1.118341289	-2.314893135	-0.1973593313	1.188082864	-1.118265652	2.313472646	0.1972886892	-1.188743666	1.601615146	-3.620893626	-0.1639328409	0.4447070433	2024-07-18@12:24	1.5	-0.7251010032	1	2.152526434e-16	-0.4533517043	1	-3.034497496e-16	0.1237515379	v2.7.1	
1	Broyden	-73.57386547	-63.6	23.52928687	NY	10.5	0.4999455197	self-energy	sharp_wc_2_b_50	8	2	1.157772092	0.01407452879	0.1385065828	-1.450909335	1.908656649	-1.670296956	1.323399835	0.03247207976	0.225090161	-1.671216284	1.323626949	0.03240359807	0.2254169909	-1.664562301	0.9147320471	-1.224396299	1.983675005	a248bdd	2x2_2C_8b_C2v_L	11.975	1.489223945	2	1.662033575	1.5485722546045055	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1476890251	-1.312840283	0.8188088001	-0.4678903562	1.120268574	-2.315403625	-0.1978256584	1.189436892	-1.120642069	2.31535561	0.1978635704	-1.190211181	1.602572144	-3.620858965	-0.1630748501	0.4415339267	2024-07-18@12:26	1.5	-0.7258898782	1	1.360036513e-16	-0.4539620707	1	-2.338150319e-16	0.1237157752	v2.7.1	
1	Broyden	-73.4167212	-63.52	23.50306425	NY	10.5	0.5004068826	self-energy	sharp_wc_2_b_50	8	2	1.157132988	0.0152955201	0.1415947072	-1.431958858	1.906880974	-1.652987038	1.318027748	0.03311683084	0.2309789649	-1.652627134	1.317265845	0.03311945634	0.2302080788	-1.6572818	0.9144668816	-1.220067537	1.982113352	a248bdd	2x2_2C_8b_C2v_L	11.97	1.489615862	2	1.661144814	1.5484415105589324	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1478614638	-1.321826564	0.8152474878	-0.4719965234	1.116075508	-2.321790103	-0.1983183912	1.198948135	-1.115878215	2.323527765	0.1981785929	-1.196685044	1.59975936	-3.619533154	-0.1705233547	0.4619451539	2024-07-18@12:27	1.5	-0.7274943185	1	-3.068762996e-16	-0.4551575127	1	-8.051780101e-17	0.1236898344	v2.7.1	
2	Broyden	-73.43976726	-63.44	23.48809658	NY	10.5	0.4996809107	self-energy	sharp_wc_2_b_50	8	2	1.156752705	0.01503137882	0.1418410216	-1.444219405	1.907147351	-1.656067238	1.318294613	0.03337717764	0.2315130934	-1.655938802	1.317877569	0.03339908156	0.2311527375	-1.655391968	0.9128973062	-1.22501767	1.983914479	a248bdd	2x2_2C_8b_C2v_L	11.965	1.488840457	2	1.660561805	1.5476265271597107	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1484486239	-1.325767545	0.8180064	-0.4725945258	1.117478613	-2.323588289	-0.1987123627	1.199932904	-1.117428158	2.324624276	0.1986808146	-1.198847067	1.601611178	-3.622206596	-0.1623080497	0.4381101296	2024-07-18@12:29	1.5	-0.7283396372	1	-6.917980775e-16	-0.4557905505	1	-1.685743975e-16	0.1236438945	v2.7.1	
2	Broyden	-73.33314442	-63.36	23.4691993	NY	10.5	0.4993869697	self-energy	sharp_wc_2_b_50	8	2	1.15627695	0.01601690425	0.1440217079	-1.430080703	1.905764671	-1.652986971	1.317144268	0.03390269767	0.2346001837	-1.652139272	1.315330853	0.03391109925	0.2332813541	-1.654373156	0.9198926103	-1.203946484	1.976051054	a248bdd	2x2_2C_8b_C2v_L	11.96	1.488478325	2	1.659893993	1.5471147482309946	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1486326932	-1.331380944	0.815729036	-0.4761678549	1.117239723	-2.325710027	-0.199440011	1.206033141	-1.117016778	2.330212487	0.1994056031	-1.201877003	1.597809879	-3.609602713	-0.1963661316	0.5342401906	2024-07-18@12:31	1.5	-0.7294104113	1	5.852617861e-16	-0.4566544465	1	4.737630977e-16	0.123620894	v2.7.1	
2	Broyden	-73.35304717	-63.28	23.44988869	NY	10.5	0.4990954637	self-energy	sharp_wc_2_b_50	8	2	1.155797539	0.01593841601	0.1449431831	-1.43639171	1.905616548	-1.647788024	1.314981572	0.03416533151	0.2368764403	-1.647184305	1.313560552	0.03416313679	0.2358688738	-1.646214347	0.9077880896	-1.237226128	1.987828683	a248bdd	2x2_2C_8b_C2v_L	11.955	1.488134014	2	1.65918263	1.5465047791437954	1.0000000000000007	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1490968235	-1.336900322	0.8171682514	-0.4773943892	1.116319744	-2.329774953	-0.1996731995	1.209065692	-1.116179983	2.333349069	0.1996594533	-1.205869146	1.603194719	-3.629234794	-0.14234876	0.381044162	2024-07-18@12:33	1.5	-0.7305575742	1	5.712022204e-16	-0.4574854356	1	5.622056111e-16	0.123571052	v2.7.1	
1	Broyden	-73.16371325	-63.2	23.4323931	NY	10.5	0.4986057632	self-energy	sharp_wc_2_b_50	8	2	1.155354131	0.01646589894	0.1466733448	-1.428750299	1.904634627	-1.646019879	1.311246041	0.0346450686	0.2364668698	-1.648914696	1.315689588	0.03449732538	0.24002705	-1.663114691	0.9486802792	-1.142664817	1.946259252	a248bdd	2x2_2C_8b_C2v_L	11.95	1.487580737	2	1.658545167	1.5458842711670244	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1493638547	-1.341934453	0.8160469465	-0.480274006	1.116357591	-2.339654837	-0.2002728189	1.205541439	-1.117288086	2.329244722	0.2004048543	-1.216207844	1.585701822	-3.560667031	-0.286466403	0.7991679241	2024-07-18@12:34	1.5	-0.7315372241	1	-1.394107024e-17	-0.4582635445	1	1.637769891e-16	0.123534035	v2.7.1	
2	Broyden	-73.44090408	-63.12	23.41631638	NY	10.5	0.4980794675	self-energy	sharp_wc_2_b_50	8	2	1.15494544	0.01701808983	0.1480489076	-1.422431684	1.903763903	-1.648898707	1.313583354	0.03491633072	0.2398003434	-1.648588109	1.312839192	0.03491680915	0.2392431739	-1.634927775	0.8947272506	-1.324856596	1.999999966	a248bdd	2x2_2C_8b_C2v_L	11.945	1.486998477	2	1.657946054	1.5452347821030132	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1496131829	-1.345941747	0.8153450477	-0.4829548353	1.117834366	-2.335711562	-0.2008874985	1.214203403	-1.117753707	2.337571627	0.2008695248	-1.212469071	1.60956745	-3.649130644	-0.000246956546	0.0006341684973	2024-07-18@12:36	1.5	-0.732435136	1	6.773868954e-17	-0.4589722893	1	7.321766177e-17	0.1235002636	v2.7.1	
5	Broyden	-72.12583953	-63.04	22.96771239	YY	10.5	0.5350485411	self-energy	sharp_wc_2_b_50	8	2	1.145324532	0.04386469191	0.2434483213	-1.459243331	1.877133065	-1.77237487	1.609066046	0.1138916072	0.8188850252	-1.774738178	1.609893475	0.1145251054	0.817794723	-1.770935866	0.9145760143	0.1765439607	0.01029915115	a248bdd	2x2_2C_8b_C2v_L	11.94	1.524726045	2	1.641053625	1.524726044564031	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1648356995	-1.688675679	0.8141609155	-0.5742822383	1.139496462	-1.610514389	-0.2579082884	2.516970016	-1.140142282	1.608709185	0.2583552298	-2.517677527	1.65432665	-3.676058885	-0.2747275664	0.4086767939	2024-07-18@12:40	1.5	-0.7688616567	1	2.239369502e-16	-0.4719084724	1	1.479133325e-16	0.1185088297	v2.7.1	
2	Broyden	-74.18462216	-62.96	23.37514341	NY	10.5	0.4977313617	self-energy	sharp_wc_2_b_50	8	2	1.153916438	0.01811436793	0.1517844166	-1.409832452	1.901854811	-1.634624686	1.308261617	0.03600822184	0.2462359883	-1.6343328	1.307133198	0.03608253284	0.245183051	-1.602079289	1.047612818	-1.791737427	1.845858998	a248bdd	2x2_2C_8b_C2v_L	11.935	1.486518776	2	1.656492551	1.544243248866204	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1502233284	-1.358146623	0.8133599722	-0.488312567	1.11504736	-2.344076732	-0.2019562929	1.224150485	-1.114919789	2.346864622	0.2018693247	-1.221125742	1.478207848	-3.38565909	0.638747844	-1.364664028	2024-07-18@12:42	1.5	-0.73481506	1	-4.139118037e-16	-0.4608074769	1	-4.125771887e-16	0.1234130297	v2.7.1	
5	Broyden	-72.0548724	-62.88	22.93113776	YY	10.5	0.5341379161	self-energy	sharp_wc_2_b_50	8	2	1.144409078	0.04512045622	0.2475236264	-1.455476111	1.875376699	-1.771096147	1.609902264	0.1178249713	0.8190219977	-1.771104425	1.609744443	0.1176464481	0.8193057189	-1.764022448	0.9138170544	0.1793068821	0.01041449258	a248bdd	2x2_2C_8b_C2v_L	11.93	1.523723426	2	1.639645871	1.5237234260185866	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1659846319	-1.70053751	0.814162498	-0.5809814589	1.140120806	-1.610638459	-0.2607058119	2.520967073	-1.140124358	1.611100735	0.2606133356	-2.520958869	1.654619885	-3.675955534	-0.2763690701	0.4111965727	2024-07-18@12:46	1.5	-0.771027344	1	9.090862392e-17	-0.4732965705	1	4.847829454e-16	0.1182775521	v2.7.1	
