model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1
2x2_2C_8b_C2v_L	9.8477633	0	14	3.4161	-0.51441957	-5.4068116	-5.452588	-0.4975775	-5.4569921	-0.49945076	0.46505088	-4.5344102	11	3.2222475e-05	-3.1313829e-05	-2.6913765e-06	-7.5168317e-06	-1.0470709e-05	2.8476396e-05	-0.22428252	-2.4713088e-06	-0.21094287	-1.289831	1.8818768	0.21240486	-1.8823579	-0.2129349	6.2876026e-06	-2.3704086	2.0342	1	0.236	3.1060717e-07	1.2838124	1.6661052	-0.48974209	-0.11893679	0.051383217	0.15518769	1.9967007	1.9642984	1.872866	1.9932707	1.8728819	1.9932401	0.0088352349	1.7055249	1.1525131	-0.00013013734	3.7114928e-05	8.8715456e-07	1.314406e-05	1.3354464e-05	-6.8996083e-05	0.38600655	6.1214567e-08	0.17822429	0.58634693	-1.3250001	-0.30334977	1.3250378	0.30406813	-9.0047603e-06	2.2287213
2x2_2C_8b_C2v_L	9.8476684	0	14	3.4161	-0.51991938	-5.4062138	-5.4615607	-0.50527971	-5.4634174	-0.50640744	0.4709002	-4.5427711	11.01	3.3221329e-05	-3.4166364e-05	-1.3184557e-05	2.5057978e-05	-9.4297832e-06	3.7086711e-05	-0.22350063	1.8044034e-05	-0.21010213	-1.2890851	1.8817662	0.21220248	-1.881948	-0.21249355	3.1567808e-05	-2.3702408	2.0342	1	0.236	-7.3940612e-07	1.2838108	1.6661014	-0.48975295	-0.11894123	0.051385107	0.15520532	1.9967219	1.9642698	1.8728418	1.9932759	1.872853	1.9932598	0.0087893216	1.7054461	1.1525303	-0.0001290856	4.9185609e-05	2.0591394e-06	-7.5185325e-05	3.9208908e-06	-9.991718e-05	0.38500235	-1.957409e-05	0.17764587	0.58656091	-1.3251519	-0.30323625	1.3251384	0.30361046	-3.034087e-05	2.2290201
2x2_2C_8b_C2v_L	9.8480639	0	14	3.4161	-0.54087943	-5.4536544	-5.4864801	-0.52505953	-5.4778402	-0.52090988	0.48607833	-4.5545377	11.02	5.0551641e-05	-2.7325112e-05	-1.0573742e-05	2.7049318e-05	-1.6871018e-05	1.2600901e-05	-0.22439371	-2.8914976e-05	-0.21266434	-1.2919242	1.8833673	0.21438322	-1.8824449	-0.21322084	-7.4012607e-05	-2.3704507	2.0342	1	0.236	7.4417711e-07	1.2838176	1.6661179	-0.48970779	-0.11892265	0.051377109	0.15515445	1.9966537	1.964357	1.8729825	1.993164	1.8729517	1.9932309	0.0088381953	1.7055687	1.1524824	-0.00019459534	2.7577862e-05	1.643756e-05	-6.649496e-05	1.6693901e-05	-3.3512803e-05	0.38605993	2.558099e-05	0.17950714	0.58592241	-1.3246092	-0.30579991	1.3245226	0.3042402	6.2556806e-05	2.2284902
2x2_2C_8b_C2v_L	9.8481162	0	14	3.4161	-0.55340418	-5.4692583	-5.4909542	-0.5338415	-5.4989908	-0.53772583	0.49881776	-4.5667803	11.03	-6.7795886e-05	3.3296593e-05	1.3180732e-05	-1.6523085e-05	-2.5438269e-06	-2.4666435e-06	-0.22521316	-1.3371871e-05	-0.21324844	-1.2922421	1.8827234	0.21387198	-1.8835698	-0.21496015	-3.7067521e-05	-2.370776	2.0342	1	0.236	1.4911706e-07	1.2838184	1.6661218	-0.48970128	-0.11892104	0.051376491	0.1551433	1.9966386	1.9643789	1.8729925	1.9931979	1.8730256	1.9931354	0.0088924433	1.7056405	1.1524708	0.00026343794	-3.9351964e-05	-1.0384008e-05	4.110423e-05	-7.7293457e-08	7.6935669e-06	0.38724758	2.9877452e-06	0.17991184	0.58574192	-1.3243332	-0.30498877	1.3243805	0.30643999	4.054928e-05	2.2282451
2x2_2C_8b_C2v_L	9.8484611	0	14	3.4161	-0.57106248	-5.5192897	-5.5061679	-0.54509916	-5.5070132	-0.54557566	0.50925941	-4.5766633	11.04	1.859686e-05	-6.6024019e-06	3.4592268e-05	-5.1943267e-05	4.3726276e-06	8.4004685e-07	-0.2252734	-3.9885028e-06	-0.2155368	-1.2954394	1.8834188	0.21424001	-1.8834955	-0.21441136	-7.4332615e-06	-2.3707555	2.0342	1	0.236	5.9913882e-07	1.2838245	1.6661342	-0.48966306	-0.11890292	0.051368763	0.15511305	1.9965743	1.9644607	1.8730136	1.9931772	1.8730179	1.9931671	0.0088926033	1.7057035	1.1524445	-7.2188035e-05	3.4919776e-06	-3.8803632e-05	0.00012131922	-1.2289339e-05	9.3564862e-07	0.38723438	7.692048e-06	0.18164981	0.58515416	-1.3243332	-0.30548047	1.3243373	0.30571203	3.1003153e-06	2.22791
2x2_2C_8b_C2v_L	9.8484102	0	14	3.4161	-0.5783871	-5.5069791	-5.5277317	-0.56092159	-5.5246338	-0.56050861	0.52039707	-4.5873627	11.05	2.6168359e-05	-2.7681523e-05	1.6884352e-05	-1.1562648e-05	9.8702564e-06	1.4261673e-06	-0.22551789	1.3751171e-05	-0.21450106	-1.2935453	1.8846734	0.21585516	-1.8842722	-0.21566575	2.3532736e-05	-2.3708778	2.0342	1	0.236	-6.1342913e-07	1.2838233	1.6661367	-0.48966654	-0.11890924	0.051371267	0.1551062	1.9966046	1.9644223	1.8731306	1.9930903	1.8731346	1.9931034	0.0089093732	1.7056835	1.152435	-9.5240181e-05	3.9233149e-05	-2.9270818e-05	1.962558e-05	-2.220102e-05	-8.3328626e-06	0.3876093	-1.5662352e-05	0.18082906	0.58542187	-1.3238238	-0.30744415	1.3236952	0.30712793	-2.1690429e-05	2.2280432
2x2_2C_8b_C2v_L	9.848542	0	14	3.4161	-0.59357206	-5.540425	-5.5383578	-0.57309503	-5.5289619	-0.56839731	0.53026785	-4.5970548	11.06	5.8136585e-06	1.1193683e-07	1.1037424e-05	-1.9916298e-05	-7.4291676e-06	8.9408606e-06	-0.22544284	-1.5082925e-05	-0.21594708	-1.2953652	1.8846436	0.21626503	-1.883651	-0.21496312	-2.9458916e-05	-2.3708296	2.0342	1	0.236	7.3657328e-07	1.2838257	1.6661397	-0.48965282	-0.11890082	0.051367761	0.15509854	1.9965644	1.9644731	1.8731283	1.9930689	1.8730939	1.9931438	0.0089022758	1.7057111	1.1524297	-2.2876166e-05	-5.6818378e-06	-7.8531394e-06	4.6367332e-05	7.1598684e-06	-1.8012858e-05	0.3874457	1.4739872e-05	0.18191227	0.58505092	-1.323909	-0.30794233	1.3238182	0.30620671	2.4399928e-05	2.2278855
2x2_2C_8b_C2v_L	9.8485448	0	14	3.4161	-0.60516874	-5.5533797	-5.5416675	-0.57987291	-5.5442806	-0.58162418	0.53933062	-4.6061096	11.07	-7.622211e-05	6.2069053e-05	-3.8349411e-06	-1.0817771e-05	4.5508532e-06	-3.812024e-05	-0.22516707	-7.7534064e-06	-0.21638029	-1.2954519	1.8839631	0.21534779	-1.884186	-0.21581282	2.7966846e-05	-2.3707081	2.0342	1	0.236	7.4867691e-07	1.2838258	1.6661398	-0.48965266	-0.11890049	0.051367606	0.15510297	1.9965524	1.9644874	1.8730908	1.9931213	1.8731165	1.9930958	0.0088838574	1.7056817	1.1524345	0.00026847277	-8.3608622e-05	2.0608494e-05	4.0288456e-05	8.730791e-06	9.4345656e-05	0.38704248	1.3318348e-05	0.18222933	0.58493477	-1.3239436	-0.30673533	1.3238531	0.30731463	-2.153953e-05	2.2279843
2x2_2C_8b_C2v_L	9.8486743	0	14	3.4161	-0.61749362	-5.5739604	-5.5575392	-0.59191481	-5.555477	-0.59245528	0.55330309	-4.619091	11.08	-5.9949635e-05	4.3431325e-05	4.142566e-05	-9.2707593e-05	-1.665603e-06	-8.9895811e-06	-0.226316	4.2101916e-06	-0.21697132	-1.2963059	1.8846844	0.21589501	-1.8843341	-0.21600205	-1.0703008e-05	-2.3711055	2.0342	1	0.236	2.9731381e-07	1.2838279	1.666147	-0.48963728	-0.11889533	0.051365463	0.15508274	1.9965366	1.9645113	1.8731292	1.9930914	1.873151	1.9930881	0.0089592289	1.7057945	1.1524143	0.00021628386	-5.2284445e-05	-3.0059437e-05	0.00021721262	8.0991506e-06	3.4601056e-05	0.38868385	-1.6528383e-06	0.18265188	0.58475258	-1.3238303	-0.30742382	1.3236164	0.3074738	1.1904965e-05	2.227574
2x2_2C_8b_C2v_L	9.8487689	0	14	3.4161	-0.62834725	-5.5864641	-5.5692042	-0.60390617	-5.5732278	-0.60653176	0.5633668	-4.6289468	11.09	3.8743182e-05	-5.0252893e-05	4.2443562e-06	7.8270535e-06	-8.3020993e-07	1.7923548e-05	-0.22618415	-3.2256223e-06	-0.21705787	-1.2965697	1.8848051	0.21635313	-1.8852152	-0.21698765	-9.1385918e-06	-2.3711364	2.0342	1	0.236	-4.1826989e-07	1.2838295	1.6661521	-0.48962593	-0.1188918	0.051363887	0.15507107	1.9965348	1.9645129	1.8731905	1.9930706	1.8732065	1.9930353	0.0089481662	1.7057861	1.1524029	-0.00013334058	6.5170736e-05	-1.4200012e-05	-2.6128217e-05	-8.6830767e-06	-4.4805958e-05	0.38844145	-8.9382266e-06	0.18270095	0.58474767	-1.3234203	-0.3078648	1.3234547	0.30867895	8.3658666e-06	2.2275923
