model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	5.1639454	0	14	2.4460667	-0.005837798	-3.3178537	-4.0398303	-0.10232027	-4.0397974	-0.10231996	0.14062836	-3.662588	9.6844444	-2.0347672e-05	1.2187142e-07	0.01142658	-0.1634202	0.011421797	-0.16341982	3.226738e-06	6.0408837e-06	-0.11208171	-1.0971669	1.7269596	0.05593876	-1.7269588	-0.055946024	0.22825982	-2.276927	2.0703333	1	0.21213333	0.014688936	1.2609457	1.6225867	-0.57816869	-0.18207421	0.075585021	0.13247604	0.23317858	1.9429398	1.8123159	1.5802894	1.8123118	1.5802985	0.0168367	1.5759218	1.1064043	0.00024263376	6.9117883e-06	0.10064889	1.1220428	0.10065444	1.1220036	-2.8715222e-05	-1.4862481e-05	1.1306228	0.72096606	-1.533234	-0.60920545	1.5332522	0.60924235	-0.28605461	2.4885033	0.028698259	0.21169196	0.055652774	0.1724981	0.34909083	0.17250162	0.34908522	0.016930679	0.3355745	0.035905588	3.9671431	5.4041185	5.1359735	5.0659613	5.1359846	5.0659744	4.3336195	6.0736882	5.2746786	2.733675	3.3751602	5.0887688	3.3751731	5.0887239	3.7184178	3.230334	-75.001993	R0:S0:1	-57.907022	uncorrelated	b7fd39a	v1.0.3	2022-07-27@10:42
2x2_2C_8b_C2v_L	5.4577673	0	14	2.5191	-0.005178016	-3.301635	-4.0028853	-0.10206791	-4.0028794	-0.10206751	0.14027652	-3.6181	9.6866667	-2.4375911e-06	1.9147148e-06	0.01121306	-0.163805	0.011213782	-0.16380573	5.5608215e-06	1.0113101e-05	-0.11200501	-1.0925873	1.7164666	0.054625416	-1.7164657	-0.054625403	0.22868107	-2.2625377	2.0555	1	0.2182	0.014528153	1.2605698	1.6222271	-0.57876404	-0.183148	0.075855891	0.13227248	0.23825186	1.9426463	1.8120383	1.5751701	1.8120389	1.5751735	0.017101032	1.5739549	1.106244	3.0774646e-05	3.5315312e-06	0.10056309	1.1270221	0.10056545	1.1270375	-4.1414101e-05	-1.8606724e-05	1.1346962	0.72348391	-1.5329883	-0.60532137	1.5329812	0.60531879	-0.28773673	2.4895135	0.028661931	0.21566746	0.055918141	0.17268595	0.35219734	0.17268542	0.35219308	0.017196736	0.33657754	0.035866615	3.996744	5.3951591	5.1330668	5.0699783	5.13307	5.0699757	4.3289681	6.0825842	5.2752358	2.7392222	3.3720842	5.1039923	3.3720719	5.1039901	3.7231733	3.2292858	-74.703499	R0:S0:1	-57.340533	uncorrelated	b7fd39a	v1.0.3	2022-07-27@10:51
2x2_2C_8b_C2v_L	5.751323	0	14	2.5921333	-0.0042058496	-3.2793995	-3.9614413	-0.10189535	-3.961423	-0.10189016	0.14007888	-3.572759	9.6888889	2.3204065e-05	-1.2697556e-06	0.010884431	-0.16432207	0.010883845	-0.16432075	1.5375975e-06	-1.7510802e-06	-0.1118411	-1.087111	1.7050922	0.052762937	-1.7050888	-0.052758836	0.22925854	-2.247823	2.0406667	1	0.22426667	0.014326906	1.2601934	1.6218266	-0.57939634	-0.18419782	0.076118522	0.13207723	0.2423251	1.9423847	1.8116681	1.5714818	1.8116677	1.571477	0.017366311	1.5721357	1.1061185	-0.00026304291	3.6666548e-07	0.10048668	1.1312162	0.10048652	1.1312216	-3.6270743e-06	3.8552465e-06	1.1371055	0.72554625	-1.5329907	-0.59818487	1.5329914	0.59816693	-0.28949093	2.4901807	0.0286272	0.21888697	0.056156423	0.17296436	0.3548298	0.17296461	0.35483512	0.017464886	0.33750034	0.035821002	4.0203554	5.3875187	5.1315398	5.0703934	5.1315408	5.0703862	4.3245956	6.0908683	5.2759762	2.7443793	3.3702784	5.1156813	3.3702781	5.1156911	3.7278889	3.2288583	-74.371317	R0:S0:1	-56.774044	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:01
2x2_2C_8b_C2v_L	6.0440315	0	14	2.6651667	-0.0033624019	-3.2597121	-3.9216419	-0.10173395	-3.9216432	-0.10173102	0.1400612	-3.5281426	9.6911111	3.2602334e-05	5.8258406e-07	0.01057351	-0.16485903	0.010573036	-0.16485786	3.1718542e-07	-7.112546e-06	-0.11177156	-1.0818862	1.6939945	0.050969086	-1.6939936	-0.050965377	0.22996809	-2.2333268	2.0258333	1	0.23033333	0.01412623	1.2597915	1.6214016	-0.58008577	-0.1853183	0.076403844	0.13187298	0.24732753	1.9420949	1.8113218	1.5668543	1.8113221	1.5668512	0.017669812	1.5701579	1.1059665	-0.00036298082	-7.8385959e-06	0.10041483	1.1362143	0.10041418	1.1362133	8.354244e-06	1.3937823e-05	1.1405871	0.72789076	-1.5328803	-0.59161198	1.5328812	0.5915954	-0.29146998	2.4911368	0.028590624	0.22281271	0.056419076	0.17321542	0.3578832	0.1732152	0.35788753	0.017771635	0.33849577	0.03577878	4.0486233	5.3789561	5.1293494	5.0721406	5.1293469	5.0721342	4.3201798	6.0997392	5.2770198	2.7498232	3.3677766	5.129914	3.3677819	5.1299214	3.7326168	3.2281016	-74.053296	R0:S0:1	-56.207556	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:10
2x2_2C_8b_C2v_L	6.3369158	0	14	2.7382	-0.0025630537	-3.241424	-3.884303	-0.10193036	-3.8843016	-0.10192875	0.14015071	-3.4832964	9.6933333	2.6708391e-05	2.8287736e-07	0.010287244	-0.16553701	0.010286654	-0.16553645	-3.3223789e-07	-3.2106157e-06	-0.11164955	-1.077009	1.6834739	0.049218508	-1.6834739	-0.049216575	0.23068697	-2.2188078	2.011	1	0.2364	0.013916799	1.2593921	1.6209909	-0.580736	-0.18642975	0.076682726	0.13167552	0.25193985	1.9418319	1.8110206	1.5635802	1.8110203	1.5635791	0.017942561	1.5682342	1.1058316	-0.0002917207	-4.1841708e-06	0.10038211	1.1402726	0.10038237	1.140268	7.4696939e-06	7.0985704e-06	1.1433669	0.73005722	-1.5327161	-0.58455547	1.5327191	0.58454727	-0.29332908	2.4918805	0.028555253	0.22652669	0.056658675	0.17343874	0.36015264	0.17343901	0.36015505	0.018048216	0.33946128	0.035734749	4.0740426	5.3711413	5.1277145	5.0722839	5.1277139	5.0722796	4.3157024	6.1084264	5.2779209	2.7551531	3.3661429	5.1411257	3.3661484	5.1411264	3.7374671	3.2277035	-73.75003	R0:S0:1	-55.641067	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:20
2x2_2C_8b_C2v_L	6.6272031	0	14	2.8112333	-0.0016663165	-3.2152538	-3.8415208	-0.10181504	-3.8415225	-0.10181422	0.14010678	-3.4373243	9.6955556	1.4728956e-05	3.1565549e-05	0.009933815	-0.16604967	0.0099336234	-0.16605049	-1.9052187e-06	-6.3910179e-06	-0.1115349	-1.0709396	1.6717935	0.047352668	-1.6717955	-0.047352426	0.23137593	-2.2039501	1.9961667	1	0.24246667	0.013702728	1.2589256	1.6204781	-0.58162691	-0.18771754	0.077024313	0.1314714	0.2577451	1.9414397	1.8104805	1.5579948	1.8104799	1.5580027	0.018294192	1.5657923	1.1056464	-0.00015923124	-7.7603036e-05	0.10052627	1.1462656	0.10053308	1.1462415	2.657884e-05	2.8848321e-05	1.1475774	0.73282294	-1.5331353	-0.57809611	1.5331435	0.5780885	-0.29543545	2.4937415	0.028518478	0.23096846	0.057015284	0.17384218	0.36368008	0.17384278	0.36367742	0.018404568	0.34066917	0.03570218	4.1060808	5.3619525	5.1254066	5.0746857	5.1254058	5.0746805	4.3113628	6.1190843	5.2796303	2.760568	3.3629399	5.1581211	3.3629591	5.158093	3.7421691	3.22615	-73.403353	R0:S0:1	-55.074578	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:30
2x2_2C_8b_C2v_L	6.9181544	0	14	2.8842667	-0.00069713507	-3.1915304	-3.8016263	-0.10212647	-3.8016219	-0.10212319	0.14028996	-3.3915663	9.6977778	3.7397276e-05	2.426678e-06	0.0096031166	-0.16682099	0.0096031218	-0.1668208	2.8438454e-07	-5.6357791e-06	-0.11144339	-1.0651846	1.6607134	0.045392941	-1.6607126	-0.045386562	0.23220425	-2.1891252	1.9813333	1	0.24853333	0.013468296	1.2584766	1.6199835	-0.58244024	-0.18894429	0.077341136	0.13127295	0.26260409	1.9411335	1.8100466	1.5545805	1.8100478	1.5545687	0.018595428	1.5636063	1.1054961	-0.00039249929	-8.7939732e-06	0.10059693	1.1507034	0.10059532	1.1507327	5.1094164e-06	1.1254479e-05	1.1505565	0.735038	-1.5333299	-0.57010788	1.533323	0.57007461	-0.29742429	2.4949612	0.028482772	0.23480895	0.057294662	0.17417543	0.36612181	0.17417434	0.36613033	0.01871137	0.34174725	0.035661819	4.1322797	5.3541133	5.1240993	5.0740469	5.1240957	5.0740358	4.3070573	6.1287202	5.2808481	2.7657569	3.3613704	5.1698822	3.3613593	5.1699201	3.746961	3.2254594	-73.076329	R0:S0:1	-54.508089	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:39
2x2_2C_8b_C2v_L	7.2086825	0	14	2.9573	3.9172019e-05	-3.174492	-3.7641379	-0.10281118	-3.7641281	-0.10280643	0.14057173	-3.3459549	9.7	3.0977012e-05	1.1253331e-06	0.0093423185	-0.16770783	0.0093418019	-0.16770678	2.3723244e-06	-2.7305153e-08	-0.11140577	-1.0604325	1.6501928	0.043703762	-1.6501908	-0.043699098	0.23307853	-2.1744135	1.9665	1	0.2546	0.013238493	1.2580111	1.619495	-0.58325658	-0.19022324	0.077671903	0.1310755	0.26798059	1.9408411	1.8096285	1.5516949	1.809629	1.5516859	0.018889229	1.5612883	1.1053341	-0.00032064371	-1.5376927e-06	0.10079104	1.1549281	0.10079074	1.1549495	-1.2943003e-05	-1.8028097e-07	1.1541767	0.73736705	-1.5335129	-0.56318261	1.533508	0.56315961	-0.29940196	2.4963467	0.028447145	0.23915219	0.057561316	0.17449704	0.36803622	0.17449656	0.36804283	0.019011586	0.34288435	0.035625721	4.1604019	5.3460486	5.1227932	5.0735931	5.1227924	5.0735865	4.3025884	6.1388925	5.2817296	2.7712031	3.3598244	5.1808944	3.3598143	5.1809197	3.751894	3.2246299	-72.775956	R0:S0:1	-53.9416	uncorrelated	b7fd39a	v1.0.3	2022-07-27@11:49
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	2022-07-28@10:33
2x2_2C_8b_C2v_L	4.7388701	0	14	2.3730333	-0.00080020552	-3.2757983	-4.0157945	-0.11208791	-4.0158078	-0.11208235	0.15329736	-3.6587002	9.6044444	-6.7463913e-05	-4.4146623e-07	0.011156784	-0.17251123	0.011155228	-0.17250949	8.6904203e-06	6.1355003e-06	-0.11446146	-1.0969018	1.7331919	0.049889561	-1.7331952	-0.049878266	0.2398591	-2.2908633	2.0851667	1	0.20606667	0.014515871	1.2578712	1.6176081	-0.59085041	-0.18952966	0.078636633	0.13156348	0.2554888	1.9404838	1.8036583	1.5569399	1.8036596	1.5569303	0.018700811	1.559202	1.102498	0.00070803137	7.2172108e-06	0.1083176	1.1809149	0.10832128	1.1809588	-5.644666e-05	-1.5580019e-05	1.1794366	0.73106808	-1.5640043	-0.60704962	1.5639946	0.60700287	-0.29818722	2.5316563	0.028528088	0.22927908	0.057915806	0.17942199	0.36486887	0.17942086	0.36487574	0.018846347	0.34355095	0.036600393	4.0861962	5.3900951	5.13679	5.0454337	5.1367869	5.0454133	4.3549282	6.1365349	5.2637247	2.7320637	3.3629907	5.1754563	3.3629707	5.1755022	3.7026794	3.1874522	-74.577013	R0:S0:1	-57.851289	uncorrelated	b7fd39a	v1.0.3	2022-07-28@10:54
2x2_2C_8b_C2v_L	4.9011651	0	14	2.4460667	0.005095281	-3.1904176	-3.9187679	-0.12157485	-3.9187846	-0.12157874	0.16236042	-3.5593906	9.5288889	-7.7961794e-06	-1.4783752e-06	0.0093062021	-0.1827734	0.0093063988	-0.18277406	-1.1743215e-06	1.0230309e-06	-0.11653466	-1.0854684	1.718329	0.037845986	-1.7183326	-0.037849418	0.25163402	-2.2734284	2.0703333	1	0.21213333	0.012909879	1.2540147	1.6115934	-0.60487194	-0.19883157	0.082194763	0.13019386	0.29171132	1.9371377	1.7945194	1.5274207	1.7945186	1.527433	0.021493056	1.5389959	1.0983304	7.5384336e-05	2.1581354e-06	0.11470625	1.2431257	0.11470794	1.243095	5.8806495e-06	-1.6856616e-06	1.2291894	0.74730052	-1.5936016	-0.5731806	1.5936097	0.57320183	-0.31369261	2.5745958	0.028274779	0.25814847	0.060987858	0.18662658	0.3851167	0.18662742	0.38511011	0.021745418	0.35264642	0.037163671	4.2667164	5.3580807	5.1376432	5.0180211	5.1376455	5.0180276	4.365923	6.215977	5.257932	2.7433607	3.3487467	5.2861551	3.3487627	5.2861169	3.6985848	3.1422996	-73.520704	R0:S0:1	-56.662578	uncorrelated	b7fd39a	v1.0.3	2022-07-28@11:15
2x2_2C_8b_C2v_L	5.0762806	0	14	2.5191	0.0094855716	-3.1052103	-3.8232233	-0.13274843	-3.8232121	-0.13274725	0.17124802	-3.4586547	9.4533333	-1.5041735e-05	8.5169868e-06	0.0062356157	-0.19248382	0.0062380954	-0.19248478	6.1894689e-06	8.0047846e-06	-0.11816249	-1.0740776	1.7037887	0.022600036	-1.7037866	-0.022595441	0.26233407	-2.2557308	2.0555	1	0.2182	0.0092087679	1.2504541	1.6059613	-0.61756166	-0.2071611	0.085397404	0.12888117	0.31807546	1.9344347	1.7855782	1.5275657	1.7855798	1.5275658	0.023972248	1.521972	1.0946568	0.00013626997	-1.6574841e-05	0.11795031	1.2735672	0.11795357	1.2735957	-3.7722321e-05	-1.0878411e-05	1.2569134	0.7581088	-1.6228046	-0.5064948	1.6227937	0.50646543	-0.32627445	2.6092786	0.028031632	0.28338866	0.063509386	0.19381872	0.39057672	0.19381742	0.39057605	0.024409964	0.35974515	0.037598492	4.3653842	5.3436545	5.157609	4.9635931	5.1576072	4.9635745	4.3766696	6.2812255	5.2436479	2.7535758	3.3550652	5.3368258	3.3550514	5.3368412	3.6969839	3.1043657	-72.473562	R0:S0:1	-55.473867	uncorrelated	b7fd39a	v1.0.3	2022-07-28@11:37
