model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	9.3554825	0	14	4.0781	0.021088851	-2.6345422	-3.5258337	-0.1996221	-3.5260034	-0.19952273	0.25144448	-3.1311764	10.6	4.8559565e-05	-1.9869882e-05	0.014200147	-0.24455578	0.014216746	-0.24451072	-1.2031452e-05	4.3640207e-07	-0.13969618	-1.0743007	1.7680683	0.048035141	-1.768091	-0.048071862	0.34066304	-2.3581859	2.1719	1	0.1609	0.01552894	1.2176563	1.5836969	-0.73011079	-0.28011077	0.11565109	0.17380477	0.30097016	1.9098692	1.6791089	1.4695228	1.6790942	1.469491	0.019046378	1.3541067	1.1343722	-0.00042355812	9.4500836e-05	0.20839389	1.4167175	0.20828585	1.4165205	6.5652047e-05	1.2941315e-05	1.4941512	0.80303413	-1.9744469	-0.7505941	1.9745518	0.75076976	-0.34041951	3.0245679	0.035792512	0.2548883	0.086020054	0.27468753	0.43651668	0.27469594	0.43655207	0.019399143	0.42572956	0.047578002	4.1423596	5.6663086	5.5780712	4.8755224	5.5781055	4.8756813	4.2687728	6.9788272	5.1531263	2.4100964	3.1106563	5.2162436	3.1106809	5.2161477	3.7902987	2.3773537	-76.11313	R0:S0:1	-52.1752	uncorrelated	b7fd39a	v1.0.3	2022-08-02@11:33
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	9.1894087	0	14	4.0781	0.02083435	-2.5734271	-3.4563398	-0.20871888	-3.4575759	-0.20887307	0.25742954	-3.0620775	10.5	3.8868047e-05	2.4244788e-05	0.011050422	-0.2520755	0.011068748	-0.25214605	-7.6855667e-06	6.4963992e-06	-0.14198069	-1.068823	1.7646951	0.034842977	-1.7650181	-0.034853429	0.34932036	-2.3561939	2.1719	1	0.1609	0.011450556	1.2133525	1.5774723	-0.74371782	-0.28893957	0.11922823	0.17169351	0.31624977	1.9050395	1.6623434	1.4760002	1.6623745	1.4762371	0.019827377	1.3357414	1.1293544	-0.00030193783	-0.00010566021	0.20802397	1.4162204	0.2080641	1.4158417	2.5570378e-05	-7.2924774e-06	1.537209	0.81825865	-2.0261896	-0.68237049	2.026288	0.682518	-0.34744187	3.0567997	0.035451461	0.26667002	0.090334424	0.28642145	0.44255883	0.28640352	0.44245305	0.020243861	0.42947215	0.048099148	4.2341333	5.6508267	5.6413045	4.8295571	5.641263	4.8296458	4.2736691	7.0373431	5.0935437	2.4172209	3.1181297	5.2525476	3.1184095	5.2520663	3.7879152	2.3213965	-75.234412	R0:S0:1	-51.3752	uncorrelated	b7fd39a	v1.0.3	2022-08-02@11:45
2x2_2C_8b_C2v_L	9.2100033	0	14	4.0781	0.020553279	-2.5775739	-3.460823	-0.20828376	-3.4623814	-0.20852346	0.25645739	-3.0679191	10.51	0.00014784371	1.8729096e-05	0.01094906	-0.25180607	0.010963095	-0.25192664	-6.9234081e-05	2.0689846e-05	-0.14178452	-1.0689613	1.7644214	0.034486523	-1.7648107	-0.034588909	0.34865565	-2.3556103	2.1719	1	0.1609	0.011593945	1.2138897	1.5781956	-0.74204792	-0.28781771	0.11876411	0.17190294	0.31347598	1.9056462	1.6642739	1.4805248	1.6643361	1.4807793	0.019819457	1.3384659	1.1299667	-0.001252357	-5.7482813e-05	0.20602902	1.4128458	0.20603979	1.4125685	0.00028539325	-1.1061401e-05	1.5309178	0.815932	-2.0201169	-0.67564141	2.0201255	0.67608586	-0.34717635	3.0516317	0.035485318	0.26520637	0.089809827	0.28517385	0.43977319	0.2851339	0.43959713	0.020235696	0.42891501	0.048013637	4.2145992	5.6546313	5.6392572	4.8302003	5.6390869	4.8303855	4.2734437	7.0278687	5.0981645	2.4171425	3.1223315	5.2480892	3.1225813	5.2476841	3.7884672	2.3302772	-75.305464	R0:S0:1	-51.4552	uncorrelated	b7fd39a	v1.0.3	2022-08-02@11:58
2x2_2C_8b_C2v_L	9.2235762	0	14	4.0781	0.020489993	-2.5819637	-3.4660434	-0.20637303	-3.4681125	-0.20677173	0.25543655	-3.0742291	10.52	-0.00023666348	1.8271811e-06	0.011311126	-0.25053114	0.011223962	-0.25075961	0.00017530068	-4.9689099e-05	-0.14155538	-1.0692689	1.7646308	0.036075039	-1.7652077	-0.035719628	0.3472625	-2.3560641	2.1719	1	0.1609	0.012008027	1.214244	1.5787313	-0.74093444	-0.28711313	0.11849342	0.17211936	0.31407569	1.9058889	1.6654367	1.4760038	1.6657196	1.4754265	0.019759035	1.3394694	1.1303965	0.002075548	-0.00016223378	0.20706858	1.4152064	0.20740485	1.4175722	-0.0008209003	-6.5170954e-05	1.5284268	0.81559148	-2.0164982	-0.68792173	2.0155343	0.68627027	-0.34606234	3.0501607	0.035520406	0.26545519	0.089582661	0.28430618	0.44126379	0.28411007	0.44146161	0.020170922	0.42872015	0.047986599	4.2168253	5.653814	5.6313538	4.8360393	5.6300578	4.8345864	4.272685	7.0254273	5.104762	2.4163744	3.1182637	5.2471965	3.1178287	5.2503963	3.7886582	2.3330594	-75.380642	R0:S0:1	-51.5352	uncorrelated	b7fd39a	v1.0.3	2022-08-02@12:05
2x2_2C_8b_C2v_L	9.2386506	0	14	4.0781	0.020775321	-2.5910121	-3.4770106	-0.20619494	-3.4761475	-0.20601114	0.25533193	-3.0822962	10.53	0.00063243959	5.3173921e-06	0.011906035	-0.25009518	0.012001665	-0.24995743	-0.00018092379	2.8034222e-05	-0.14129598	-1.0703527	1.7658033	0.038203267	-1.7655464	-0.038657629	0.34679264	-2.356545	2.1719	1	0.1609	0.012666289	1.21464	1.5792822	-0.73972067	-0.28628717	0.11816784	0.17232352	0.31338081	1.9063506	1.6677184	1.4724075	1.6674541	1.4731883	0.019696603	1.3412095	1.13087	-0.0054830617	0.00022107744	0.20906906	1.4199143	0.20872644	1.417207	0.00078925708	3.6518346e-05	1.5252136	0.81455995	-2.0094174	-0.70209236	2.0104963	0.70427509	-0.34567007	3.0471993	0.035553474	0.26459898	0.089162792	0.28268476	0.44152641	0.28286956	0.44119193	0.020100479	0.42838789	0.047940444	4.2141928	5.6537934	5.6196319	4.8414475	5.6208714	4.8431867	4.2722636	7.0202044	5.1114225	2.4157566	3.114914	5.2455686	3.1155252	5.2418869	3.7887459	2.3384393	-75.49044	R0:S0:1	-51.6152	uncorrelated	b7fd39a	v1.0.3	2022-08-02@12:18
2x2_2C_8b_C2v_L	9.2507576	0	14	4.0781	0.021147261	-2.5971545	-3.4816655	-0.20472717	-3.4841905	-0.20520604	0.25522641	-3.0901328	10.54	-0.0017382257	-0.00014290342	0.012887777	-0.24898595	0.012552985	-0.24914985	0.00075307471	-0.00020131402	-0.14107872	-1.0709069	1.7651286	0.042139261	-1.7660151	-0.040828415	0.34629264	-2.35699	2.1719	1	0.1609	0.013354657	1.2149633	1.5797327	-0.73875936	-0.28561707	0.11791479	0.17252434	0.31406045	1.9065899	1.6691325	1.4664995	1.6692852	1.4666944	0.019648565	1.3423513	1.1312776	0.01515938	-0.0004345499	0.21051698	1.4224413	0.21190234	1.4235275	-0.0033298121	-0.00014015738	1.523775	0.81451787	-2.0049377	-0.72651608	2.0046704	0.72177452	-0.34523319	3.045476	0.035586188	0.26447599	0.08893183	0.28160054	0.44268473	0.28151883	0.44300284	0.020045844	0.42818161	0.047913208	4.2201215	5.6518052	5.608562	4.8522411	5.6081841	4.8493226	4.2717942	7.0173604	5.1177791	2.4150963	3.1090289	5.2403707	3.109787	5.2419451	3.7886884	2.3417962	-75.577856	R0:S0:1	-51.6952	uncorrelated	b7fd39a	v1.0.3	2022-08-02@12:25
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	9.3554825	0	14	4.0781	0.021088851	-2.6345422	-3.5258337	-0.1996221	-3.5260034	-0.19952273	0.25144448	-3.1311764	10.6	4.8559565e-05	-1.9869882e-05	0.014200147	-0.24455578	0.014216746	-0.24451072	-1.2031452e-05	4.3640207e-07	-0.13969618	-1.0743007	1.7680683	0.048035141	-1.768091	-0.048071862	0.34066304	-2.3581859	2.1719	1	0.1609	0.01552894	1.2176563	1.5836969	-0.73011079	-0.28011077	0.11565109	0.17380477	0.30097016	1.9098692	1.6791089	1.4695228	1.6790942	1.469491	0.019046378	1.3541067	1.1343722	-0.00042355812	9.4500836e-05	0.20839389	1.4167175	0.20828585	1.4165205	6.5652047e-05	1.2941315e-05	1.4941512	0.80303413	-1.9744469	-0.7505941	1.9745518	0.75076976	-0.34041951	3.0245679	0.035792512	0.2548883	0.086020054	0.27468753	0.43651668	0.27469594	0.43655207	0.019399143	0.42572956	0.047578002	4.1423596	5.6663086	5.5780712	4.8755224	5.5781055	4.8756813	4.2687728	6.9788272	5.1531263	2.4100964	3.1106563	5.2162436	3.1106809	5.2161477	3.7902987	2.3773537	-76.11313	R0:S0:1	-52.1752	uncorrelated	b7fd39a	v1.0.3	2022-08-02@12:32
