CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	M	M_ave	U	U_1_ave	Up	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	ed	ed_ave	e	ep_2_ave	e_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tbA1down_1	tbA1down_1_ave	tbA1up_1	tbA1up_1_ave	tbA2down_1	tbA2down_1_ave	tbA2up_1	tbA2up_1_ave	tbA3down_1	tbA3down_1_ave	tbA3up_1	tbA3up_1_ave	tbA4down_1	tbA4down_1_ave	tbA4up_1	tbA4up_1_ave	tbA5down_1	tbA5down_1_ave	tbA5up_1	tbA5up_1_ave	tbA6down_1	tbA6down_1_ave	tbA6up_1	tbA6up_1_ave	tbA7down_1	tbA7down_1_ave	tbA7up_1	tbA7up_1_ave	tbA8down_1	tbA8down_1_ave	tbA8up_1	tbA8up_1_ave	tbB1down_1	tbB1down_1_ave	tbB1up_1	tbB1up_1_ave	tbB2down_1	tbB2down_1_ave	tbB2up_1	tbB2up_1_ave	tbB3down_1	tbB3down_1_ave	tbB3up_1	tbB3up_1_ave	tbB4down_1	tbB4down_1_ave	tbB4up_1	tbB4up_1_ave	tbB5down_1	tbB5down_1_ave	tbB5up_1	tbB5up_1_ave	tbB6down_1	tbB6down_1_ave	tbB6up_1	tbB6up_1_ave	tbB7down_1	tbB7down_1_ave	tbB7up_1	tbB7up_1_ave	tbB8down_1	tbB8down_1_ave	tbB8up_1	tbB8up_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	trb1_1	trb1_1_ave	trb2_1	trb2_1_ave	trb3_1	trb3_1_ave	trb4_1	trb4_1_ave	trb5_1	trb5_1_ave	trb6_1	trb6_1_ave	trb7_1	trb7_1_ave	trb8_1	trb8_1_ave	version	
4	Broyden	0	3.795501547e-06	-85.02027697	-55.90814815	5.174491963	YY	0	0.001177092938	8	0.5311098021	0	self-energy/D/M	sharp_wc_2_b_50	-0.2142928547	1.991094387	-3.014642409	1.287614256	-2.882253008	1.84933256	-3.00013212	1.807886257	-0.1895124685	1.280279818	-3.243958159	1.710867928	-3.242255089	1.708846697	-0.1892725532	1.280017286	0	0.4835665416	2.981481481	2	1.203084467	a248bdd	2x2_2C_8b_C2v_L	9.97	1.514845636	2	1.686651001	1.0008599255252446	1.0000000000000004	0.0004702278391	0.0008269014037	0.0002028365273	0.002326168525	-0.04681484798	0.1246513011	-0.1501531437	0.3893937327	0.2561316878	-2.683387967	0.0001162463151	8.097239128e-06	-8.220161194e-05	-7.910197037e-06	-0.2560099113	2.683294291	boucle.py	R0:S0:1	uncorrelated	0.002065316801	-0.003134746378	-0.0008208952586	0.002938503169	2.064744356	-0.9358162104	0.5933647228	-0.599795793	0.01580953484	-0.001842994113	1.417512306	-0.4378638145	-1.351884778	0.1223152239	1.904014945	-0.5706556673	0.0006976237579	-0.001655070421	0.0007670466381	-0.001675353645	1.018179305	-0.2241753828	-1.730855943	0.3743888634	2.042021673	-0.4498911649	-1.484231789	0.3212332867	-0.0007763833676	0.001732460365	-0.0007828476199	0.001715936162	7.288087826e-05	-0.003762831717	-0.0006569868036	0.002937479765	2.237847107	-0.9368986923	2.348583745	-0.6800549477	-0.01064725396	-0.0005369600069	0.4539232591	-0.3989063682	1.036094182	0.01916219902	0.6030354614	-0.5191599856	-0.0007276651073	0.001348485341	-0.0007911820941	0.001414942399	-2.040464768	0.4423492374	1.485963555	-0.326174268	1.016891654	-0.2205952382	-1.732022838	0.3804089167	-0.0007012120155	0.001427401087	-0.0007831215826	0.001410242563	2024-08-30@09:33	2.148148148	-0.7094688538	1	-6.661338148e-16	-0.3509329907	0.09259259259	1.110223025e-16	0.1386049554	-0.3444401458	0.3644497956	0.0003679134185	0.0004081863334	-0.4244650197	1.126112715	0.1424193154	-0.3700830952	4.662208348e-05	0.00105430617	-0.0002082500219	-0.0001149392842	-0.0002067092559	-0.0003950391488	-3.973214304e-05	-0.001077315677	v2.7.1	
1	Broyden	0	1.070228694e-05	-85.02414055	-55.98814815	5.190724687	YY	0	0.001387201632	8	0.5324242372	0	self-energy/D/M	sharp_wc_2_b_50	-0.212178278	1.98980208	-3.016179409	1.286996717	-2.869766338	1.849880747	-3.00386071	1.808154578	-0.1878088721	1.283610032	-3.239642084	1.711933618	-3.238754773	1.709551792	-0.1874811071	1.283138001	0	0.4841198063	2.981481481	2	1.20347057	a248bdd	2x2_2C_8b_C2v_L	9.98	1.516295234	2	1.687590381	1.0009349842919566	1.0000000000000004	0.0005391196886	0.0008163737106	0.001149038296	0.01064278986	-0.046147327	0.1234309273	-0.1486787651	0.3848281807	0.2551566767	-2.680082076	0.0001793543704	-2.649316188e-06	0.0001982144486	-0.0004357707331	-0.2550355561	2.680218917	boucle.py	R0:S0:1	uncorrelated	0.005585453201	-0.01548708984	-0.003879320226	0.01490070872	2.068824246	-0.9368721679	0.5935509632	-0.5998720433	0.008233256202	-0.00180257368	1.410431176	-0.4366405564	-1.343725545	0.1188293808	1.905238677	-0.570336083	0.003493428611	-0.007277785539	0.003846879008	-0.008044647994	1.024211935	-0.2251867186	-1.723964396	0.371186133	2.036243574	-0.4480589021	-1.487526462	0.3204937187	-0.003925268657	0.008415327367	-0.003730740294	0.007740436477	0.003444548476	-0.01604696336	-0.004123035518	0.01505757442	2.232147138	-0.9362871713	2.347478409	-0.6806209353	-0.002337139141	-0.0008671555716	0.4513262248	-0.3987364978	1.044530864	0.01609083488	0.6035671846	-0.5197242149	-0.003808345336	0.007691848604	-0.003512542947	0.007050794713	-2.034067273	0.4390895843	1.489422655	-0.3264232511	1.022860122	-0.220984182	-1.725793026	0.3784771132	-0.003475049565	0.007297798544	-0.004209094724	0.008184124398	2024-08-30@09:37	2.148148148	-0.7077576909	1	-5.273559367e-16	-0.3503258618	0.09259259259	2.958228395e-31	0.1383542615	-0.3430929078	0.3648013426	0.0002422597805	0.002201482509	-0.422384958	1.123176403	0.1426958631	-0.3716501739	8.107295606e-05	0.001150574077	-0.0009054754407	-0.001271682571	-0.0009904644156	-0.001559429504	-2.517947061e-05	-0.001217430926	v2.7.1	
1	Broyden	0	-6.973335607e-06	-85.0965016	-56.06814815	5.207180489	YY	0	0.001358140837	8	0.533717203	0	self-energy/D/M	sharp_wc_2_b_50	-0.2109217138	1.98960238	-3.017483651	1.286261693	-2.874099785	1.850286056	-3.006353604	1.808602629	-0.1873477492	1.287518865	-3.243588378	1.713492312	-3.240173591	1.711147643	-0.1869276764	1.287329809	0	0.4846927746	2.981481481	2	1.203858716	a248bdd	2x2_2C_8b_C2v_L	9.99	1.517712198	2	1.688551498	1.0008506513515538	1.0000000000000004	0.0005440038547	0.0007774015661	0.001196562193	0.0117238198	-0.04601367061	0.1230436795	-0.1481592943	0.3830821573	0.2549251676	-2.678315378	-7.857920547e-05	0.0004649368085	0.0001433353887	-0.0003002512145	-0.2546797302	2.677899298	boucle.py	R0:S0:1	uncorrelated	0.005740822682	-0.01656272103	-0.004081732111	0.01622057242	2.068214568	-0.9370336292	0.5951478278	-0.6009164499	0.006890982056	-0.001937835859	1.410681581	-0.4363964135	-1.342945429	0.1181973132	1.903572892	-0.5697151135	0.003790233159	-0.007731537232	0.003933495945	-0.008390561933	1.023782722	-0.2237915989	-1.723714253	0.3693757183	2.035730671	-0.4455181636	-1.487631696	0.3189692462	-0.003900812544	0.008318620735	-0.003748629397	0.007648497141	0.003539320298	-0.01708362456	-0.004553744251	0.01640417801	2.230336884	-0.9363571962	2.346823755	-0.681024906	-0.0001644126415	-0.001072126296	0.4499525736	-0.3986664674	1.045525368	0.01600425907	0.6010737235	-0.5192227093	-0.004466627064	0.008621884091	-0.003703707513	0.007850038156	-2.03425413	0.4366959093	1.49024259	-0.3249980351	1.022050598	-0.2196631836	-1.724607464	0.3763283751	-0.003715715402	0.007660373921	-0.004308398195	0.008505420041	2024-08-30@09:42	2.148148148	-0.7060133653	1	-4.440892099e-16	-0.3497215722	0.09259259259	6.162975822e-33	0.1381021598	-0.3422604017	0.3643244227	6.919997128e-05	0.002506690656	-0.42170051	1.120103368	0.1430653313	-0.3726150104	9.073326049e-05	0.0008685911078	-0.001002218876	-0.00142297705	-0.0009783476197	-0.001518169855	-7.401652804e-05	-0.001053182722	v2.7.1	
1	Broyden	0	-4.047545851e-06	-85.1067276	-56.14814815	5.221529801	YY	0	0.001549654206	8	0.5353588279	0	self-energy/D/M	sharp_wc_2_b_50	-0.209485616	1.948965057	-3.020718332	1.291118301	-2.839275464	1.851901992	-3.023293799	1.808643283	-0.1856346388	1.287834672	-3.243125433	1.714292753	-3.240915042	1.711790871	-0.1852965549	1.287641406	0	0.4851476133	2.981481481	2	1.204213159	a248bdd	2x2_2C_8b_C2v_L	10	1.519493164	2	1.689360774	1.001084222689947	1.0000000000000004	0.0006249942992	0.0002615597996	0.006134557619	0.05737322443	-0.04362470886	0.119361488	-0.1464797956	0.3757643248	0.2536949561	-2.673051441	0.0008564235447	-0.0006483107395	0.001167867363	-0.001634527144	-0.2535024085	2.672749503	boucle.py	R0:S0:1	uncorrelated	0.02583655306	-0.08556554841	-0.02091614206	0.08098948917	2.078332088	-0.9340492588	0.5915417722	-0.5969472494	-0.000746244537	-0.004564062345	1.392736298	-0.4306091269	-1.327912938	0.1100855521	1.913903501	-0.5698565706	0.01879892577	-0.03939590543	0.02075128454	-0.04248371506	1.042014213	-0.2278441044	-1.707907012	0.3645147611	2.024447526	-0.4430979411	-1.501715773	0.3205896637	-0.02053844456	0.04258484203	-0.01962372361	0.03989010802	0.02304405543	-0.08523113708	-0.02287171329	0.0821387399	2.219774554	-0.9310899299	2.344924203	-0.6777109406	0.01820466604	-0.003082697422	0.4386372187	-0.3951557989	1.066515829	0.008276941377	0.6123190107	-0.5197867039	-0.02065250663	0.04199302182	-0.01936578945	0.03951708392	-2.022291548	0.4329425206	1.50439565	-0.3277226308	1.040326944	-0.2229300064	-1.70938749	0.3724839738	-0.01856564406	0.03891699376	-0.02115275155	0.04254376939	2024-08-30@09:46	2.148148148	-0.7045453561	1	-7.21644966e-16	-0.3491281586	0.09259259259	1.665334537e-16	0.1378799393	-0.3407242973	0.4070465351	0.001039837399	0.01155955653	-0.4198165003	1.121968273	0.142919488	-0.3777027147	9.30600934e-05	0.001400458498	-0.004901385721	-0.007260630347	-0.005042905525	-0.006804348334	-9.091663439e-05	-0.001595611361	v2.7.1	
1	Broyden	0	3.453659659e-06	-85.12371294	-56.22814815	5.237748586	YY	0	0.001581183312	8	0.536690493	0	self-energy/D/M	sharp_wc_2_b_50	-0.2080139907	1.943303486	-3.02279805	1.290458849	-2.843334065	1.85235622	-3.014256767	1.8102418	-0.18290421	1.290031655	-3.238300523	1.714827611	-3.240652288	1.712647221	-0.1835205675	1.290369426	0	0.4856963682	2.981481481	2	1.204598151	a248bdd	2x2_2C_8b_C2v_L	10.01	1.520960047	2	1.690294499	1.0011075347965934	1.0000000000000004	0.0005416641492	0.0003985335221	0.006376334024	0.06134585012	-0.04412388474	0.1206926931	-0.1474226674	0.3787351486	0.252378081	-2.669744439	0.0005450159176	-0.0001762136764	0.0007935643256	-0.0009692315315	-0.2526652491	2.669873113	boucle.py	R0:S0:1	uncorrelated	0.0269256208	-0.09083196887	-0.02194901696	0.08590520458	2.075289562	-0.9334224603	0.5981139284	-0.5986469909	0.007316799658	-0.005355740584	1.398983589	-0.4311539799	-1.327526812	0.1109952878	1.902580909	-0.566754093	0.0194900322	-0.04064721646	0.02148066604	-0.04422017593	1.04270294	-0.2277831419	-1.707032485	0.3635462507	2.022005592	-0.4413595897	-1.499034105	0.3189349142	-0.02169764633	0.04465853433	-0.0201914166	0.04114915564	0.02423603753	-0.0903013749	-0.02380830751	0.08707201635	2.220123593	-0.9304987986	2.345447782	-0.6786933203	0.01201647312	-0.00316548448	0.4365843938	-0.3958267419	1.060645951	0.010089893	0.60466274	-0.5171434522	-0.02184982995	0.04422410924	-0.01996159266	0.04100130248	-2.018357354	0.4311705282	1.500460828	-0.3264104863	1.041696686	-0.2223385859	-1.710032346	0.3716456788	-0.01950094933	0.04061982544	-0.02207719877	0.04476187779	2024-08-30@09:50	2.148148148	-0.7028379892	1	-5.273559367e-16	-0.3485143576	0.09259259259	2.958228395e-31	0.1376308755	-0.339582025	0.4123180829	0.001147571337	0.0121986932	-0.4170112591	1.113463673	0.1410470971	-0.373833188	0.000148960464	0.001417926254	-0.005117460296	-0.006821767186	-0.005289983538	-0.006588172682	-3.214825924e-05	-0.001562145566	v2.7.1	
1	Broyden	0	3.108227019e-06	-79.08201466	-56.30814815	5.204848226	YY	0	0.001988964845	8	0.5448067448	0	self-energy/D/M	sharp_wc_2_b_50	-0.3042511578	1.785968414	-3.437484548	1.194297562	-0.06099865947	1.645405755	-2.141443415	1.986420611	-0.1890092498	1.249359937	-3.309910933	1.708851331	-3.305141452	1.707431356	-0.1881321817	1.249006875	0	0.4837364972	2.981481481	2	1.204212637	a248bdd	2x2_2C_8b_C2v_L	10.02	1.530000941	2	1.687949133	0.9999969578622898	1.0000000000000004	-1.223647236e-05	0.00035094632	0.01031606121	0.02836548028	-0.0007293627399	0.0006141635277	3.589634409e-05	-0.0001262849137	0.2496162873	-2.633758999	0.002741085926	-0.001271932341	0.002373829641	-0.0007843603396	-0.2491566173	2.632539295	boucle.py	R0:S0:1	uncorrelated	0.06411179749	-0.1037274301	-0.06438328556	0.1000751389	2.292459908	-0.8585352163	2.238604231	-0.844254662	-0.1921905044	0.3537393904	0.178392613	-0.3447556272	-0.9160401225	0.006008775042	1.000351077	-0.04173691665	0.07332020801	-0.1644643592	0.07645428594	-0.1679087596	0.8374104457	-0.1870730077	-1.208832831	0.2631135661	2.125973213	-0.4758636665	-1.935023777	0.4219307053	-0.07937458703	0.1707724988	-0.07892408623	0.1682655934	0.06486317052	-0.1010863446	-0.06328710999	0.1030881436	2.226509157	-0.8433855657	2.281141957	-0.8578321227	-0.1768282416	0.3439059957	0.1911825752	-0.3536949612	1.0184302	-0.05085653695	-0.9347157227	0.01533121929	-0.07869502127	0.1688286891	-0.07874542006	0.1677132658	-2.124670766	0.4630806855	1.939430176	-0.433628434	0.8351265545	-0.1821159733	-1.209505636	0.2706980135	-0.07333481331	0.1640296296	-0.07608484295	0.1684558557	2024-08-30@09:55	2.148148148	-0.7075071538	1	-6.106226635e-16	-0.3483157882	0.09259259259	2.220446049e-16	0.1377831719	-0.3826207354	0.8041298599	0.0009509526006	-0.000414464959	-0.0002296199913	0.00206260646	-0.01675671494	0.04123075375	0.0001890156196	0.0003603545914	-0.01764140075	-0.05812091071	-0.01758011638	-0.05862078247	-9.853720138e-05	-0.0004379474624	v2.7.1	
5	Broyden	0	1.148175843e-05	-85.31310178	-56.38814815	5.274223015	YY	0	0.001624555163	8	0.5387603586	0	self-energy/D/M	sharp_wc_2_b_50	-0.2076492009	1.991404102	-3.023401635	1.276491458	-2.871607605	1.859037714	-3.01558988	1.809571486	-0.1826401914	1.302675806	-3.247694084	1.718929709	-3.245553651	1.716518499	-0.1821331018	1.302352012	0	0.4870312428	2.981481481	2	1.205427826	a248bdd	2x2_2C_8b_C2v_L	10.03	1.523235343	2	1.692459068	1.000879693926381	1.0000000000000004	0.0004977827275	0.000746561111	-0.0001227313262	-0.0008900890897	-0.04205249965	0.1120597536	-0.1399366514	0.3616433918	0.2530048772	-2.668764597	-8.429668824e-05	0.0003128222931	-2.161794899e-05	-0.0001332210828	-0.2527406022	2.668586816	boucle.py	R0:S0:1	uncorrelated	0.0008325627855	0.001746528573	0.0002786239612	-0.001406579695	2.093702982	-0.9410179515	0.6270880019	-0.6122143768	-0.005287872391	0.0001948263224	1.355384678	-0.4173044291	-1.293988155	0.09634086323	1.927174201	-0.5715966352	-0.0003815988956	0.0007259375178	-0.0004994569393	0.0007451001021	1.089105973	-0.2343968565	-1.674632402	0.3515473021	1.997942518	-0.4303016683	-1.536398775	0.32281182	0.0002764240365	-0.0003296961642	0.0002421639931	-0.0003393091746	-0.001500644453	0.0009536543723	0.0004727291796	-0.001448822967	2.200640176	-0.9363220371	2.352823858	-0.6909067553	0.005440165002	-0.00026519213	0.4158702433	-0.3814464174	1.093840974	-0.003573344852	0.58324571	-0.5218486271	0.0003842792679	-0.001020779694	0.0004940613148	-0.001076186896	-1.995622455	0.4199797602	1.539130662	-0.3301781404	1.08697184	-0.2289173582	-1.676516992	0.3599634182	0.0002562037486	-0.0006513448689	0.0002221313313	-0.0006347570745	2024-08-30@10:06	2.148148148	-0.6988855594	1	-6.106226635e-16	-0.3472704752	0.09259259259	1.232595164e-31	0.1370929646	-0.3391823723	0.3597550246	9.731569494e-05	-0.0001452375602	-0.420492889	1.116911038	0.1395780263	-0.3607642204	5.454842516e-05	0.001162445459	0.0001537892212	9.238717925e-05	4.875126671e-05	-0.0001310185196	-5.542455668e-05	-0.001118557308	v2.7.1	
1	Broyden	0	1.67405784e-05	-79.90595247	-56.46814815	5.244345558	YY	0	0.002031324483	8	0.5467820322	0	self-energy/D/M	sharp_wc_2_b_50	-0.2982065066	1.771599099	-3.480302196	1.200403248	-0.0864974886	1.706251341	-2.148290785	1.986730834	-0.2104721842	1.25425616	-3.41767476	1.72189063	-3.435049322	1.72274358	-0.2123716678	1.255800583	0	0.4850431239	2.981481481	2	1.205111522	a248bdd	2x2_2C_8b_C2v_L	10.04	1.531952224	2	1.690151676	1.000031322738745	1.0000000000000004	-2.6068953e-05	0.0001084140453	0.01180360294	0.05650219168	-0.003140737719	0.01511652017	-1.550490899e-05	4.662167568e-07	0.2519249065	-2.578755417	0.0007020870321	8.573974328e-05	0.0008862581024	-0.0004868547774	-0.2528170168	2.580776607	boucle.py	R0:S0:1	uncorrelated	0.0953732175	-0.1634239961	-0.09786456369	0.1570117899	2.286196556	-0.855714322	2.230212724	-0.8405397898	-0.194194807	0.3380862867	0.1744908252	-0.3290203456	-0.928938955	0.01194444055	1.015836158	-0.04893723269	0.1077793421	-0.2253811834	0.1083676809	-0.225418007	0.9153984856	-0.1974591574	-0.9979164196	0.2093976521	2.123715336	-0.456439694	-2.081124866	0.4348349658	-0.1132542344	0.2292842964	-0.11360081	0.2282154485	0.09768623331	-0.1566024721	-0.0955081312	0.1632698128	2.237241884	-0.841408474	2.292613997	-0.8562978473	-0.1768562832	0.3298622758	0.1963786817	-0.3387661027	1.004775077	-0.04346480036	-0.9173217211	0.006330478331	-0.1130764924	0.2283444523	-0.1126218494	0.2288046832	-2.114655228	0.443434775	2.079998084	-0.4483662359	0.9162807853	-0.1909617048	-1.002258687	0.2146548828	-0.1076004901	0.223153512	-0.10819399	0.2248465781	2024-08-30@10:11	2.148148148	-0.7032567085	1	-4.440892099e-16	-0.346913915	0.09259259259	6.162975822e-33	0.1372789259	-0.3787069072	0.801558575	0.0002062260428	-3.631996117e-05	0.000531526463	-0.004587326916	-0.02818746619	0.07579386095	7.726519729e-05	0.000141778399	-0.02136909583	-0.09183357083	-0.02165181353	-0.09159789453	-2.518322865e-05	-0.0003390921341	v2.7.1	
1	Broyden	0	4.465330301e-05	-85.38445727	-56.54814815	5.308295614	YY	0	0.001698283712	8	0.5411476792	0	self-energy/D/M	sharp_wc_2_b_50	-0.2070936862	1.991045709	-3.028295032	1.275704685	-2.857504056	1.85968982	-3.024717864	1.809810796	-0.1779160865	1.309016887	-3.24582615	1.720853833	-3.244154102	1.71844449	-0.1778922006	1.308772621	0	0.4882077968	2.981481481	2	1.206219945	a248bdd	2x2_2C_8b_C2v_L	10.05	1.525856243	2	1.694427398	1.000952098454733	1.0000000000000002	0.0005590748729	0.0007731157144	-0.000618666188	-0.006090497103	-0.04109698686	0.1097011969	-0.1386421481	0.3577125561	0.2510066876	-2.662608046	-0.0001490626571	0.0004089626707	-0.0002701847948	0.0002694903011	-0.2509972865	2.662600762	boucle.py	R0:S0:1	uncorrelated	-0.0007926878561	0.008897042969	0.001875190207	-0.00830082098	2.096636905	-0.9418123528	0.6271737041	-0.6126703428	-0.009593510335	0.0007769712173	1.345496243	-0.4165730539	-1.28685765	0.09284979051	1.929892068	-0.5713595369	-0.001713510733	0.00325611746	-0.001902722682	0.003471169919	1.092734291	-0.2337574231	-1.667934071	0.3475717301	1.992180797	-0.4264037289	-1.538679525	0.3208246831	0.001437102128	-0.002951528073	0.001603556801	-0.002860064726	-0.003341480551	0.00785545341	0.00224165405	-0.008450643571	2.195055068	-0.9361841927	2.351131002	-0.6910324313	0.008170647138	-0.0001311168565	0.4145629624	-0.381407457	1.101149505	-0.006111151722	0.5824458097	-0.5225255145	0.001881021472	-0.003999552258	0.001764330938	-0.00386692852	-1.989521289	0.4156563318	1.541190663	-0.3285530576	1.090831973	-0.2280272616	-1.670067839	0.356234081	0.001540350046	-0.003329932467	0.001826731225	-0.003630030395	2024-08-30@10:15	2.148148148	-0.6952607555	1	-4.996003611e-16	-0.3460143887	0.09259259259	-1.387778781e-16	0.1365868986	-0.3380464935	0.3591801479	0.0001931448664	-0.001210770166	-0.4173610323	1.111362297	0.1393015707	-0.3587395268	8.355027981e-05	0.001225347501	0.000508426851	0.0002542622096	0.0003965242293	-5.321666411e-05	-5.519415666e-05	-0.001246107743	v2.7.1	
1	Broyden	0	-1.10786321e-05	-80.56923716	-56.62814815	5.282683471	YY	0	0.002244627328	8	0.549070568	0	self-energy/D/M	sharp_wc_2_b_50	-0.3055402552	1.76351435	-3.532528282	1.209578392	-0.1099453277	1.742074862	-2.169627565	1.985713383	-0.2273767266	1.26269075	-3.500377593	1.73124067	-3.481451904	1.730675185	-0.2258223356	1.261924381	0	0.4863927512	2.981481481	2	1.205976725	a248bdd	2x2_2C_8b_C2v_L	10.06	1.534262752	2	1.69236949	0.9998911787146973	1.0	-1.355241185e-05	-6.835390578e-05	0.01185119912	0.07400960654	-0.008920428257	0.05426748404	-0.0001366018891	0.000343953581	0.255507548	-2.556319366	-0.001526598534	-0.0004015617107	-0.00133462417	-0.0007677995961	-0.2547284032	2.554883234	boucle.py	R0:S0:1	uncorrelated	0.1122163973	-0.1966456643	-0.1154128946	0.1831167981	2.315675787	-0.8528999624	2.213400246	-0.8343769773	-0.2071995285	0.3329268299	0.1716852038	-0.3231116206	-0.8929537562	-0.00808153787	1.05862014	-0.0682082032	0.1241313678	-0.2473133962	0.1226725055	-0.2441866369	1.05180567	-0.2197722725	-0.8487254985	0.1722557656	2.070223093	-0.4348593419	-2.157442099	0.4406898587	-0.1280711377	0.2496524763	-0.1282066531	0.249762091	0.1160532692	-0.1833723379	-0.1111873219	0.1949695201	2.221870966	-0.8352251737	2.3229126	-0.8536411426	-0.1755458255	0.3241481674	0.2109193245	-0.3340052041	1.045518699	-0.06176540868	-0.8791888909	-0.01482297505	-0.1290329301	0.2496842611	-0.1292602481	0.2517504235	-2.072196243	0.4210861559	2.166172092	-0.4536648605	1.047323092	-0.2134197362	-0.8479559238	0.1781319528	-0.1244047571	0.2469586575	-0.1222418422	0.2457436715	2024-08-30@10:19	2.148148148	-0.6991013921	1	-5.828670879e-16	-0.3455933538	0.09259259259	-2.498001805e-16	0.1367704792	-0.3805851167	0.8051480244	0.0007157968397	-0.0003087814598	0.001260790924	-0.01033307599	-0.03447331995	0.0958085269	5.986002716e-05	-0.000701450149	-0.021960553	-0.110700286	-0.02158972793	-0.1105693673	-9.562736735e-05	0.0008357122831	v2.7.1	
1	Broyden	0	9.317938516e-06	-85.46034745	-56.70814815	5.342217029	YY	0	0.001759611965	8	0.5436424991	0	self-energy/D/M	sharp_wc_2_b_50	-0.2063424207	1.977367564	-3.033740173	1.276800292	-2.84503631	1.860541459	-3.035181018	1.810005666	-0.1733772556	1.314329794	-3.245092783	1.722680213	-3.240678536	1.719991766	-0.1726741457	1.31405118	0	0.4893666418	2.981481481	2	1.207008588	a248bdd	2x2_2C_8b_C2v_L	10.07	1.528584314	2	1.696375227	1.0010982005564615	1.0000000000000002	0.0005670326511	0.0006605116083	-0.00315735775	-0.03586309312	-0.03930156778	0.1045322516	-0.1372169518	0.3544773216	0.249007805	-2.655950442	-0.0004138926157	0.0007416080476	-0.0006662189445	0.0007413599137	-0.2485605398	2.655353071	boucle.py	R0:S0:1	uncorrelated	-0.01064274538	0.04972780612	0.01038376128	-0.04658002332	2.099822493	-0.9409833914	0.626440616	-0.6119162629	-0.01292876438	0.002445221101	1.33299942	-0.4148640024	-1.279848983	0.08899526549	1.935626438	-0.5708120718	-0.009254017822	0.01903205325	-0.01028991379	0.02026864728	1.098824936	-0.2338564498	-1.660404953	0.3433803182	1.984510677	-0.4227843313	-1.541107073	0.319111738	0.009998769725	-0.02010131976	0.009800265479	-0.01901994448	-0.01375342897	0.04793802879	0.0116427596	-0.04737025801	2.188998679	-0.9345835882	2.349353196	-0.6898466431	0.006433958595	0.0004743437072	0.413928564	-0.3799331105	1.110165341	-0.009202854901	0.5824633885	-0.523260658	0.01029739416	-0.02077086654	0.009783717115	-0.0198301126	-1.98248936	0.4113018096	1.544633815	-0.3273499899	1.095977029	-0.227610047	-1.661982129	0.3526639325	0.009236027491	-0.01924405843	0.01024226892	-0.02080621174	2024-08-30@10:24	2.148148148	-0.6916610283	1	-5.273559367e-16	-0.3447448913	0.09259259259	-1.387778781e-16	0.1360854424	-0.3368893733	0.3730826631	-0.0004600338663	-0.00669691576	-0.4152864286	1.108941365	0.1398040456	-0.3555588449	9.0816183e-05	0.001492813873	0.002489678177	0.00137858371	0.002497768114	0.0006501155973	-5.327507472e-05	-0.001484008482	v2.7.1	
