model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	5.0663337	11	2.5348	0.79043624	-2.298036	-3.3533479	1.6479448	-3.3535558	2.9557996	-0.083112093	-3.7280466	9.68	-5.8263491e-05	0.98715449	-1.6145985	-5.576927e-05	1.6146429	6.4798488e-05	-0.21987337	-2.2799597	2.0711	1	0.2056	1.2514715	1.6438575	-0.62727327	-0.20138905	0.083087198	0.24085024	4.9870337e-09	1.9459568	1.7836565	1.2394145e-09	1.783647	6.7616468e-10	0.015792151	1.5328553	1.2345231	0.00028563611	-0.57654555	1.6387424	0.00011944682	-1.6388159	-9.6192407e-05	0.28892723	2.8138169	0.044970557	4.9870336e-09	0.055382197	0.20835312	1.2394145e-09	0.20836026	6.7616467e-10	0.016503226	0.36624548	0.045288887	6.2875889	2.0068522	3.4962007	4.8579378	3.4962488	4.8578063	3.7907551	2.6708888	-71.69392	R0:N12:S0:1	-57.1616	uncorrelated	b7fd39a	v1.0.3	6	sharp_wc_2.0_b_50	147.0	0.00122	2022-07-05@10:33
2x2_2C_8b_C2v_L	5.0901281	11	2.5348	0.94979096	-2.3025944	-3.3573149	1.6369768	-3.3574633	3.0189459	-0.08985164	-3.75037	9.69	-5.9837366e-05	0.98897165	-1.6157315	2.5116381e-05	1.6157674	0.00012863922	-0.22373539	-2.2833681	2.0711	1	0.2056	1.2519981	1.6451309	-0.62464886	-0.20013127	0.082617492	0.2409331	4.2290442e-09	1.9450369	1.7832011	2.5237422e-10	1.7831891	2.569225e-09	0.016655667	1.5336078	1.2345774	0.00026666707	-0.5807546	1.6399131	-5.3885485e-05	-1.6399969	-0.00018815112	0.29564331	2.8113573	0.044985625	4.2290442e-09	0.056346491	0.20874258	2.5237422e-10	0.20875186	2.569225e-09	0.017437248	0.36586627	0.04531769	6.2845792	2.0139228	3.49424	4.8596795	3.4942901	4.8595433	3.7934277	2.6744008	-71.816018	R0:N12:S0:1	-57.2416	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	146.0	0.00121	2022-07-05@10:36
2x2_2C_8b_C2v_L	5.1227703	11	2.5348	1.2097104	-2.3112872	-3.3627379	1.6546052	-3.3632145	3.1426637	-0.09880858	-3.7775852	9.7	4.7617081e-05	0.99120701	-1.6170133	-2.7428373e-07	1.6171154	-2.8859457e-05	-0.22867136	-2.2877106	2.0711	1	0.2056	1.2527248	1.6468213	-0.62107961	-0.19835207	0.081971654	0.24092259	1.9770297e-09	1.9439473	1.7827797	0.0	1.7827574	1.2096448e-10	0.017757178	1.5346459	1.2345281	-0.000185895	-0.58570268	1.6409365	5.829546e-07	-1.6411094	4.1073415e-05	0.30405506	2.8081027	0.044989793	1.9770297e-09	0.057488988	0.20909294	0.0	0.20910961	1.2096448e-10	0.018632642	0.36533512	0.04533923	6.2804593	2.0227701	3.492007	4.8613638	3.4921194	4.8610549	3.7964433	2.6791701	-71.963431	R0:N12:S0:1	-57.3216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	145.0	0.000723	2022-07-05@10:38
2x2_2C_8b_C2v_L	5.1666547	11	2.5348	1.6371574	-2.3190556	-3.3687865	1.8100599	-3.3685232	3.2311002	-0.10860889	-3.8062328	9.71	2.3105162e-05	0.9934922	-1.6184981	-2.1435473e-05	1.61844	2.9737929e-05	-0.2341212	-2.2923472	2.0711	1	0.2056	1.2537079	1.6490388	-0.61631874	-0.19590038	0.081116934	0.24089299	3.1145416e-10	1.9426547	1.7823131	1.5548556e-10	1.7823276	1.2253568e-10	0.019085327	1.5358072	1.234453	-7.5669851e-05	-0.59148536	1.6421822	4.3007383e-05	-1.6420728	-4.1518518e-05	0.31371136	2.8044065	0.044992064	3.1145416e-10	0.058845768	0.20947353	1.5548556e-10	0.2094626	1.2253568e-10	0.020080731	0.3647394	0.045362202	6.2756057	2.033201	3.4896068	4.8627787	3.4895378	4.8629687	3.8002348	2.6844635	-72.112965	R0:N12:S0:1	-57.4016	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	144.0	0.000131	2022-07-05@10:40
2x2_2C_8b_C2v_L	5.253648	11	2.5348	2.1225793	-2.3313304	-3.3764518	2.1939513	-3.3765005	3.1809191	-0.12172997	-3.840224	9.72	1.1702766e-05	0.99643689	-1.6202339	1.3509609e-05	1.6202433	-1.9572658e-05	-0.24088753	-2.2980028	2.0711	1	0.2056	1.2556802	1.6532387	-0.60700954	-0.19082556	0.079381924	0.24075518	0.0	1.9410305	1.7818923	0.0	1.7818912	0.0	0.020835714	1.5373312	1.2342548	-3.261163e-05	-0.59869683	1.6431321	-2.4015638e-05	-1.6431431	2.7551031e-05	0.32591186	2.7995853	0.044982009	0.0	0.060551439	0.20980213	0.0	0.20980289	0.0	0.021999762	0.36395153	0.045379294	6.2689937	2.0467206	3.4866148	4.8644342	3.486623	4.8644113	3.8051269	2.6913423	-72.29212	R0:N12:S0:1	-57.4816	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	143.0	0.000156	2022-07-05@10:43
2x2_2C_8b_C2v_L	5.3583571	11	2.5348	2.5877791	-2.3487463	-3.3874265	2.9024807	-3.3873998	3.0328039	-0.13804766	-3.8772951	9.73	3.4182841e-06	0.99986003	-1.6223716	2.7652712e-06	1.6223637	7.4840835e-08	-0.24829995	-2.3040976	2.0711	1	0.2056	1.2580391	1.6585547	-0.59565917	-0.18509658	0.077859387	0.24050923	0.0	1.9392002	1.781533	0.0	1.7815371	0.0	0.022887365	1.5390905	1.233938	-8.3636944e-06	-0.60678437	1.6439369	-4.1162053e-06	-1.6439095	-1.0835358e-07	0.33955813	2.794016	0.044959002	0.0	0.062473876	0.21006284	0.0	0.21005964	0.0	0.024262742	0.3630358	0.045388093	6.2610426	2.062344	3.4834744	4.8656386	3.4834592	4.8656804	3.8108184	2.6992184	-72.500199	R0:N12:S0:1	-57.5616	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	142.0	0.000193	2022-07-05@10:45
2x2_2C_8b_C2v_L	5.4376866	11	2.5348	3.1086907	-2.3740195	-3.4028922	3.9303038	-3.402854	2.8256752	-0.15807703	-3.9147463	9.74	-4.7391253e-06	1.0040487	-1.6250218	-1.5426375e-05	1.6250116	4.2744784e-06	-0.25579839	-2.3099376	2.0711	1	0.2056	1.2597926	1.6629981	-0.58680034	-0.18136924	0.077487032	0.24015045	0.0	1.9372853	1.7813021	0.0	1.7813065	0.0	0.02510892	1.5409807	1.2335041	1.0236578e-05	-0.61532665	1.6443679	1.8871848e-05	-1.6443367	-6.452712e-06	0.35371668	2.7879391	0.044922178	0.0	0.0644837	0.21019977	0.0	0.21019636	0.0	0.026729407	0.36204856	0.045386052	6.2519312	2.0793404	3.4803383	4.8663572	3.4803205	4.8664067	3.8171995	2.7076775	-72.74194	R0:N12:S0:1	-57.6416	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	140.0	7.2e-05	2022-07-05@10:47
2x2_2C_8b_C2v_L	5.4407967	11	2.5348	3.5095393	-2.4039755	-3.4216108	4.8108498	-3.4216604	2.8586068	-0.1788909	-3.9467556	9.75	-5.3048314e-08	1.0084149	-1.627847	-5.9504556e-06	1.6278572	6.5607798e-06	-0.26190676	-2.3143542	2.0711	1	0.2056	1.2598395	1.6631963	-0.58640221	-0.18126555	0.077436474	0.23977067	0.0	1.9356829	1.7812218	0.0	1.7812198	0.0	0.027010313	1.5426163	1.2330622	1.0518653e-07	-0.62264885	1.6444044	6.3644465e-06	-1.6444227	-9.8022257e-06	0.36548278	2.7825551	0.044881563	0.0	0.066162158	0.21020834	0.0	0.21020977	0.0	0.028852649	0.36119402	0.04537582	6.2435123	2.0942313	3.4777905	4.8665669	3.4778027	4.8665322	3.822985	2.7150467	-72.992542	R0:N12:S0:1	-57.7216	uncorrelated	b7fd39a	v1.0.3	5	sharp_wc_2.0_b_50	138.0	3.61e-05	2022-07-05@10:49
2x2_2C_8b_C2v_L	5.4434085	11	2.5348	3.8112045	-2.4352637	-3.4420745	5.5769485	-3.4420127	3.1905654	-0.19903047	-3.973178	9.76	2.459624e-05	1.0126547	-1.6307252	-0.00023742744	1.6307129	-6.5070161e-05	-0.26658828	-2.3174784	2.0711	1	0.2056	1.2598795	1.6633525	-0.58607082	-0.18117357	0.077391507	0.23941685	1.0068073e-10	1.9344297	1.7812338	3.2827869e-09	1.7812359	5.8079101e-10	0.028516242	1.5439409	1.2326609	-4.5935423e-05	-0.62855998	1.6442598	0.00022971299	-1.644238	9.0481832e-05	0.3746508	2.778081	0.044842852	1.0068073e-10	0.067471447	0.21014326	3.2827869e-09	0.21014181	5.8079101e-10	0.030541763	0.36050325	0.045361809	6.2362834	2.1064282	3.4758739	4.8663455	3.4758589	4.8663885	3.8278908	2.7210737	-73.23894	R0:N12:S0:1	-57.8016	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	136.0	0.000329	2022-07-05@10:51
2x2_2C_8b_C2v_L	5.4455555	11	2.5348	4.0267544	-2.4651096	-3.4620754	6.2641894	-3.4617637	3.8684376	-0.21671994	-3.993369	9.77	-1.9701611e-05	1.0164993	-1.6333383	9.2849977e-06	1.6332804	4.8627632e-05	-0.26974452	-2.3193211	2.0711	1	0.2056	1.259914	1.6634738	-0.58580295	-0.18109205	0.077352392	0.23914264	0.0	1.933596	1.7812922	0.0	1.7812988	2.4041981e-10	0.029511743	1.544872	1.2323573	3.5320005e-05	-0.63272852	1.6440511	-8.2912837e-06	-1.6439609	-5.9687652e-05	0.38079869	2.774809	0.044812616	0.0	0.068338008	0.21005065	0.0	0.21004675	2.4041981e-10	0.031660543	0.36002171	0.045348682	6.2308553	2.1150864	3.4746045	4.8659491	3.4745373	4.866144	3.8315258	2.725411	-73.465717	R0:N12:S0:1	-57.8816	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	134.0	0.000292	2022-07-05@10:52
2x2_2C_8b_C2v_L	5.447384	11	2.5348	4.1882327	-2.4931317	-3.48141	6.9461329	-3.4814306	4.9722654	-0.23236618	-4.0096566	9.78	9.7201868e-07	1.0199876	-1.6357481	-4.8809655e-07	1.635753	-1.5409892e-06	-0.27189358	-2.3204132	2.0711	1	0.2056	1.2599445	1.6635746	-0.58557706	-0.18102052	0.07731807	0.23892768	0.0	1.9330548	1.7813846	0.0	1.7813827	0.0	0.030141953	1.5455338	1.2321255	-1.6914151e-06	-0.63566455	1.6437158	4.0552512e-07	-1.6437323	1.6036734e-06	0.3848689	2.7723842	0.044788679	0.0	0.068896178	0.20993982	0.0	0.20994126	0.0	0.032368258	0.35968341	0.045336323	6.2267705	2.1212066	3.4737069	4.8656661	3.4737168	4.8656378	3.834187	2.7285912	-73.678382	R0:N12:S0:1	-57.9616	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	133.0	0.000102	2022-07-05@10:53
2x2_2C_8b_C2v_L	5.4491201	11	2.5348	4.3067098	-2.5207699	-3.5006116	7.6768846	-3.5008054	6.5610819	-0.24731811	-4.0243392	9.79	2.5634484e-05	1.0233711	-1.6380874	5.6339029e-05	1.6381246	-2.0114898e-05	-0.27359888	-2.3212049	2.0711	1	0.2056	1.2599744	1.6636673	-0.58536532	-0.1809494	0.077285314	0.23873728	0.0	1.9326468	1.7814871	1.1173008e-10	1.78148	0.0	0.030610467	1.546081	1.2319237	-4.3645401e-05	-0.63804513	1.6433825	-4.361557e-05	-1.6434672	1.7354435e-05	0.38802798	2.7703264	0.044767346	0.0	0.069313994	0.20982407	1.1173008e-10	0.20982863	0.0	0.032894142	0.35940597	0.045324163	6.2232657	2.1262009	3.4730181	4.8653102	3.4730767	4.8651399	3.8364083	2.7312766	-73.885706	R0:N12:S0:1	-58.0416	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	132.0	0.000148	2022-07-05@10:55
2x2_2C_8b_C2v_L	5.4507004	11	2.5348	4.4459698	-2.5473013	-3.5197644	8.443103	-3.5197929	8.6566179	-0.26148078	-4.0374799	9.8	-3.8935264e-07	1.0265379	-1.6403899	7.9590701e-08	1.6403931	-5.3427206e-07	-0.27489757	-2.3217188	2.0711	1	0.2056	1.2600019	1.663751	-0.58517316	-0.18088419	0.077254854	0.23857374	0.0	1.9323579	1.7815913	0.0	1.7815933	0.0	0.030931598	1.5465121	1.2317534	6.4698593e-07	-0.63990063	1.6431202	-5.7563093e-08	-1.6431115	3.7963086e-07	0.39035281	2.7686448	0.044748869	0.0	0.069606807	0.20970953	0.0	0.20970774	0.0	0.033253895	0.35919002	0.045312568	6.2203627	2.1301154	3.4725643	4.8647745	3.4725618	4.8647803	3.8382121	2.7334521	-74.086419	R0:N12:S0:1	-58.1216	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	131.0	1.49e-05	2022-07-05@10:56
2x2_2C_8b_C2v_L	5.4521947	11	2.5348	4.6255725	-2.572963	-3.5384273	9.3021371	-3.5383512	11.291368	-0.27465268	-4.0492168	9.81	-7.0364623e-07	1.029553	-1.6425708	6.3699057e-06	1.6425621	-6.5011083e-07	-0.27580568	-2.321991	2.0711	1	0.2056	1.2600289	1.6638288	-0.58499381	-0.18082004	0.077225685	0.23843873	0.0	1.932195	1.7817077	0.0	1.7817026	0.0	0.031092715	1.5468338	1.2316171	1.1351878e-06	-0.64121825	1.642801	-4.2953331e-06	-1.6428204	3.8073636e-07	0.39181417	2.7673226	0.044733518	0.0	0.069767042	0.2095896	0.0	0.20959403	0.0	0.033432188	0.35903246	0.045301624	6.218068	2.1329159	3.4722513	4.8643329	3.4722557	4.8643239	3.8395524	2.73516	-74.280336	R0:N12:S0:1	-58.2016	uncorrelated	b7fd39a	v1.0.3	2	sharp_wc_2.0_b_50	130.0	2.64e-05	2022-07-05@10:58
