model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	28	12	7	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	11.6	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.6667616	0.00038285709	5.2151384e-07	1.9996559	1.9997263	2.5265485e-06	1.9997263	2.5264982e-06	4.9106967e-06	1.9993592	1.0003802	0.0028761539	-0.074178287	0.066128428	-0.0063154686	-0.066128369	0.0063154055	-0.0088320893	0.10122762	9.5679235e-05	5.2151378e-07	0.00034427842	0.00027380063	2.5265469e-06	0.00027380014	2.5264966e-06	4.9106907e-06	0.00064084849	9.6404813e-05	4.0005721	3.9994269	3.9976415	4.0023595	3.9976414	4.0023596	4.0007922	3.9992053	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.41e-05	 1.94e+00	2022-07-04@14:27
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	11.355556	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.6667869	0.00049639937	5.4561968e-07	1.9995331	1.999649	2.6462404e-06	1.999649	2.6461877e-06	5.1313966e-06	1.999181	1.0004934	0.0029394298	-0.08637038	0.074854951	-0.006455564	-0.074855004	0.0064554994	-0.0090227062	0.11441339	0.0001240416	5.456196e-07	0.00046741205	0.00035156274	2.6462387e-06	0.00035156324	2.646186e-06	5.13139e-06	0.00081936612	0.00012498722	4.0007681	3.9992291	3.9969556	4.0030448	3.9969556	4.0030449	4.0010375	3.9989572	-66.32733	R0:N12:S0:1	-39.733333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:28
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	11.111111	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9995332	0.00067001514	5.721979e-07	1.9993327	1.9995353	2.7802499e-06	1.9995353	2.7801945e-06	5.3725367e-06	1.9989186	1.0006675	0.0030064389	-0.10335604	0.086229025	-0.0066052921	-0.086229265	0.006605226	-0.009223991	0.13154534	0.0001673993	5.7219782e-07	0.00066666083	0.0004640537	2.780248e-06	0.0004640563	2.7801926e-06	5.3725294e-06	0.0010805758	0.00016781955	4.0010842	3.9989165	3.9959093	4.0040975	3.9959093	4.0040975	4.001401	3.9985958	-65.350401	R0:N12:S0:1	-42.666667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:28
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	10.866667	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9998359	0.00095631246	6.0229609e-07	1.998965	1.999353	2.9358614e-06	1.999353	2.9358031e-06	5.6406509e-06	1.9985033	1.0009534	0.0030783119	-0.12865118	0.10166529	-0.0067685046	-0.10166587	0.0067684368	-0.0094384967	0.15470462	0.00023886988	6.0229599e-07	0.0010347636	0.0006469597	2.9358593e-06	0.00064696697	2.9358009e-06	5.6406428e-06	0.0014962287	0.00023962196	4.0016294	3.9983663	3.9941698	4.005839	3.9941698	4.005839	4.0019467	3.9980425	-64.3738	R0:N12:S0:1	-45.6	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:29
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	10.622222	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999208	0.0014847099	6.3841769e-07	1.9981856	1.9990399	3.1307723e-06	1.9990399	3.1307106e-06	5.9486547e-06	1.9977952	1.0014817	0.0031576876	-0.17031869	0.123795	-0.0069544247	-0.1237962	0.0069543553	-0.0096711309	0.18774884	0.00037069198	6.3841759e-07	0.0018135109	0.00095979081	3.1307699e-06	0.00095980941	3.1307082e-06	5.9486456e-06	0.0022035511	0.00037144122	4.0027151	3.9972711	3.9909153	4.0091056	3.9909153	4.0091056	4.0027807	3.9971953	-63.397771	R0:N12:S0:1	-48.533333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:29
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	10.377778	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999555	0.0026676935	6.8879529e-07	1.9960315	1.9984313	3.423329e-06	1.9984313	3.423263e-06	6.3269104e-06	1.9964342	1.0026645	0.0032530407	-0.25180473	0.15808943	-0.0071929276	-0.15809196	0.0071928566	-0.0099326769	0.23873344	0.00066543718	6.8879516e-07	0.0039645337	0.0015680475	3.4233261e-06	0.0015680977	3.4232601e-06	6.3269e-06	0.0035626233	0.0006662323	4.0054302	3.994495	3.9833807	4.0166833	3.9833806	4.0166834	4.0038353	3.9960934	-62.422908	R0:N12:S0:1	-51.466667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:30
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	10.133333	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999728	0.0068165913	8.0464773e-07	1.9854438	1.9970086	4.1702843e-06	1.9970084	4.1702043e-06	6.8636595e-06	1.9932704	1.0068132	0.0034160317	-0.48155241	0.21751862	-0.0076631046	-0.21752452	0.0076630295	-0.01024643	0.32808247	0.0016950391	8.0464752e-07	0.014501306	0.0029892119	4.1702798e-06	0.002989374	4.1701998e-06	6.863647e-06	0.0067180325	0.0016958662	4.0170159	3.9818342	3.9548346	4.0455245	3.9548344	4.0455247	4.0009476	3.9986688	-61.451307	R0:N12:S0:1	-54.4	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:30
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	9.8888889	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999847	0.18214313	6.0365674e-06	1.3014808	1.9948197	3.1331107e-05	1.9948191	3.1329637e-05	8.9567123e-06	1.9802559	1.1821367	0.0087979833	-2.915898	0.23752941	-0.021154801	-0.23754722	0.021154134	-0.009896096	0.60121891	0.030986755	6.0365511e-06	0.46843015	0.0051812339	3.1330539e-05	0.005181895	3.1329069e-05	8.9568052e-06	0.019626118	0.030987758	4.9426659	2.3139322	2.7464957	5.2747021	2.7465591	5.2746408	3.422026	4.5483756	-60.523837	R0:N12:S0:1	-57.333333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:31
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	9.6444444	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999934	0.5308612	1.535449e-05	0.028559992	1.9881344	5.8950679e-05	1.9881262	5.894553e-05	1.7424861e-05	1.8716145	1.5308535	0.020497573	-0.83348025	0.21321622	-0.037922114	-0.21332965	0.037919355	-0.011418894	1.6624832	0.010543761	1.5354344e-05	0.028029966	0.012326438	5.8948711e-05	0.012335056	5.8943562e-05	1.7425013e-05	0.12280102	0.010545692	7.8116589	7.4871353	1.1494377	7.0343097	1.1499024	7.0339532	2.6126564	4.9964997	-60.205047	R0:N12:S0:1	-60.266667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:31
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118387	-2.1957602	-2.7381035	0.24894058	-2.7380656	0.24893767	0.29628048	-2.7779187	9.4	-0.0041921436	0.024074755	-0.025964802	0.0093093613	0.025964465	-0.0093092654	0.01309957	-0.040230489	1.3333333	1.9999996	0.95850631	1.5280666e-05	0.0089399473	1.1480004	6.5704058e-05	1.0087656	6.5267789e-05	0.00013190388	1.999994	1.9585055	0.021960655	-0.52933544	0.99593893	-0.044796048	-1.1531761	0.044517843	-0.064653079	6.5595314e-05	0.0095810743	1.5280526e-05	0.0088900642	0.91114882	6.5701514e-05	0.92239223	6.5265285e-05	0.00013189348	9.3417191e-06	0.0095816842	7.9642987	7.8446625	3.785572	7.7076002	4.2013029	7.6632696	7.9974378	0.00091971467	-60.269747	R0:N12:S0:1	-63.2	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@14:32
