model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0708898	0	7.5	0.34804706	0.13609553	0.80025724	0.14622812	0.14622625	0.80017883	0.77974549	0.10699594	1.3	3.2769122e-05	0.13866178	-0.035004373	-0.15073938	-0.15074111	-0.035037313	-1.1368122e-05	0.17395119	1	0.22358446	-5.3694505e-05	-0.41097149	0.11028428	-0.11027903	0.41096892	0.53397196	-1.1709338e-05	-0.4	0.001000001	-0.019645813	0.86331782	-1.0239182	0.1168104	-0.24749627	0.031846399	0.27429808	0.029194778	0.18797475	0.48150131	0.48151473	0.18798871	0.062192712	0.095590733	0.85367165	-5.6634499e-06	-0.35074961	-0.15881152	1.4278866	1.4278819	-0.15871934	4.0088048e-05	-0.92834491	-0.57158443	-1.9936484	0.00078802018	1.3987429	-1.2092828	1.2092782	-1.3987914	-0.46223636	2.1128454e-05	-0.0079854438	-7.8959031	R0:S0:1	0.85367165	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:13
2x2_2C_8b_C2v_L	-1.0708442	0	7.501	0.34803932	0.13610395	0.80012907	0.14619137	0.14619305	0.80007098	0.77964837	0.10699401	1.3	-3.0709898e-05	0.13866353	-0.035006674	-0.1507387	-0.15074161	-0.035003622	-4.6163491e-06	0.17395379	1	0.22358871	3.0943226e-05	-0.41095524	0.11025272	-0.11023779	0.41095765	0.5339386	7.0486038e-07	-0.4	0.001000001	-0.019640143	0.86330654	-1.0238697	0.11681757	-0.24748435	0.031837394	0.27432157	0.029196092	0.18798979	0.48153165	0.48152428	0.18801026	0.06219779	0.095601643	0.85365643	4.615928e-05	-0.35076427	-0.15878808	1.4279075	1.4279216	-0.15882507	1.9672312e-05	-0.92835297	-0.57154643	-1.9936626	-0.00043042007	1.3987587	-1.2091117	1.2090327	-1.3988279	-0.46226783	3.0616779e-06	-0.007982759	-7.8957361	R0:S0:1	0.85365643	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@10:41
2x2_2C_8b_C2v_L	-1.0708627	0	7.5	0.34777075	0.13627326	0.8002617	0.14647203	0.14647927	0.80029621	0.77962663	0.1074206	1.301	6.4632949e-05	0.13873753	-0.035058626	-0.15084681	-0.15084368	-0.035070523	1.8220571e-06	0.17411506	1	0.22352298	-6.4686725e-05	-0.41090544	0.1103525	-0.11037986	0.41089552	0.53391204	-1.5831675e-06	-0.4	0.001000001	-0.019630995	0.86343822	-1.0238646	0.11687689	-0.24737329	0.031860701	0.27422944	0.029225401	0.18783328	0.48108371	0.48109523	0.18781687	0.062158764	0.095592084	0.85378281	-0.00010309913	-0.3508498	-0.15878651	1.4275386	1.4274743	-0.15872184	-7.6033002e-06	-0.92858795	-0.5715874	-1.993223	0.00089275977	1.3983055	-1.2091009	1.2092694	-1.3982587	-0.46219618	-1.2910175e-06	-0.0079774577	-7.8994171	R0:S0:1	0.85378281	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@11:08
2x2_2C_8b_C2v_L	-1.0708948	0	7.5	0.34719949	0.13694055	0.79962586	0.14642609	0.14645862	0.79967809	0.77951585	0.10715873	1.3	1.9277688e-05	0.13914337	-0.035043126	-0.15089091	-0.15089978	-0.035058266	-3.3442427e-06	0.17396314	1	0.22360773	-1.9401933e-05	-0.41074109	0.1102309	-0.1102519	0.410746	0.53364408	7.2929662e-06	-0.399	0.001000001	-0.019648099	0.86326157	-1.0243076	0.11614059	-0.24711181	0.031846782	0.27463396	0.029399892	0.18798468	0.48152037	0.48152634	0.18797232	0.062134434	0.095597458	0.85359179	-2.8236443e-05	-0.35191907	-0.1589424	1.4288873	1.4288668	-0.15889155	1.1596874e-05	-0.92868737	-0.57167971	-1.9942264	0.00027019763	1.3986378	-1.2091029	1.2092095	-1.3986176	-0.46188659	-1.4560332e-05	-0.0080895766	-7.8959247	R0:S0:1	0.85359179	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@11:33
2x2_2C_8b_C2v_L	-1.0713969	0	7.5	0.34804045	0.13630225	0.79960272	0.14564434	0.14564588	0.79961851	0.77915378	0.10605446	1.3	-2.8855785e-05	0.13892868	-0.034888879	-0.15060096	-0.15060087	-0.034893274	-4.8153108e-06	0.17355466	1	0.22389121	2.9998448e-05	-0.41123268	0.11018061	-0.11018115	0.41123644	0.53366955	2.7752249e-06	-0.4	0.002000001	-0.019681478	0.86317679	-1.0240047	0.11723588	-0.24892389	0.031855934	0.27514314	0.029326807	0.1885608	0.48286905	0.48287695	0.18856108	0.062206541	0.09554245	0.85354871	3.89658e-05	-0.35179906	-0.15915171	1.4291658	1.4291684	-0.15913655	1.9432436e-05	-0.92771991	-0.57152848	-1.9959722	-0.00042145512	1.4006788	-1.2102054	1.2102223	-1.4006896	-0.46192046	-1.4383445e-06	-0.0078220731	-7.897153	R0:S0:1	0.85354871	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@12:01
2x2_2C_8b_C2v_L	-1.0711656	0	7.5005	0.34780497	0.13652908	0.79945921	0.14581471	0.14585507	0.79958626	0.77936371	0.10622919	1.299	1.4331415e-05	0.1389828	-0.034914218	-0.15066138	-0.15067063	-0.034943034	4.117235e-06	0.17360867	1	0.22380556	-1.4800486e-05	-0.41105074	0.11009901	-0.11013743	0.41104997	0.53368583	-1.2285118e-05	-0.3995	0.001500001	-0.01967488	0.86309853	-1.0241974	0.11663578	-0.24814201	0.031832926	0.27501445	0.029345146	0.1884542	0.48257201	0.48259205	0.18840075	0.062204402	0.095575486	0.85344794	-2.1351999e-05	-0.3518422	-0.15914497	1.4294342	1.4294498	-0.15901209	-1.1376661e-05	-0.92799764	-0.57157973	-1.9956317	0.00020604925	1.400222	-1.2096014	1.2097586	-1.4000441	-0.46194344	2.4298305e-05	-0.0079577381	-7.8929816	R0:S0:1	0.85344794	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@12:24
2x2_2C_8b_C2v_L	-1.0713297	0	7.49925	0.34756302	0.13684205	0.79936897	0.14594536	0.14584853	0.79949196	0.77924856	0.1062476	1.2995	-7.0985485e-05	0.13920018	-0.034949083	-0.15073028	-0.15070503	-0.03491892	1.0210549e-06	0.1735932	1	0.22387216	7.4875563e-05	-0.41102689	0.11017926	-0.11015231	0.41106113	0.533546	3.5696614e-06	-0.39925	0.001750001	-0.01968516	0.86312127	-1.024345	0.11659382	-0.24835624	0.031853948	0.27520859	0.029433086	0.18844995	0.48265605	0.48269849	0.1884806	0.062167805	0.095547393	0.85347435	7.95957e-05	-0.35236976	-0.15916609	1.4297762	1.4297631	-0.15921935	-3.8513722e-06	-0.92802528	-0.57164332	-1.9960856	-0.0010682832	1.400196	-1.2100507	1.2100799	-1.4003746	-0.46171475	-2.2864048e-06	-0.0079472442	-7.8952672	R0:S0:1	0.85347435	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@12:48
2x2_2C_8b_C2v_L	-1.0715717	0	7.498375	0.34735999	0.13715584	0.79898264	0.14571473	0.14573861	0.79911081	0.77898959	0.10586712	1.29925	-2.242982e-05	0.13945222	-0.034893635	-0.15070902	-0.15071013	-0.034900097	-4.1098936e-06	0.17340902	1	0.22400924	2.961096e-05	-0.41108671	0.11009762	-0.11011561	0.4110968	0.53333615	1.5593316e-05	-0.398875	0.002125001	-0.019706067	0.86302657	-1.0245816	0.11648104	-0.24879685	0.031862454	0.27562358	0.029545908	0.18873228	0.48329117	0.4832974	0.18870165	0.062154888	0.095520304	0.85338326	2.2012013e-05	-0.35313083	-0.15939219	1.4307726	1.4307783	-0.15935343	1.415054e-05	-0.92784488	-0.57169714	-1.9972243	-0.0004198775	1.4011295	-1.2104342	1.2105202	-1.4010393	-0.46144038	-2.8132494e-05	-0.0079343856	-7.8950196	R0:S0:1	0.85338326	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@13:08
2x2_2C_8b_C2v_L	-1.0716086	0	7.4994375	0.34718508	0.13729009	0.79869737	0.14558924	0.14566559	0.79880225	0.77878143	0.10560867	1.299125	3.6667762e-05	0.13957057	-0.034877254	-0.15067961	-0.15069808	-0.034904026	9.7394006e-06	0.17330822	1	0.22406894	-2.6997957e-05	-0.41109053	0.11006217	-0.11011784	0.41107869	0.53321086	2.8006861e-06	-0.3986875	0.002312501	-0.01971527	0.86295464	-1.0246171	0.11642121	-0.24899255	0.031852916	0.27588531	0.029608787	0.18886292	0.48362371	0.4836305	0.18880246	0.062162841	0.095532713	0.85331681	-7.1399186e-05	-0.35355118	-0.15942868	1.4311439	1.4311351	-0.15931225	-3.5676013e-05	-0.92777457	-0.57166101	-1.9978139	0.00036026956	1.4015133	-1.2106046	1.2108111	-1.4013014	-0.46137851	-8.9323917e-06	-0.0079212941	-7.8946456	R0:S0:1	0.85331681	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@13:29
2x2_2C_8b_C2v_L	-1.0719768	0	7.4991563	0.3467689	0.13793664	0.79798438	0.14533291	0.14532862	0.7979925	0.77834797	0.1050144	1.2986875	1.495082e-05	0.14003554	-0.03482666	-0.15067204	-0.15066897	-0.034824605	8.5927493e-06	0.1730126	1	0.22431006	-1.5066588e-05	-0.41113256	0.10998611	-0.10998968	0.41112991	0.53284031	-9.3805506e-06	-0.39803125	0.002968751	-0.019747523	0.86277676	-1.0249705	0.11623419	-0.24974372	0.031856247	0.27667032	0.029815508	0.18925979	0.48470142	0.484701	0.18925675	0.062139969	0.095493825	0.85313869	-2.2165387e-05	-0.35494916	-0.15967345	1.4328332	1.4328173	-0.15967292	-3.1277254e-05	-0.92751532	-0.57170041	-1.9998762	0.00020791951	1.4027231	-1.2113767	1.2114025	-1.4027114	-0.46093692	1.5638996e-05	-0.0078916234	-7.8940168	R0:S0:1	0.85313869	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@13:59
2x2_2C_8b_C2v_L	-1.0721567	0	7.4990156	0.34778135	0.13691736	0.79837664	0.14474957	0.14478226	0.79835934	0.77844779	0.10436054	1.2984687	7.8422412e-07	0.13952768	-0.034704233	-0.15039887	-0.15040786	-0.034725834	1.4479741e-06	0.17281251	1	0.22439636	-8.5803529e-07	-0.41151557	0.10993144	-0.10995698	0.41150115	0.53313827	-3.6510789e-06	-0.39920313	0.003296876	-0.019758047	0.86277499	-1.0245641	0.11714872	-0.25068582	0.031856505	0.2765932	0.029613497	0.18954045	0.48528343	0.48529387	0.18952328	0.062224442	0.095474584	0.85316751	-3.6162283e-07	-0.35391739	-0.15971987	1.4322298	1.4322111	-0.15964148	-4.6928358e-06	-0.9268375	-0.57156828	-2.0000989	1.3135749e-05	1.403794	-1.2116965	1.2118039	-1.4037294	-0.46125587	7.1837001e-06	-0.0077106636	-7.8936292	R0:S0:1	0.85316751	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@14:18
2x2_2C_8b_C2v_L	-1.0728152	0	7.4985234	0.34793808	0.13694572	0.79774617	0.14392428	0.14387775	0.79765829	0.77796184	0.10296798	1.2977031	4.475255e-06	0.13973228	-0.03455616	-0.1501665	-0.15015776	-0.034517813	-6.798102e-06	0.17224497	1	0.22477005	-3.0338817e-06	-0.41189926	0.10978933	-0.10974664	0.4118967	0.53288882	1.0217941e-05	-0.39930469	0.0044453135	-0.019806576	0.86254139	-1.0247053	0.11767353	-0.25247411	0.031861066	0.27764676	0.029737118	0.1903257	0.48728659	0.48725572	0.19034939	0.062270417	0.095425128	0.85294887	-8.6684841e-06	-0.35502198	-0.16001445	1.4340217	1.4340818	-0.16015818	2.2593115e-05	-0.92597783	-0.57149889	-2.0031325	4.0628203e-05	1.4063969	-1.2131198	1.2128605	-1.4064338	-0.4609433	-2.0615635e-05	-0.0075093618	-7.8925021	R0:S0:1	0.85294887	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@14:28
2x2_2C_8b_C2v_L	-1.0727168	0	7.4975273	0.34727007	0.13762512	0.797634	0.14449363	0.14450281	0.79759741	0.77787247	0.10373579	1.2988203	-4.8959113e-05	0.14009128	-0.034659269	-0.15040471	-0.15040781	-0.034664787	1.885013e-05	0.17250841	1	0.22469771	4.9798056e-05	-0.41161903	0.10991638	-0.10992645	0.41160512	0.5326846	-2.1597135e-05	-0.39860547	0.0042695323	-0.019796216	0.86266445	-1.0249357	0.1171735	-0.25182125	0.031885201	0.27752893	0.029867337	0.19000768	0.48643522	0.48644212	0.19000091	0.062179656	0.095413145	0.85306284	7.7815886e-05	-0.35560559	-0.16002682	1.4338719	1.433869	-0.16000122	-6.7747129e-05	-0.92653786	-0.57163434	-2.0025036	-0.00068601752	1.4053154	-1.2128901	1.2129237	-1.4052781	-0.46067092	4.1520017e-05	-0.0076216622	-7.896372	R0:S0:1	0.85306284	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@14:50
2x2_2C_8b_C2v_L	-1.0731402	0	7.496791	0.34669312	0.13859565	0.79657839	0.14406818	0.1440352	0.79656264	0.77742265	0.10275012	1.2972305	-5.6744825e-05	0.14075196	-0.034580554	-0.15035877	-0.15035327	-0.03454644	1.4948756e-05	0.17204454	1	0.22501232	6.791355e-05	-0.41162175	0.10972799	-0.10970222	0.41163051	0.53220383	-8.2146376e-06	-0.3974082	0.0049042979	-0.019849037	0.86232368	-1.0255872	0.11654182	-0.25249693	0.031876489	0.27858645	0.030157893	0.19058699	0.48802596	0.48801904	0.19061236	0.062168219	0.095387166	0.85271773	5.9488959e-05	-0.3575685	-0.16036046	1.4365685	1.4365934	-0.16047881	-5.1025916e-05	-0.92624444	-0.57173519	-2.0053764	-0.00096297044	1.4070222	-1.2137853	1.2136696	-1.4071141	-0.46008578	1.8999232e-05	-0.0076570695	-7.8918062	R0:S0:1	0.85271773	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@15:11
2x2_2C_8b_C2v_L	-1.0740249	0	7.4951865	0.34606595	0.13972733	0.79516093	0.14334418	0.14330227	0.79509717	0.77663965	0.10121205	1.2958457	-2.9158478e-05	0.14166157	-0.034430663	-0.15026374	-0.15025814	-0.034401526	7.6908174e-06	0.1713352	1	0.22558285	3.1212651e-05	-0.41182595	0.10951679	-0.10947939	0.41182987	0.53148028	-1.0977351e-05	-0.3961123	0.0063564463	-0.019929215	0.861898	-1.026382	0.11619549	-0.25428836	0.03188794	0.28029792	0.03057319	0.19158934	0.49056306	0.49055046	0.19161495	0.062136183	0.095301087	0.85230202	3.869054e-05	-0.36043495	-0.16097172	1.4402837	1.4403439	-0.16107949	-2.5993935e-05	-0.92556781	-0.57184404	-2.010073	-0.00043507023	1.4101628	-1.2155864	1.2153786	-1.4102292	-0.45913762	2.2906186e-05	-0.0075804605	-7.8892259	R0:S0:1	0.85230202	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-11@15:28
