model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.96016127	0	8.5	0.1889433	-0.19164928	0.8061324	0.26081848	0.80628977	0.26086585	0.28604292	0.76806212	2	-0.17159254	-0.15576097	-0.070988902	0.20204935	-0.071029717	0.20205638	-0.24963729	-2.3507626e-05	1	0.030517503	0.033854846	-0.32918416	-0.14576372	0.32919128	0.14580306	-2.4687179e-05	0.46381856	-0.4	0.00064754608	0.92566844	-0.90490994	0.13812833	0.031562984	0.049529761	1.8194163	0.085300098	0.28572309	0.08528452	0.28575393	0.081474304	0.037383491	0.91820562	0.32966748	1.4367479	-0.016556095	-1.0868917	-0.016438302	-1.0868916	0.90101312	8.7989689e-05	-0.54360263	-0.2828851	-0.06463504	0.97103069	1.0162562	-0.97097764	-1.0164295	2.4042458e-05	-0.41928552	-0.0082239298	-10.517548	R0:S0:1	0.91820562	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@10:34
2x2_2C_8b_C2v_L	-0.95967827	0	8.51	0.18881524	-0.19131205	0.80502561	0.26071643	0.80522938	0.260741	0.28606089	0.76705045	2	-0.17146857	-0.15568364	-0.071089391	0.20200755	-0.071148849	0.20201228	-0.24965845	-3.6550173e-05	1	0.030785505	0.034122434	-0.32895683	-0.14579803	0.32896014	0.14583678	-3.6784313e-05	0.46356937	-0.4	0.00065754715	0.92556932	-0.90443205	0.13811556	0.031488646	0.049699588	1.8192268	0.08529049	0.28584593	0.08525906	0.28588648	0.081537754	0.037400103	0.91811406	0.32979756	1.4366166	-0.016170097	-1.0864181	-0.015980841	-1.0864631	0.90085327	0.0001204482	-0.54321899	-0.28538218	-0.065245755	0.9707636	1.0162696	-0.97061349	-1.0164148	4.0812776e-05	-0.41951293	-0.0081981924	-10.515349	R0:S0:1	0.91811406	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@10:47
2x2_2C_8b_C2v_L	-0.95885377	0	8.5	0.18926047	-0.19137817	0.80824788	0.26190536	0.80829692	0.26188654	0.28702041	0.76985616	2.01	-0.17193579	-0.1544512	-0.071174509	0.20276111	-0.071194409	0.20274799	-0.25026946	-1.4126784e-05	1	0.031632776	0.035401182	-0.32817363	-0.14557877	0.32815701	0.14559109	-1.3928668e-05	0.46268682	-0.4	0.0010062259	0.92668537	-0.9036022	0.13812894	0.031656344	0.049679592	1.8224049	0.084208018	0.28310856	0.084187643	0.28312278	0.08091017	0.037001341	0.91926584	0.32694973	1.4231392	-0.015467684	-1.0820975	-0.015386177	-1.0821139	0.89861651	5.08431e-05	-0.54386749	-0.29260969	-0.0669754	0.9654795	1.0117635	-0.96535534	-1.0118033	1.8073847e-05	-0.41767918	-0.0083502168	-10.550585	R0:S0:1	0.91926584	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@11:06
2x2_2C_8b_C2v_L	-0.95876295	0	8.5	0.19517104	-0.19177666	0.80369682	0.26249514	0.80345748	0.26251271	0.28604928	0.76695738	2	-0.17502966	-0.15556678	-0.071834066	0.20294269	-0.071787351	0.20294754	-0.24871566	3.335964e-05	1	0.033527324	0.037399238	-0.32654868	-0.1459545	0.32653937	0.14592151	3.3569599e-05	0.46042249	-0.39	0.00094034277	0.92543999	-0.90670064	0.13349312	0.031585846	0.050812729	1.8210941	0.084342371	0.28615719	0.084368262	0.28610518	0.080833511	0.036877453	0.91814107	0.33059099	1.42818	-0.014321103	-1.0901418	-0.01448277	-1.0901053	0.89918127	-0.00012101129	-0.54458755	-0.3059378	-0.071188337	0.96559238	1.0196363	-0.96569938	-1.0194564	-3.4691581e-05	-0.41578063	-0.0090761699	-10.514199	R0:S0:1	0.91814107	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@11:25
2x2_2C_8b_C2v_L	-0.95802182	0	8.5066667	0.19323863	-0.19129803	0.80513385	0.26260553	0.80497694	0.26255735	0.28671996	0.76783045	2.0066667	-0.17402031	-0.15469268	-0.071763895	0.20309112	-0.071706589	0.20307808	-0.2494555	1.8293635e-05	1	0.033467121	0.037453803	-0.32659211	-0.14580185	0.32658985	0.14576075	1.586649e-05	0.46064121	-0.39333333	0.0010898859	0.92613192	-0.90490529	0.13504203	0.031590796	0.050611532	1.8223954	0.083921349	0.28434419	0.083946414	0.28430505	0.080714164	0.03680495	0.91881058	0.32855202	1.4218198	-0.0140222	-1.0855294	-0.014195107	-1.0854858	0.89807951	-7.2529569e-05	-0.5441743	-0.30655236	-0.071012234	0.96347227	1.0155097	-0.96358784	-1.0153615	-1.0697572e-05	-0.41604002	-0.0088537742	-10.535817	R0:S0:1	0.91881058	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@11:28
2x2_2C_8b_C2v_L	-0.95694147	0	8.51	0.19531237	-0.19143213	0.80465479	0.26350872	0.80456149	0.2635256	0.2870321	0.76792561	2.01	-0.17521482	-0.15416543	-0.072094024	0.203621	-0.072065385	0.20363316	-0.24936812	6.0987844e-05	1	0.034866429	0.039242536	-0.32528696	-0.14576253	0.3252945	0.14574436	6.3622978e-05	0.45905078	-0.39	0.0013226919	0.92637053	-0.90487753	0.13349727	0.031605594	0.051060228	1.8240388	0.083234296	0.28354488	0.083253112	0.28351692	0.080304428	0.036507845	0.91912756	0.32770017	1.4139951	-0.012949025	-1.0847227	-0.013049866	-1.084703	0.89649532	-0.00019941573	-0.54447621	-0.31756569	-0.074062355	0.95967446	1.0148888	-0.95977342	-1.014793	-7.269162e-05	-0.41437985	-0.0091801403	-10.545505	R0:S0:1	0.91912756	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@11:39
2x2_2C_8b_C2v_L	-0.95668209	0	8.4966667	0.19773713	-0.19228604	0.80612029	0.26459325	0.80591991	0.26457352	0.28737501	0.76967389	2.0133333	-0.17660003	-0.15381106	-0.072306843	0.20421535	-0.072242083	0.20421422	-0.24924273	6.9493112e-05	1	0.035907478	0.040667017	-0.32438098	-0.14571534	0.32437439	0.14566483	7.9522437e-05	0.45789789	-0.38666667	0.0015318718	0.92676905	-0.90564996	0.13197967	0.031744146	0.05119603	1.8260472	0.082571323	0.28264651	0.082592751	0.28258438	0.079788267	0.036190268	0.91958719	0.32649354	1.4063974	-0.012358874	-1.0847446	-0.012551711	-1.084726	0.89519566	-0.00023794282	-0.54540991	-0.32515333	-0.076130195	0.95638394	1.0145278	-0.95645984	-1.014261	-8.8023773e-05	-0.41237322	-0.0095394456	-10.559281	R0:S0:1	0.91958719	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@11:55
2x2_2C_8b_C2v_L	-0.95521884	0	8.49	0.20241991	-0.19385928	0.80678153	0.26652268	0.80655905	0.26662257	0.28805078	0.7712912	2.02	-0.17921167	-0.15303171	-0.07288586	0.20533138	-0.072852969	0.20534998	-0.24904224	9.5547841e-05	1	0.038247387	0.043846847	-0.32207534	-0.1456208	0.32206461	0.14560659	0.00010228763	0.45507621	-0.38	0.0019786506	0.92736541	-0.90622388	0.12893411	0.031874373	0.051618194	1.8297729	0.081212009	0.28106209	0.081233471	0.28098619	0.07886268	0.035588267	0.9203279	0.3241072	1.3910258	-0.010561009	-1.0839804	-0.010698617	-1.0838974	0.89222671	-0.00033715384	-0.54651924	-0.34248073	-0.080836488	0.94908072	1.0135807	-0.94916319	-1.0134067	-0.00011217581	-0.40878783	-0.010210939	-10.583549	R0:S0:1	0.9203279	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@12:08
2x2_2C_8b_C2v_L	-0.95516662	0	8.5	0.19620281	-0.19237346	0.80981767	0.26544265	0.80951197	0.26545502	0.28869821	0.77256674	2.0266667	-0.17592914	-0.15215801	-0.072278398	0.20485782	-0.072226837	0.20485484	-0.25041219	2.9226864e-05	1	0.036246723	0.041510251	-0.32382042	-0.14535424	0.32379912	0.14532107	3.8497028e-05	0.45744816	-0.39	0.0019339609	0.92818719	-0.90309767	0.13351013	0.03183674	0.05080432	1.8296508	0.081404359	0.27892569	0.081432634	0.2788708	0.079206532	0.035845931	0.9210133	0.32216843	1.3906441	-0.011592262	-1.0768362	-0.011766436	-1.0767733	0.89231215	-0.00010900854	-0.54532679	-0.32900796	-0.076689596	0.95046333	1.0070962	-0.95057906	-1.0069295	-4.3908268e-05	-0.41140976	-0.0094233018	-10.604856	R0:S0:1	0.92101331	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@12:22
2x2_2C_8b_C2v_L	-0.95284378	0	8.5	0.20725723	-0.19369577	0.80511169	0.2685169	0.80522116	0.26849793	0.28872307	0.77070007	2.0277778	-0.18789493	-0.15690028	-0.073743538	0.20643735	-0.07373247	0.20643956	-0.24886956	-8.5613096e-06	1	-0.0034163699	-0.0039531228	-0.31919676	-0.14562557	0.31922726	0.14561159	-5.78233e-06	0.4516535	-0.37333333	0.0024689721	0.92792772	-0.90582101	0.12595383	0.031885549	0.044664622	1.8250314	0.079761921	0.27950731	0.079769609	0.27951388	0.078089012	0.035018838	0.92101671	0.33377276	1.4207959	-0.0077711702	-1.0819027	-0.0078093135	-1.0819245	0.88887026	3.8488441e-05	-0.5469281	0.030229461	0.0072283209	0.94077851	1.0123917	-0.94085001	-1.0123774	1.5223284e-06	-0.40559251	-0.010801403	-10.6053	R0:S0:1	0.92101671	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-04@12:43
