CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
19	Broyden	0	0.0002212766479	-64.83506444	-112	5.868707547	YY	9	0.4901213363	self-energy/D	sharp_wc_2_b_50	3	2	1.200432932	0.001259383704	0.7903342645	-2.357471508	1.972497904	-2.176687749	1.652823617	0.02918754399	0.8705383845	-2.176792864	1.652792936	0.02913551474	0.8706304268	0.2894762784	0.03285415178	-1.573218504	0.9694980838	a248bdd	2x2_2C_8b_C2v_L	10	1.48102337	2	1.684683413	0.9999999997839051	0.9999999999999998	-0.06035890312	0.6105909788	0.0005328570979	-0.0006375239682	-2.526405555e-05	-0.001961907499	0.00176773797	-0.02922423314	0.0001683629419	0.003357700698	0.0005556561108	-0.007874268888	0.004537370012	-0.08406262378	-0.001952179512	-0.030079326	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.07194558879	0.7661173705	-0.6996777459	0.2561305027	1.088478776	-1.683916016	0.135349621	-2.404605098	-1.088495015	1.684058552	0.1353419795	-2.404806155	0.4287993385	-0.6951411547	-1.411655717	3.571978226	2024-10-21@18:02	1.5	-0.6878098766	1	9.787699298e-17	-0.3401069885	-1.5	-1.125000645e-16	0.1821607624	v2.7.1	
18	Broyden	0	-0.002717968287	-71.43803202	-128	3.167459584	YY	9	0.514302758	self-energy/D	sharp_wc_2_b_50	2	2	1.231463063	-0.02445109745	0.5193279634	-3.716189293	1.983039879	-2.926473777	1.82540265	-0.1874195218	1.435544356	-2.924912953	1.824863618	0.1861606345	0.5662790209	0.2744118505	0.02330332966	-2.184738569	1.136343365	a248bdd	2x2_2C_8b_C2v_L	10	1.507728382	2	1.718218271	0.9999999997609195	0.9999999999999999	-0.0005934618878	0.437276467	0.0006139014426	0.02455359718	-0.0002721990044	-0.004361613037	-0.1751017967	2.547425076	-0.001201814095	-0.0136346435	-0.00410756667	0.05103759579	0.003537029967	-0.1451735834	-0.001532421225	-0.06082073747	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.09187416046	0.8831399392	-0.7900401202	0.2029468595	1.150763479	-1.080462211	-0.0007668524179	0.01164482029	-1.15036675	1.082919315	-0.1746977635	2.549227083	0.3483424981	-0.4895260482	-1.453902354	3.541476704	2024-10-21@18:04	1.5	-0.6131495085	1	7.082355462e-18	-0.2768120257	-1.5	3.039043916e-16	0.1403799844	v2.7.1	
2	Broyden	0	3.674473756e-09	-203.7672537	-210.4	-1.574095836e-05	YY	9	0.9906389763	self-energy/D	sharp_wc_2_b_50	0	1.333333167	-0.7867646347	1.999996496	-8.435806075	1.999999667	-14.08118807	1.999996796	1.521739931	6.661456002e-05	-14.14982247	1.999992544	1.507010732	7.749497455e-05	8.692784451	0.03340507099	-29.54238358	1.993547002	a248bdd	2x2_2C_8b_C2v_L	13.15	1.990623034	2	1.99999575	0.9999999999504467	0.9999999999999998	-0.002989281632	0.0103859891	-7.456008142e-05	0.002431838963	-0.007830321654	0.00440737392	-0.141020716	0.0001201977683	-0.009039779168	0.01176892079	-0.1398273344	-8.29664048e-05	-0.9850356121	0.007977112745	0.8630131808	-0.4230266204	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0001144059553	2.095160011e-05	-0.9113503394	8.126106361e-06	1.596354106	-4.378022877e-05	0.0136625487	-0.0445095849	-1.600851036	9.246668115e-05	-0.01534782844	0.04802900216	0.7678656394	-0.9907618565	-2.931571171	0.02643450102	2024-10-21@18:19	1.5	-3.307579093e-06	1	7.564590825e-16	-4.195292131e-07	0.75	4.497065797e-16	1.785489758e-07	v2.7.1	
2	Broyden	0	-8.144229668e-10	-203.869517	-194.4	3.999972173	YY	9	0.9887879973	self-energy/D	sharp_wc_2_b_50	1	2	1.333333023	-0.7867686735	1.999998152	-8.435706561	1.999999573	-14.07564579	1.999999083	1.531001557	3.077121911e-07	-14.14432299	1.999999596	1.51653117	1.979920368e-06	8.654404611	0.03900897068	-29.53136213	1.990677932	a248bdd	2x2_2C_8b_C2v_L	13.15	1.98876456	2	1.999993472	0.9999999998967428	0.9999999999999996	0.002153430593	-0.007527475207	-0.0001458942432	0.003217443796	0.001184295259	-0.005172802649	-0.1738342368	-8.069410322e-06	0.001090555323	0.002970596772	-0.1740764209	2.220956864e-05	-1.141283863	0.01130830833	1.048321199	-0.5124766288	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0001000085601	-1.881201729e-05	-0.9543937797	1.028726261e-05	1.652437717	-1.617064511e-05	-0.001425173014	0.003013205444	-1.655888584	1.073959191e-05	0.001865027932	-0.007582048886	0.821975519	-1.060057406	-3.004207531	0.03348454412	2024-10-21@18:21	1.5	-5.610955363e-06	1	-1.973292463e-16	-8.039030052e-07	0.75	-1.20790737e-16	3.401373779e-07	v2.7.1	
2	Broyden	0	9.161435971e-10	-204.0253171	-178.4	7.999947649	YY	9	0.9861354197	self-energy/D	sharp_wc_2_b_50	2	2	1.333332713	-0.7867682403	1.999995785	-8.430039109	1.999999187	-14.06889833	1.999999101	1.5492013	9.035037405e-07	-14.13751269	1.999998808	1.535785564	7.102977283e-08	8.595257904	0.04640751239	-29.51717557	1.98598335	a248bdd	2x2_2C_8b_C2v_L	13.15	1.986098855	2	1.99998952	0.9999999998670768	1.0	0.003222654041	-0.01134404084	-0.0002204951775	0.004280365683	-0.0003216245174	-0.004957739185	-0.219818677	1.875206039e-05	-0.0006432920302	0.005889102154	-0.2190900174	5.343970792e-06	-1.336108265	0.0165986974	1.300180991	-0.632364886	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0004265352992	-3.555431012e-05	-1.003607041	1.808241402e-05	1.707168371	-1.973632588e-05	0.0007683748851	-0.005027852091	-1.711464368	2.273159094e-05	-0.0003621306372	-0.00136420443	0.8858499772	-1.13993737	-3.07568589	0.04387418551	2024-10-21@18:22	1.5	-1.005155745e-05	1	4.284625176e-16	-1.655501793e-06	0.75	1.274656463e-16	6.971442026e-07	v2.7.1	
2	Broyden	0	7.327682122e-11	-202.6028335	-162.4	11.99999667	YY	9	0.9956443035	self-energy/D	sharp_wc_2_b_50	3	2	1.33333329	-1.057196253	1.999894987	-8.018666071	1.999993237	-13.83426479	1.999999989	3.416849013	3.249980221e-07	-13.90320334	1.999999764	3.456163727	9.03842046e-08	8.483684202	0.001138075752	-29.60347672	1.983292081	a248bdd	2x2_2C_8b_C2v_L	13.15	1.995640316	2	1.999999466	0.9999999999290412	1.0	-0.01653594955	0.05590575677	0.006135213851	-0.00763296046	-0.001001514438	-0.0001619558754	-0.5419605808	2.584060677e-06	-0.001670513592	0.002680136306	-0.5621722622	-1.223524346e-06	-2.066225225	0.007530890269	1.530615124	-0.7237531783	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.0846565017	7.471111884e-05	-1.02012324	8.542614462e-05	1.56733863	-3.5613658e-07	0.000865989374	-0.003026830261	-1.547268025	2.411715537e-06	-0.001163322699	0.001613063648	0.1228597718	-0.1577487547	-0.5691179287	0.004152983526	2024-10-21@18:24	1.5	-5.991439342e-07	1	-9.525821924e-17	-1.200163588e-07	0.75	1.437834205e-16	5.03735364e-08	v2.7.1	
5	Broyden	0	1.956766786e-07	-76.30930523	-160	-3.075712741	YY	9	0.5598795125	self-energy/D	sharp_wc_2_b_50	0	1.27256472	0.02975871591	0.01730779456	-3.923059322	1.992248043	-3.843280201	1.886750372	-0.04067512774	1.483283145	-3.844340242	1.886771648	-0.04068681578	1.48327927	0.1928845827	1.389524887	-3.378468821	1.585845317	a248bdd	2x2_2C_8b_C2v_L	10	1.556900897	2	1.767984549	0.9999999996683635	0.9999999999999999	0.07464635591	-0.06860498069	-0.0007355725302	-0.003703916051	0.0001867869136	-0.001115382526	-0.1011540532	2.595018928	-0.0002009713927	0.001171431075	-0.1011633866	2.595089455	-9.707734602e-05	0.02498767896	0.0003682360052	0.0083809445	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.002427944552	-0.130317892	-0.7258294243	0.1087230983	1.117995912	-0.8525772303	0.000868846012	-0.01648747681	-1.118151493	0.8525220937	0.0008852163716	-0.01679673896	0.2344032345	-2.653114921	-1.47740316	2.383178242	2024-10-21@18:24	1.5	-0.4795655099	1	-9.978011334e-17	-0.1779815132	-1.5	-3.304302371e-17	0.08527186804	v2.7.1	
2	Broyden	0	1.773285622e-10	-203.0212371	-146.4	15.99999454	YY	9	0.9924911492	self-energy/D	sharp_wc_2_b_50	4	2	1.333333258	-1.075419658	1.999979205	-8.005698627	1.999997396	-13.83519395	1.999999975	3.395258323	2.059789687e-07	-13.90376563	1.999999742	3.430341209	1.653681475e-08	8.15711077	0.001527594169	-29.58688799	1.970464122	a248bdd	2x2_2C_8b_C2v_L	13.15	1.992479802	2	1.999999234	0.9999999999344719	1.0	0.007315116262	-0.02446665787	-0.004223891796	0.007012106507	-0.0004729984647	-0.0007329875105	-0.6749220633	2.244234446e-06	-0.001725899292	0.00280170596	-0.686259617	-4.844526098e-07	-2.270346958	0.01438777221	2.047538207	-0.9579692176	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	-0.132008111	-8.496129959e-06	-1.065262813	2.492934582e-05	1.520327888	-8.120601985e-07	0.0003961649155	-0.00234395024	-1.509600711	2.714469275e-06	-0.0009115293237	0.000664054176	0.1278268712	-0.1665469549	-0.5043171511	0.006450237115	2024-10-21@18:25	1.5	-9.121596685e-07	1	-2.67202951e-17	-2.206105997e-07	0.75	-3.658396773e-17	9.204503169e-08	v2.7.1	
2	Broyden	0	-2.336919498e-12	-202.4694221	-210.4	-3.687321689e-08	YY	9	0.9999220474	self-energy/D	sharp_wc_2_b_50	0	1.333333333	-1.149622234	1.999997473	-8.085010154	1.999999908	-13.82660485	1.999999908	3.488087687	1.132090779e-06	-13.89534243	1.999999734	3.52804154	2.386725514e-06	9.14647759	3.796096447e-05	-29.67334727	1.999726206	a248bdd	2x2_2C_8b_C2v_L	13.15	1.999922038	2	1.99999999	0.9999999999448808	1.0000000000000004	0.002733011689	-0.008828631622	-4.30860872e-06	-0.0001190372228	0.001628296049	-0.001384274861	-0.2623912513	8.609730539e-07	0.002496308002	-0.002507969289	-0.2693466108	-6.270504779e-07	-1.576542856	9.703077268e-05	-0.1951026159	0.09327333481	sol_cdmft_3bandes_grille.py	R0:S0:1	uncorrelated	0.0003356260675	9.318213108e-07	-0.8950179188	1.901283189e-06	1.499393132	-6.781450604e-07	-0.002575086687	0.005873237532	-1.499384823	2.116548746e-06	0.003838530181	-0.008529111549	-0.02640320588	0.03238389598	-0.6914285942	9.105405603e-05	2024-10-21@18:26	1.5	-7.883453917e-09	1	-3.186677333e-16	-1.027231731e-09	1.5	2.897314094e-16	3.742268723e-10	v2.7.1	
