CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	version	
2	Broyden	0	4.409761915e-07	-18.72955729	-0.9862005957	Y	6.5	0.06289709288	self-energy/D	sharp_wc_2_b_50	-1.107914265	1.994416997	1.466332517	0.0241426677	1.814213232	0.0521349142	1.028377075	0.0441053051	1.814595947	0.05210985096	-1.028474664	1.955869139	0.9900514144	0.03994179443	1.919301675	0.01643911556	a248bdd	2x2_2C_8b_C2v_L	3	0.9972334701	1.000440483	0.9999999998546011	0.0006848120048	-0.00255303964	0.001045296093	-0.0005092282351	-0.0001233105808	0.0002078843933	0.3026564699	-0.7738553309	0.0002197252287	-0.000399444501	-0.0002473362321	0.0006390667365	-0.3152687182	0.9405197154	7.639273848e-05	-0.0001820704888	boucle_1bande.py	R0:S0:1	1	-0.6484722606	-0.953964142	0.2996137656	-0.1589342266	0.2263935417	-0.7552517702	0.453212388	-0.8529561929	0.000163149712	-0.0004370204317	0.4532179836	-0.8527097667	-0.302710352	0.7741238209	-9.6836017e-05	6.239193508e-05	-0.5975924465	0.2878786483	2024-10-02@09:59	-0.3	-0.003962595535	0.1074548457	v2.7.1	
4	Broyden	0	-4.310172544e-07	-18.81526176	-0.9862035113	Y	6.5	0.06289545735	self-energy/D	sharp_wc_2_b_50	-1.119903195	1.994416348	1.463520649	0.02417405303	1.806100262	0.05210724814	1.039109914	0.04412192748	1.805924275	0.05211931139	-1.039101625	1.955898642	0.9995331118	0.03991726728	1.909263731	0.01643548542	a248bdd	2x2_2C_8b_C2v_L	3.01	0.9972217814	1.000432776	0.9999999998292721	0.0009984370197	-0.00369242718	0.001530439216	-0.0007493868413	5.494162476e-05	-8.250596582e-05	0.3027799252	-0.7740826147	-7.896136534e-05	0.0001345995101	0.0001080780224	-0.0002834699412	-0.3151320865	0.9402645051	9.703913497e-05	-0.0002325588566	boucle_1bande.py	R0:S0:1	1	-0.6484766796	-0.9539686013	0.2998919202	-0.1589774204	0.2270683724	-0.7559247909	0.4534250483	-0.8527509226	-7.05477584e-05	0.0001982198748	0.4534082115	-0.8528735406	-0.3027314612	0.7738758822	-0.0001330931893	8.452663724e-05	-0.5975279792	0.2878332168	2024-10-02@10:02	-0.3	-0.003949794289	0.1074497	v2.7.1	
5	Broyden	0	3.261900134e-07	-18.90210342	-0.9862057906	Y	6.5	0.06289855082	self-energy/D	sharp_wc_2_b_50	-1.132279263	1.994414476	1.460347887	0.02419824711	1.797843183	0.05211335397	1.049838715	0.04409942586	1.798274206	0.05209351511	-1.049852165	1.955870837	1.008983004	0.03989858992	1.900034333	0.01643485262	a248bdd	2x2_2C_8b_C2v_L	3.02	0.9972181787	1.000431153	0.9999999998628776	0.0001232174863	-0.0004498062012	0.0001935267957	-9.660951107e-05	-5.605938106e-05	9.392118405e-05	0.3028498799	-0.7739082814	2.486379275e-05	-3.64615845e-05	-4.631965791e-05	0.0001241866153	-0.3150237325	0.9400808824	-8.413649834e-06	1.824365439e-05	boucle_1bande.py	R0:S0:1	1	-0.6484726223	-0.9539705572	0.3002603323	-0.1590572013	0.2276732775	-0.7564677069	0.4536387734	-0.852888251	6.373776553e-05	-0.0001710913883	0.4536748179	-0.8526970127	-0.302916617	0.7742026955	1.925458521e-05	-1.25946147e-05	-0.597587973	0.2878255179	2024-10-02@10:07	-0.3	-0.003935814708	0.1074507777	v2.7.1	
1	Broyden	0	-1.155855078e-06	-18.96922618	-0.9862317889	Y	6.5	0.0629236712	self-energy/D	sharp_wc_2_b_50	-1.13972408	1.9944149	1.456062648	0.02418594692	1.791051476	0.05206497863	1.055955629	0.04419163785	1.790502504	0.05208747748	-1.056053081	1.955851382	1.014518188	0.03990564583	1.892076854	0.01643246035	a248bdd	2x2_2C_8b_C2v_L	3.03	0.9972648754	1.000467442	0.9999999998753447	0.0006788656847	-0.002476583095	0.001031580154	-0.0005092283352	0.0003216053117	-0.0005973499362	0.3027515293	-0.7746722609	-0.0003607860333	0.0006754693396	0.0004194851574	-0.001051588346	-0.3147011024	0.9400888906	4.586176881e-06	-1.13350036e-05	boucle_1bande.py	R0:S0:1	1	-0.648486779	-0.9539876619	0.3002254673	-0.1590534396	0.2279495657	-0.7563277678	0.4537711752	-0.8524783844	-0.0003800420351	0.0009572631537	0.4537074548	-0.8526929304	-0.3026586604	0.7742586391	-4.94913938e-06	4.954875475e-06	-0.597546613	0.287771275	2024-10-02@10:09	-0.3	-0.003905515283	0.1074804231	v2.7.1	
2	Broyden	0	1.552389838e-06	-19.07066953	-0.986195487	Y	6.5	0.06288836066	self-energy/D	sharp_wc_2_b_50	-1.156340312	1.994412317	1.452509609	0.02424829888	1.78117824	0.05198633839	1.069032486	0.04420197043	1.780118053	0.05216441341	-1.069953339	1.955992113	1.02586617	0.03982456956	1.879434943	0.01642456542	a248bdd	2x2_2C_8b_C2v_L	3.04	0.9971993534	1.000423897	0.9999999998515754	-0.0009706832148	0.003504404367	-0.001466536289	0.0007300858605	-0.0002450874733	0.0004401001616	0.302952383	-0.7750098943	0.000460695552	-0.0008756044534	-0.0005260463346	0.001297166277	-0.314453467	0.9391825051	-7.937330663e-05	0.0002001930148	boucle_1bande.py	R0:S0:1	1	-0.6484838905	-0.9539619915	0.3008357516	-0.1591519457	0.2287929512	-0.7575285351	0.4538319963	-0.8517473851	0.0003169254896	-0.0008067147161	0.4539766965	-0.8535323361	-0.3027210465	0.7729967	8.161636437e-05	-4.614116645e-05	-0.5972643712	0.2876879436	2024-10-02@10:11	-0.3	-0.00390253201	0.1074449849	v2.7.1	
2	Broyden	0	-1.741592154e-06	-19.15196744	-0.9861725168	Y	6.5	0.06286562444	self-energy/D	sharp_wc_2_b_50	-1.169669187	1.994409766	1.44820672	0.02428309536	1.769913444	0.05228151183	1.083718595	0.04385793314	1.769145914	0.05186820261	-1.077272024	1.955719966	1.036071096	0.03977735858	1.86810663	0.01642320242	a248bdd	2x2_2C_8b_C2v_L	3.05	0.997161518	1.000400772	0.9999999998733369	0.001985079331	-0.007121243351	0.002969137448	-0.001476809095	-0.0001740409103	0.000421047095	0.3028213197	-0.7715630723	8.654035789e-05	-0.0002359952646	-3.1672251e-05	2.079685226e-05	-0.3142480509	0.9386255288	4.426157062e-06	-1.377268079e-05	boucle_1bande.py	R0:S0:1	1	-0.6484770765	-0.9539432613	0.3011570399	-0.159205402	0.2294109636	-0.7582318452	0.4542431855	-0.8546974822	0.0001481731866	-0.00028451716	0.4534373213	-0.8505721128	-0.3027549726	0.7758623197	-1.717373999e-06	3.842529138e-06	-0.597153965	0.2876639229	2024-10-02@10:14	-0.3	-0.003898014325	0.1074308517	v2.7.1	
4	Broyden	0	1.862893689e-06	-19.23285374	-0.9861669763	Y	6.5	0.06286981443	self-energy/D	sharp_wc_2_b_50	-1.178826358	1.994410208	1.440561368	0.02427075397	1.761525197	0.05206014577	1.089541611	0.04407390495	1.761278806	0.05204169641	-1.088659076	1.955913803	1.043819518	0.03975498753	1.858982158	0.016415808	a248bdd	2x2_2C_8b_C2v_L	3.06	0.9971776965	1.000413141	0.9999999998382	-0.002510527609	0.008956706084	-0.003689227853	0.001839447587	-0.0003052191661	0.0005745081752	0.302758986	-0.7737448171	0.0002611584055	-0.0004768869244	-0.000325490647	0.0008141879032	-0.3139891698	0.9383397775	-0.0001853859429	0.0004620354883	boucle_1bande.py	R0:S0:1	1	-0.6484900202	-0.9539360774	0.3011447882	-0.1591868014	0.2294978919	-0.7580639631	0.4539810762	-0.8525573349	0.0003763108511	-0.0009229157143	0.453901752	-0.852390417	-0.302664727	0.7738495446	0.0002231753838	-0.0001323940401	-0.5970400748	0.2875801597	2024-10-02@10:18	-0.3	-0.00388303481	0.1074363295	v2.7.1	
1	Broyden	0	-3.226700269e-06	-19.29559812	-0.9862009197	Y	6.5	0.06288855343	self-energy/D	sharp_wc_2_b_50	-1.189086494	1.994379894	1.441968085	0.02428248997	1.751670518	0.05260068896	1.101505087	0.04349262224	1.757699792	0.05146106338	-1.089776169	1.955202602	1.046571123	0.03971391036	1.848480878	0.01641382423	a248bdd	2x2_2C_8b_C2v_L	3.07	0.9972036261	1.000444732	0.9999999998855231	0.007733849066	-0.02742548171	0.01139361163	-0.005687608199	-0.0001780243499	0.0004775404777	0.302083212	-0.767695637	3.07375453e-05	-0.0001550772856	8.779191936e-05	-0.0002847485886	-0.3131799071	0.9376641273	1.92258911e-05	-4.749314833e-05	boucle_1bande.py	R0:S0:1	1	-0.6485101136	-0.9539608022	0.3014158566	-0.1592378714	0.2302723181	-0.7583191738	0.4546263555	-0.8579714981	0.0001548982838	-0.0002554570301	0.4536535846	-0.8467060239	-0.3030763779	0.7808718887	-6.788685026e-05	5.601025817e-05	-0.5965819477	0.2874702719	2024-10-02@10:20	-0.3	-0.003830088561	0.1074670584	v2.7.1	
4	Broyden	0	-3.543829143e-07	-19.39433341	-0.9861229887	Y	6.5	0.06284029796	self-energy/D	sharp_wc_2_b_50	-1.201860383	1.994392949	1.42959809	0.02428669956	1.741759121	0.05198117439	1.107440503	0.04408822104	1.740326117	0.05204585518	-1.106785595	1.956000339	1.059750112	0.03966772535	1.837304046	0.01640687124	a248bdd	2x2_2C_8b_C2v_L	3.08	0.9971513398	1.000404588	0.9999999998842295	-0.006582529126	0.02317593467	-0.009543665745	0.004786549857	5.095735835e-05	-9.857946306e-05	0.3024778736	-0.7738939196	4.338078849e-05	-0.0001027675553	-5.691208616e-05	0.0001181256148	-0.3132533825	0.9371900083	-0.0002552355674	0.000635240271	boucle_1bande.py	R0:S0:1	1	-0.6484937619	-0.9538946009	0.3014576029	-0.159201739	0.2302225574	-0.758441746	0.4538187072	-0.8518434647	-8.110172448e-05	0.0001915873492	0.4537072389	-0.8524865114	-0.3022166162	0.7729798396	0.0003588943581	-0.0002188822468	-0.5965813212	0.287443814	2024-10-02@10:24	-0.3	-0.003856844158	0.1074279593	v2.7.1	
5	Broyden	0	1.18224472e-06	-19.47960545	-0.9861111885	Y	6.5	0.06282528539	self-energy/D	sharp_wc_2_b_50	-1.214862964	1.994399246	1.42553809	0.02432645644	1.73151187	0.05204142533	1.117646024	0.04398877058	1.731774389	0.05195794642	-1.116523534	1.955918877	1.066451156	0.03959592525	1.825451048	0.01639930952	a248bdd	2x2_2C_8b_C2v_L	3.09	0.9971303514	1.000400917	0.9999999998535058	0.004912904782	-0.01717212531	0.007111613335	-0.003579936157	-0.0001400399522	0.0002653511112	0.3022990336	-0.7729047244	0.0002446018872	-0.000486412925	-0.0002814625173	0.0006614313856	-0.3126429786	0.9362394545	0.0004097009826	-0.001032139503	boucle_1bande.py	R0:S0:1	1	-0.648507653	-0.9538827464	0.3019023186	-0.1593000956	0.2308631181	-0.7592259716	0.4538632894	-0.8524888523	0.0001878046357	-0.0004540106071	0.453762745	-0.8516663358	-0.3023307375	0.7738327973	-0.0005881736015	0.0003396679101	-0.5961443023	0.2873208749	2024-10-02@10:28	-0.3	-0.003832637376	0.1074281402	v2.7.1	
8	Broyden	0	1.594705981e-06	-19.55771889	-0.9860768267	Y	6.5	0.06280806498	self-energy/D	sharp_wc_2_b_50	-1.224740091	1.994408407	1.418575661	0.02432289656	1.721766021	0.05197103096	1.126201674	0.04401826763	1.721264515	0.05198776186	-1.125993241	1.955995934	1.074931135	0.0395431151	1.814999276	0.01639223468	a248bdd	2x2_2C_8b_C2v_L	3.1	0.9971194156	1.000393342	0.9999999998841564	-0.00255926742	0.008891648816	-0.003640026897	0.001838509651	-0.0001929198564	0.000370994535	0.3021408674	-0.7732165564	0.0003090869946	-0.0006195127653	-0.0003782864199	0.0008809813973	-0.3122997585	0.9355874151	-4.515018794e-05	0.0001136114565	boucle_1bande.py	R0:S0:1	1	-0.6485170338	-0.9538516151	0.301963541	-0.1593116977	0.231088396	-0.759272044	0.453747372	-0.8518361512	0.0002369088957	-0.000567846666	0.4537195319	-0.8519913226	-0.3020967218	0.7730668564	5.66325876e-05	-3.588105482e-05	-0.5959523269	0.2872354071	2024-10-02@10:35	-0.3	-0.00382589259	0.1074173721	v2.7.1	
