CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
2	Broyden	-77.96377464	-112.2962963	5.229907623	YY	8	0.533723229	self-energy	sharp_wc_2_b_50	2.981481481	2	1.204409935	-2.508331268	1.954446449	0.01502665585	0.09820731458	-3.4008619	1.735048249	0.2140785579	0.6750644941	-3.402194596	1.735078507	0.2140112451	0.6751394007	0.2429039229	0.009903676381	-3.130992395	1.044648387	a248bdd	2x2_2C_8b_C2v_L	10	1.518115881	2	1.68962955	1.5181158804118167	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.03353939	0.2822101124	-0.1364908864	1.235194272	1.641644721	-1.329405775	0.27328152	-2.684502898	1.641922101	-1.329464014	-0.2733183288	2.684755304	0.3666261924	-0.3777008025	2.186998218	-3.750711629	2024-07-18@09:51	2.148148148	-0.7036781896	1	-1.099015338e-16	-0.3487680734	0.09259259259	-1.44574848e-16	0.1376967492	v2.7.1	
1	Broyden	-77.88463538	-112.1362963	5.213053786	YY	8	0.532472188	self-energy	sharp_wc_2_b_50	2.981481481	2	1.204016094	-2.506431874	1.953988131	0.01464726615	0.09940164199	-3.397254022	1.733552083	0.2146402131	0.6788401284	-3.398137138	1.733640558	0.215017595	0.6787602037	0.2435108587	0.009947747915	-3.127053635	1.044860679	a248bdd	2x2_2C_8b_C2v_L	9.99	1.516752207	2	1.688640053	1.5167522069982573	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.033511614	0.2847476545	-0.1367975557	1.241415914	1.641743083	-1.336503737	0.2733754824	-2.686525447	1.642014809	-1.336352225	-0.2736277835	2.68672939	0.3670865954	-0.378297044	2.18748487	-3.750169166	2024-07-18@09:53	2.148148148	-0.7054742539	1	3.222330202e-16	-0.3493769842	0.09259259259	-2.09269407e-16	0.1379495135	v2.7.1	
1	Broyden	-77.79874406	-111.9762963	5.196743739	YY	8	0.5311868897	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20363142	-2.499354012	1.953478669	0.01460255028	0.1005519355	-3.393429377	1.732073383	0.2153324562	0.6825889582	-3.394203841	1.732053282	0.2152388493	0.6827099389	0.2445987221	0.01000554886	-3.124350856	1.045153593	a248bdd	2x2_2C_8b_C2v_L	9.98	1.515346173	2	1.687685303	1.5153461725488562	0.9999999999999996	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.032714181	0.2873318719	-0.137025807	1.246889723	1.641838501	-1.343587286	0.2737351482	-2.688578557	1.642022421	-1.343760992	-0.2737135537	2.688755666	0.3679083519	-0.3791309408	2.188490875	-3.74964269	2024-07-18@09:55	2.148148148	-0.7072028388	1	-1.242503449e-16	-0.3499765804	0.09259259259	-5.175869102e-16	0.1381986721	v2.7.1	
1	Broyden	-77.74505457	-111.8162963	5.180265926	YY	8	0.5298885121	self-energy	sharp_wc_2_b_50	2.981481481	2	1.203242432	-2.49938932	1.953030117	0.01483670117	0.1017946445	-3.392903269	1.730766565	0.2163928349	0.6862748359	-3.394564116	1.731042377	0.2167501619	0.6858173651	0.2458510772	0.01006094284	-3.122180844	1.045514603	a248bdd	2x2_2C_8b_C2v_L	9.97	1.513924637	2	1.68672079	1.5139246373021424	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.033179535	0.2899117065	-0.1374844109	1.253600657	1.642793276	-1.350361992	0.2741844479	-2.69110579	1.643078874	-1.349510068	-0.2744190384	2.691102536	0.3688038849	-0.379962836	2.189642015	-3.749063367	2024-07-18@09:57	2.148148148	-0.7089500845	1	2.788789796e-16	-0.3505794383	0.09259259259	-1.602805652e-16	0.1384509179	v2.7.1	
1	Broyden	-77.67959411	-111.6562963	5.164007588	YY	8	0.5285765932	self-energy	sharp_wc_2_b_50	2.981481481	2	1.202856831	-2.494599582	1.952480853	0.01481295531	0.103147829	-3.392025764	1.729515937	0.2172637057	0.6898160907	-3.3940645	1.729802308	0.2177215337	0.6892939345	0.2473183456	0.01011584975	-3.120206434	1.045880349	a248bdd	2x2_2C_8b_C2v_L	9.96	1.512486712	2	1.685768909	1.512486712057565	0.9999999999999998	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.032859864	0.2927743395	-0.1378759549	1.260346864	1.643521657	-1.356890784	0.2746928574	-2.693412443	1.643978002	-1.355988189	-0.274841379	2.693331268	0.3696826571	-0.3807606336	2.190897473	-3.748502865	2024-07-18@09:59	2.148148148	-0.7106697382	1	1.121591605e-16	-0.3511782746	0.09259259259	-1.715609436e-16	0.1387006638	v2.7.1	
1	Broyden	-77.61799006	-111.4962963	5.147965966	YY	8	0.5272393714	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20247423	-2.493582536	1.952026292	0.01543349838	0.1043670618	-3.391520377	1.72828959	0.2180863464	0.6932887423	-3.391653813	1.728249059	0.2181295066	0.6933870967	0.2486546916	0.01016388586	-3.117640001	1.046151934	a248bdd	2x2_2C_8b_C2v_L	9.95	1.511019085	2	1.684830669	1.5110190845040028	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.033167314	0.2953732699	-0.1383974311	1.266850839	1.644367767	-1.36335088	0.27522148	-2.695640407	1.644466798	-1.363537946	-0.2752265262	2.695728221	0.3704613755	-0.381486104	2.192013494	-3.747995083	2024-07-18@10:00	2.148148148	-0.7123610122	1	-1.276658561e-16	-0.3517747071	0.09259259259	1.536518133e-16	0.1389496076	v2.7.1	
1	Broyden	-77.55211018	-111.3362963	5.131676059	YY	8	0.5259318534	self-energy	sharp_wc_2_b_50	2.981481481	2	1.202086715	-2.488370633	1.951501246	0.01604055709	0.1056505381	-3.390352577	1.726955696	0.2187303048	0.6969803298	-3.391406132	1.727060707	0.2189553078	0.6968030961	0.2505835609	0.01022053488	-3.115708835	1.046496046	a248bdd	2x2_2C_8b_C2v_L	9.94	1.509582952	2	1.683876414	1.5095829514670829	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.032781236	0.298128899	-0.1388453224	1.273226369	1.645038756	-1.370141596	0.275622786	-2.697874882	1.645319075	-1.369847655	-0.2756808903	2.697892733	0.3714508351	-0.382350144	2.193362059	-3.747472839	2024-07-18@10:02	2.148148148	-0.7140833755	1	-4.791748775e-16	-0.3523728932	0.09259259259	-3.371352242e-16	0.1392031516	v2.7.1	
1	Broyden	-77.47803058	-111.1762963	5.115836155	YY	8	0.5246029996	self-energy	sharp_wc_2_b_50	2.981481481	2	1.201707678	-2.485948803	1.951050357	0.01683151862	0.1067743897	-3.387706662	1.725474686	0.2191647533	0.7008147001	-3.387449192	1.725346362	0.2188673354	0.7010908651	0.2518857108	0.01027136571	-3.112406116	1.046681139	a248bdd	2x2_2C_8b_C2v_L	9.93	1.508124034	2	1.682947015	1.5081240336686634	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.03291868	0.3006494495	-0.1392665713	1.278936507	1.645437312	-1.377346025	0.2759768931	-2.69983049	1.645373524	-1.377801703	-0.2758450306	2.699924384	0.3722053567	-0.3831237817	2.194244231	-3.746977606	2024-07-18@10:04	2.148148148	-0.7157528606	1	-2.092233693e-16	-0.3529594621	0.09259259259	7.12440837e-17	0.1394515034	v2.7.1	
1	Broyden	-77.40974902	-111.0162963	5.099359854	YY	8	0.5233278486	self-energy	sharp_wc_2_b_50	2.981481481	2	1.20131561	-2.480613864	1.950511678	0.01796834586	0.1080863688	-3.386620028	1.724122918	0.2198877877	0.7045937387	-3.386999813	1.724253569	0.2201227675	0.7043035202	0.2535643083	0.010322321	-3.109495359	1.046923639	a248bdd	2x2_2C_8b_C2v_L	9.92	1.506720562	2	1.681981215	1.5067205617821129	0.9999999999999991	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.032684419	0.3034629311	-0.1397567068	1.28543063	1.646170827	-1.384226452	0.2763957867	-2.702139317	1.646248151	-1.383747254	-0.2764665771	2.702011331	0.3730260059	-0.3839096981	2.195243899	-3.746485188	2024-07-18@10:06	2.148148148	-0.7174965893	1	7.138614481e-16	-0.353560524	0.09259259259	1.622542196e-16	0.1397073714	v2.7.1	
1	Broyden	-77.32804626	-110.8562963	5.083844131	YY	8	0.5220477469	self-energy	sharp_wc_2_b_50	2.981481481	2	1.200943834	-2.476201487	1.949971483	0.0189800813	0.1094509447	-3.381273376	1.722510249	0.2201032201	0.7084721263	-3.384844679	1.722805415	0.2206291006	0.7081359208	0.2548990645	0.01036854421	-3.1055029	1.047036943	a248bdd	2x2_2C_8b_C2v_L	9.91	1.505312093	2	1.681069942	1.505312093183508	1.0000000000000004	new_boucle_param.py	R0:N14:S0:1	uncorrelated	-1.032444706	0.3063483147	-0.1403438906	1.292303713	1.645876033	-1.391537579	0.2765100884	-2.703643568	1.646739405	-1.390883614	-0.2768237178	2.70402465	0.3736377151	-0.3845993121	2.195889802	-3.74603982	2024-07-18@10:08	2.148148148	-0.7191351079	1	-4.728765316e-16	-0.3541278858	0.09259259259	-2.985826772e-18	0.1399630918	v2.7.1	
