GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	2.8413	-0.33668819	-3.4725783	-3.5738456	0.022443697	-3.5741839	0.02238483	0.035238399	-3.3509839	a248bdd	2x2_2C_8b_C2v_L	10.04	validity_data_2022.py	0.17005544	1.0757881	-1.566756	0.12182886	1.5668317	0.12181779	-0.15826591	-2.0827989	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.3394656	-3.4853497	-3.5813474	0.02306655	-3.5816136	0.023033735	0.036107184	-3.3589893	a248bdd	2x2_2C_8b_C2v_L	10.05	validity_data_2022.py	0.16954183	1.0768991	-1.5670795	0.12136696	1.5671013	0.12136538	-0.15799736	-2.0830648	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.34033388	-3.4750765	-3.5891925	0.025744906	-3.5892388	0.02577779	0.039638912	-3.368717	a248bdd	2x2_2C_8b_C2v_L	10.06	validity_data_2022.py	0.16727557	1.0754876	-1.5674041	0.1210462	1.5674317	0.12102976	-0.15836366	-2.0837556	2024-08-14@16:19	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26224727	-3.0676892	-3.9084834	0.43883886	-3.9058675	0.43896611	0.53534166	-3.6746632	a248bdd	2x2_2C_8b_C2v_L	10.07	validity_data_2022.py	0.09040175	1.0610635	-1.6380775	0.18198644	1.637683	0.18163501	-0.26190316	-2.1791381	2024-08-14@16:20	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26657372	-3.0865119	-3.9224018	0.43999814	-3.9254022	0.44016436	0.53455134	-3.6875564	a248bdd	2x2_2C_8b_C2v_L	10.08	validity_data_2022.py	0.092021949	1.0628929	-1.6394974	0.18332647	1.6400243	0.18367894	-0.2635092	-2.1804172	2024-08-14@16:20	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	-0.34310356	-3.4926278	-3.6148438	0.02886595	-3.616014	0.029199301	0.044473945	-3.3941418	a248bdd	2x2_2C_8b_C2v_L	10.09	validity_data_2022.py	0.16375826	1.0767037	-1.5688827	0.11988336	1.5692479	0.11989232	-0.15828135	-2.0849351	2024-08-14@16:21	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26825856	-3.1319688	-3.9634776	0.43113946	-3.9620993	0.43344297	0.52278885	-3.7167187	a248bdd	2x2_2C_8b_C2v_L	10.1	validity_data_2022.py	0.096247781	1.0675746	-1.6443523	-0.18743332	1.6443469	-0.18733991	0.26727676	-2.1836641	2024-08-14@16:22	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26654806	-3.1552166	-3.9829717	0.42522437	-3.9815346	0.42750107	0.51452589	-3.7313752	a248bdd	2x2_2C_8b_C2v_L	10.11	validity_data_2022.py	-0.098229995	1.0699467	-1.6466002	-0.18926432	1.6465916	-0.18917104	0.26892769	-2.1852494	2024-08-14@16:22	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26651348	-3.1757399	-3.9990329	0.42369621	-4.0005909	0.42184838	0.5091609	-3.744826	a248bdd	2x2_2C_8b_C2v_L	10.12	validity_data_2022.py	-0.099899808	1.0719551	-1.6484783	0.19069661	1.6485431	0.19083607	-0.27037934	-2.1865604	2024-08-14@16:22	2.0159	1	0.2381	v2.7.1	
YY	9.5	2.8413	0.26491992	-3.1973322	-4.0174133	0.41859139	-4.0181676	0.41598824	0.50126129	-3.7582269	a248bdd	2x2_2C_8b_C2v_L	10.13	validity_data_2022.py	0.10166905	1.0740978	-1.6505238	0.19230615	1.650391	0.19235001	-0.27168564	-2.1877697	2024-08-14@16:23	2.0159	1	0.2381	v2.7.1	
