model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	28	12	7	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	11.6	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.6667616	0.00038285683	5.2151269e-07	1.999655	1.9997254	2.5264926e-06	1.9997254	2.5265394e-06	4.9106903e-06	1.9993583	1.0003797	0.00287615	-0.074178219	0.066128291	-0.0063153974	-0.066128445	0.0063154557	-0.0088320815	0.10122757	9.567917e-05	5.2151262e-07	0.00034607865	0.00027560045	2.526491e-06	0.00027560173	2.5265379e-06	4.9106843e-06	0.00064264834	9.685542e-05	4.0005703	3.9994251	3.9976397	4.0023577	3.9976396	4.0023577	4.0007904	3.9992035	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.41e-05	 1.94e+00	2022-07-04@13:43
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	11.415556	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9975703	0.0005197691	5.4041574e-07	1.9995085	1.9996348	2.6225003e-06	1.9996348	2.6225489e-06	5.0826897e-06	1.9991465	1.0005176	0.0029245703	-0.088757361	0.076506676	-0.0064239802	-0.076507001	0.0064240394	-0.0089778454	0.11690489	0.00012987856	5.4041567e-07	0.00049051567	0.00036418151	2.6224986e-06	0.00036418463	2.6225472e-06	5.0826832e-06	0.0008523678	0.00013005894	4.0008152	3.9991879	3.9968219	4.0031849	3.9968218	4.0031849	4.0010969	3.9989037	-66.567451	R0:N12:S0:1	-40.213333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:43
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	11.231111	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9996854	0.00074737583	5.6165745e-07	1.9992368	1.9994845	2.7335076e-06	1.9994845	2.7335582e-06	5.2727292e-06	1.9988034	1.0007445	0.0029760983	-0.1104645	0.090739483	-0.0065416627	-0.090740105	0.006541723	-0.0091321792	0.13832214	0.00018671477	5.6165737e-07	0.00076329309	0.00051565203	2.7335057e-06	0.0005156591	2.7335564e-06	5.2727222e-06	0.0011965223	0.00018752332	4.0012346	3.9987623	3.9954512	4.0045534	3.9954512	4.0045534	4.0015709	3.9984214	-65.830739	R0:N12:S0:1	-43.626667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:44
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	11.046667	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9998874	0.0011713547	5.8716585e-07	1.998663	1.9992222	2.8732579e-06	1.9992222	2.8733116e-06	5.4917724e-06	1.9982066	1.0011685	0.0030327798	-0.14621273	0.11145118	-0.0066756673	-0.11145237	0.006675729	-0.0092993403	0.16933516	0.00029253076	5.8716576e-07	0.0013365469	0.0007776897	2.8732559e-06	0.00077770628	2.8733096e-06	5.4917648e-06	0.0017926188	0.00029325424	4.0020782	3.9979146	3.9928795	4.0071336	3.9928795	4.0071336	4.0023511	3.9976335	-65.094559	R0:N12:S0:1	-47.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:44
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	10.862222	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9999457	0.0021282894	6.2336795e-07	1.997078	1.9986941	3.0873659e-06	1.998694	3.0874249e-06	5.7677268e-06	1.9970199	1.0021253	0.0031012979	-0.21610108	0.14430733	-0.0068495726	-0.14430974	0.0068496365	-0.0094896871	0.21825298	0.00053110607	6.2336785e-07	0.0029198793	0.0013055146	3.0873636e-06	0.0013055582	3.0874226e-06	5.7677182e-06	0.0029778562	0.00053184258	4.0041926	3.9957689	3.9869163	4.013125	3.9869163	4.013125	4.0035636	3.9963901	-64.359473	R0:N12:S0:1	-50.453333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:45
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	10.677778	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9999697	0.0054602955	7.0965787e-07	1.9892945	1.9973804	3.6507105e-06	1.9973803	3.650782e-06	6.1912791e-06	1.9941016	1.0054572	0.0032218026	-0.41317731	0.20380488	-0.0072025872	-0.20381053	0.0072026555	-0.0097317054	0.3070771	0.0013591913	7.0965771e-07	0.01067609	0.0026178666	3.6507071e-06	0.0026180118	3.6507786e-06	6.1912689e-06	0.0058895235	0.0013599409	4.013094	3.9863027	3.964593	4.0356483	3.9645928	4.0356486	4.0029264	3.9968162	-63.627452	R0:N12:S0:1	-53.866667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:45
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	10.493333	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9999837	0.16175582	5.2966183e-06	1.3826329	1.9946737	2.8084846e-05	1.994673	2.8084522e-05	8.0635884e-06	1.9809492	1.1617504	0.0079399259	-2.8009704	0.24656875	-0.019360678	-0.24658759	0.019360403	-0.0094570876	0.58633408	0.029311783	5.2966063e-06	0.44193994	0.0053260333	2.8084392e-05	0.0053267342	2.8084068e-05	8.0636632e-06	0.018941863	0.029312593	4.8116954	2.4810314	2.87502	5.1443361	2.8750826	5.1442752	3.4875933	4.4862454	-62.937018	R0:N12:S0:1	-57.28	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:46
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	10.308889	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9999937	0.55032607	1.4935895e-05	0.021743483	1.9826119	5.8071753e-05	1.982595	5.8067615e-05	2.0929279e-05	1.8116197	1.5503195	0.02025069	-0.73321912	0.24883684	-0.037858365	-0.24902475	0.037855545	-0.012874738	1.983823	0.013748378	1.4935756e-05	0.021436052	0.018477867	5.8069815e-05	0.018496024	5.8065677e-05	2.0929357e-05	0.17589425	0.013750061	7.8284154	7.5784367	1.1670689	7.1021538	1.1677701	7.1016719	2.7717612	4.6585303	-62.977983	R0:N12:S0:1	-60.693333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:47
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	10.124444	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	1.9999998	0.98225439	1.4368461e-05	0.0067634572	1.2934568	6.3678377e-05	0.77050111	6.3023137e-05	0.00012440867	1.999997	1.982254	0.021363266	-0.46289137	0.51599734	-0.044780429	-0.89086601	0.044360902	-0.062949691	3.3825192e-05	0.0042988497	1.4368337e-05	0.0067350378	0.89117259	6.3675964e-05	0.90811584	6.3020782e-05	0.00012439942	5.0055844e-06	0.004299108	7.9727841	7.8817439	3.0298224	7.9046227	4.8963145	7.8374781	7.9977738	0.00065187214	-63.608533	R0:N12:S0:1	-64.106667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:47
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118384	-2.1957602	-2.7381035	0.24894061	-2.7380656	0.24893761	0.29628042	-2.7779187	9.94	-0.0041921399	0.024074744	-0.025964759	0.0093092605	0.025964507	-0.0093093436	0.013099565	-0.040230488	1.3333333	2	0.99652433	1.1218372e-05	0.0029713823	1.9764126	5.0880217e-05	0.034308509	5.0474294e-05	9.8314483e-05	1.9999998	1.9965242	0.018926964	-0.30797327	0.0070629341	-0.040330497	-0.57680966	0.040070097	-0.056052416	1.191291e-05	0.00086371922	1.1218298e-05	0.0029659515	0.046489302	5.0878689e-05	0.056894845	5.0472794e-05	9.8308785e-05	3.4442898e-07	0.00086381186	7.9879235	7.9482476	0.098780111	7.9985977	7.7255546	7.9568228	7.9983236	0.00041134107	-64.564174	R0:N12:S0:1	-67.52	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-07-04@13:48
