model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	ave_e	ave_mu	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	28	12	7	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	11.6	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.6667616	0.00038285701	5.215134e-07	1.9996561	1.9997266	2.5264746e-06	1.9997266	2.5265521e-06	4.9106932e-06	1.9993594	1.0003803	0.0028761528	-0.074178288	0.066128273	-0.0063153767	-0.066128493	0.0063154733	-0.0088320866	0.10122763	9.5679215e-05	5.2151333e-07	0.00034380898	0.00027332988	2.5264731e-06	0.0002733317	2.5265505e-06	4.9106871e-06	0.00064037925	9.6287311e-05	4.0005726	3.9994274	3.9976419	4.00236	3.9976419	4.00236	4.0007927	3.9992057	-67.304466	R0:N12:S0:1	-36.8	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 1.41e-05	 1.94e+00	2022-06-28@08:42
2x2_2C_8b_C2v_L	25.555556	11.388889	6.3888889	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	11.446667	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9981278	0.00053254884	5.377634e-07	1.9994937	1.9996259	2.6104381e-06	1.9996259	2.6105181e-06	5.0578248e-06	1.9991265	1.0005302	0.0029169409	-0.090047731	0.077392062	-0.0064077876	-0.07739248	0.0064078855	-0.008954799	0.11823989	0.00013307041	5.3776332e-07	0.00050563872	0.00037340992	2.6104364e-06	0.00037341397	2.6105164e-06	5.0578183e-06	0.00087269201	0.0001334223	4.0008387	3.999163	3.9967463	4.0032591	3.9967463	4.0032591	4.0011268	3.9988722	-66.691961	R0:N12:S0:1	-40.462222	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:42
2x2_2C_8b_C2v_L	23.111111	10.777778	5.7777778	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	11.293333	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9997372	0.00079297374	5.5643457e-07	1.9991796	1.9994557	2.7106384e-06	1.9994557	2.7107215e-06	5.2229251e-06	1.9987371	1.0007903	0.0029607355	-0.11454942	0.093268693	-0.006509604	-0.093269469	0.0065097034	-0.0090856036	0.14211826	0.00019809852	5.5643449e-07	0.00082016646	0.00054421135	2.7106366e-06	0.00054422041	2.7107197e-06	5.2229182e-06	0.0012624891	0.00019875135	4.0013261	3.9986717	3.9951822	4.0048242	3.9951823	4.0048242	4.0016703	3.9983225	-66.079819	R0:N12:S0:1	-44.124444	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:43
2x2_2C_8b_C2v_L	20.666667	10.166667	5.1666667	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	11.14	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9999054	0.001313668	5.8023337e-07	1.9984515	1.9991382	2.846393e-06	1.9991382	2.8464809e-06	5.4207967e-06	1.9980168	1.0013108	0.0030103915	-0.15734794	0.11730182	-0.0066309448	-0.11730331	0.0066310463	-0.0092302146	0.17806581	0.00032803312	5.8023328e-07	0.0015479376	0.00086168143	2.846391e-06	0.00086170338	2.8464789e-06	5.4207892e-06	0.0019822908	0.00032875435	4.0023841	3.997606	3.9920194	4.0079968	3.9920194	4.0079968	4.0025964	3.9973845	-65.468355	R0:N12:S0:1	-47.786667	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:43
2x2_2C_8b_C2v_L	18.222222	9.5555556	4.5555556	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.986667	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9999544	0.0026563765	6.2008719e-07	1.9960545	1.9984366	3.0949092e-06	1.9984365	3.0950068e-06	5.6942153e-06	1.996446	1.0026535	0.003077242	-0.25107229	0.15782913	-0.0068115979	-0.15783231	0.0068117031	-0.0094042903	0.23833358	0.00066261994	6.2008709e-07	0.0039415919	0.0015628283	3.0949069e-06	0.0015628914	3.0950044e-06	5.6942068e-06	0.0035508289	0.00066333297	4.0054845	3.9944426	3.9835572	4.0165058	3.9835571	4.0165059	4.0039606	3.9959702	-64.858433	R0:N12:S0:1	-51.448889	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:43
2x2_2C_8b_C2v_L	15.777778	8.9444444	3.9444444	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.833333	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9999747	0.009837042	7.903073e-07	1.9760278	1.9963844	4.2397245e-06	1.9963842	4.2398512e-06	6.2084948e-06	1.9918521	1.009834	0.0032771478	-0.6171988	0.23847445	-0.0074453791	-0.23848293	0.0074454914	-0.0096485329	0.36125388	0.0024400906	7.9030707e-07	0.023819995	0.0036124384	4.2397197e-06	0.003612695	4.2398464e-06	6.2084846e-06	0.0081308058	0.00244081	4.0270727	3.9697606	3.9332187	4.067445	3.9332189	4.0674448	3.9953852	4.0039128	-64.254202	R0:N12:S0:1	-55.111111	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:44
2x2_2C_8b_C2v_L	13.333333	8.3333333	3.3333333	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.68	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9999908	0.48428175	1.6471577e-05	0.11798767	1.9952563	6.1827444e-05	1.9952546	6.1826782e-05	1.3887945e-05	1.9542443	1.4842758	0.020533873	-1.6238904	0.15067243	-0.037318117	-0.15071156	0.037317239	-0.0095746194	0.99782278	0.010173728	1.6471408e-05	0.1091625	0.0047951774	6.1825272e-05	0.0047968547	6.1824611e-05	1.3888257e-05	0.045114623	0.010175333	7.6023075	6.3730196	1.2714377	6.7952469	1.2716632	6.7950417	2.5548245	5.3268883	-63.96763	R0:N12:S0:1	-58.773333	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:45
2x2_2C_8b_C2v_L	10.888889	7.7222222	2.7222222	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.526667	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	1.9999985	0.88283813	1.566908e-05	0.0113757	1.3771585	6.2915757e-05	1.0854012	5.9560525e-05	0.00013462796	1.9944458	1.8828365	0.021988956	-0.58642863	1.3534495	-0.042056497	-1.982697	0.039922874	-0.064579401	0.019018133	0.022715773	1.566893e-05	0.011293671	0.71581287	6.291344e-05	0.78471109	5.9558493e-05	0.00013461691	0.0087580615	0.022716813	7.9556591	7.805799	3.6665249	7.2626493	4.1226108	6.9235392	7.9803587	0.076915114	-64.421303	R0:N12:S0:1	-62.435556	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:46
2x2_2C_8b_C2v_L	8.4444444	7.1111111	2.1111111	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.373333	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	2	0.99419563	1.241346e-05	0.0040293466	1.876791	5.6050773e-05	0.14216646	5.5408869e-05	0.0001082507	1.9999992	1.9941955	0.019898632	-0.35837697	0.048854956	-0.04230722	-0.72579619	0.041895529	-0.058800356	1.6930841e-05	0.0014365176	1.2413369e-05	0.004019312	0.23005216	5.6048905e-05	0.24650832	5.540705e-05	0.00010824374	1.286593e-06	0.0014366431	7.9836711	7.9295461	0.52024919	7.9941747	7.2345601	7.9281499	7.9981285	0.00048271392	-65.589585	R0:N12:S0:1	-66.097778	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:46
2x2_2C_8b_C2v_L	6	6.5	1.5	0.092118349	-2.1957602	-2.7381036	0.24894063	-2.7380657	0.24893755	0.2962804	-2.7779187	10.22	-0.0041921416	0.024074753	-0.025964738	0.0093092247	0.025964511	-0.0093093643	0.013099565	-0.040230489	1.3333333	2	0.99807491	9.6462811e-06	0.0019859216	1.9970819	4.3993563e-05	0.0084503135	4.3780395e-05	8.5149155e-05	1.9999999	1.9980748	0.017557842	-0.25190361	0.00063478293	-0.037508791	-0.41942384	0.037371823	-0.052172604	9.2183956e-06	0.00047973511	9.6462263e-06	0.0019835079	0.0058193484	4.3992426e-05	0.011317304	4.377927e-05	8.51449e-05	9.4874132e-08	0.00047978343	7.9918933	7.9655388	0.012328377	7.9992188	7.8922642	7.9771757	7.9985586	0.00034525869	-66.801282	R0:N12:S0:1	-69.76	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.41e-05	 1.00e+06	2022-06-28@08:46
