CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	-0.03970604673	-73.92214324	-103.9024	6.363453741	YY	9.5	0.318030291	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.221279689	0.02023408107	1.898468698	-2.637759575	1.942231128	-3.59046973	1.705532384	-0.1934098404	1.579946399	-0.1932419042	1.579338978	-3.589153305	1.705564681	-3.088718335	1.283548838	-0.2879075396	1.991852623	a248bdd	2x2_2C_8b_C2v_L	9.54	1.299464552	2	1.643649435	0.9999999997589077	0.9999999999999998	0.1084656785	-1.092496173	-4.72165057e-05	-0.001669273914	0.0204292822	0.2577731067	-0.1925529804	1.427350289	-0.192417438	1.42835743	-0.02039733405	-0.2574882907	3.901623613e-05	-0.001297401635	0.2802342749	-0.2955188454	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0009119008844	-0.03020771013	-0.9611586314	0.518044109	-1.551199505	1.818957024	-0.1111568696	1.086600984	0.1110233174	-1.086552932	-1.55103023	1.818320449	2.046754468	-3.331795458	8.560668904e-05	-0.001631810766	2024-09-10@23:35	1.9019	-0.7044408236	1	-5.305025824e-16	-0.2847284111	0.2229	-9.210832414e-17	0.1144710572	v2.7.1	
1	Broyden	0	-0.031927359	-66.41969066	-89.8224	5.137896832	YY	9.5	0.2741864786	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.18512298	-0.03946861669	1.718081899	-2.159777924	1.892635295	-3.02520661	1.594183297	-0.2452388433	1.399009016	-0.2449508312	1.398710654	-3.023535066	1.59413609	-2.522064399	1.179149276	-0.3085330311	1.984525842	a248bdd	2x2_2C_8b_C2v_L	8.66	1.233644587	2	1.580959993	0.9999999998841056	1.0	0.1427447503	-1.74918571	8.501763261e-05	-0.0003746009063	0.02012989037	0.3474502318	-0.2557039783	1.720138045	-0.2555715435	1.720654001	-0.02010717766	-0.3473857909	2.153564259e-06	-6.700708174e-05	0.3639912699	-0.4028730813	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0001583050344	-0.001277320917	-0.9338582084	0.7492620487	-1.538825738	2.209071169	-0.07244856973	1.090676405	0.0723256667	-1.090027079	-1.53837238	2.208878524	2.053880635	-3.465799007	6.01687487e-05	-0.0003062834982	2024-09-10@23:37	1.9019	-0.8268896021	1	1.225689674e-16	-0.3560096752	0.2229	6.278332628e-17	0.1404225097	v2.7.1	
1	Broyden	0	-0.03163023215	-66.32471176	-89.6624	5.122217405	YY	9.5	0.2736704994	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.184634388	-0.03922455789	1.715559392	-2.154781147	1.891799601	-3.012880938	1.591899111	-0.2450357851	1.397894269	-0.2454280705	1.398195019	-3.015454037	1.592049906	-2.518234941	1.177940413	-0.3097182949	1.984396786	a248bdd	2x2_2C_8b_C2v_L	8.65	1.232813203	2	1.580137451	0.9999999998436662	0.9999999999999998	0.1428530327	-1.755164931	-1.771871873e-06	7.689192624e-05	0.01976135598	0.349163337	-0.255835208	1.719836965	-0.2559930513	1.719380632	-0.01990975052	-0.3489295177	-2.467440158e-05	1.764954326e-05	0.3655283166	-0.4044642367	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	2.632514459e-05	-0.0002680865344	-0.9334195889	0.7526827364	-1.537139149	2.215596281	-0.07137715966	1.087423628	0.07157585694	-1.088452938	-1.537757298	2.215585438	2.055022405	-3.467548715	4.992775514e-05	-0.0002305301863	2024-09-10@23:40	1.9019	-0.8284420911	1	-1.528814398e-16	-0.3568714875	0.2229	-1.975139232e-16	0.1407648854	v2.7.1	
1	Broyden	0	-0.03137360908	-66.2476355	-89.5024	5.106325953	YY	9.5	0.2731400961	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.184135832	-0.03942006294	1.712778596	-2.149212623	1.890883638	-3.010979746	1.590447983	-0.246249587	1.396895716	-0.2458915024	1.397220169	-3.0064724	1.589945454	-2.51172738	1.176399012	-0.3108688027	1.984323418	a248bdd	2x2_2C_8b_C2v_L	8.64	1.231949646	2	1.579315953	0.9999999998445874	1.0	0.1431673702	-1.762163991	-5.377143392e-05	2.181811321e-05	0.01977456738	0.3502489661	-0.2568283381	1.720437208	-0.256439175	1.718789073	-0.01980597174	-0.3505525651	7.83035603e-05	-0.0002507408791	0.3665499895	-0.4056753148	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.000270115126	0.00235115469	-0.9330463179	0.7564565008	-1.538105776	2.220935987	-0.07113383182	1.087842975	0.07089561485	-1.087643304	-1.536918258	2.221995355	2.055107254	-3.469459301	1.586600627e-05	-0.0001998758794	2024-09-10@23:43	1.9019	-0.8300058674	1	-6.511340887e-17	-0.3577546413	0.2229	-4.691433757e-17	0.1411184152	v2.7.1	
1	Broyden	0	-0.03108800221	-66.16880173	-89.3424	5.091372662	YY	9.5	0.2725949985	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.183664847	-0.03901274895	1.710663952	-2.147229856	1.890222231	-3.003744285	1.588425158	-0.2472819084	1.397495005	-0.2469519949	1.397732565	-3.001377991	1.588182993	-2.504766794	1.175020832	-0.3105033001	1.984246417	a248bdd	2x2_2C_8b_C2v_L	8.63	1.231099773	2	1.578526725	0.9999999998372213	0.9999999999999996	0.1432054484	-1.767378235	5.932585777e-05	-0.0001708125511	0.01974296884	0.3517314865	-0.2574398955	1.718008363	-0.2571807214	1.717161432	-0.01960209701	-0.352129725	1.382143731e-05	-7.756494738e-05	0.3672387176	-0.4067225608	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.000122859756	-0.001059438285	-0.9331194749	0.7593017748	-1.537812579	2.227476619	-0.07035055349	1.085647145	0.07021354064	-1.085348101	-1.53712695	2.227921678	2.05494099	-3.471014271	2.180232336e-05	-0.000128191908	2024-09-10@23:46	1.9019	-0.8314761821	1	-1.501208925e-16	-0.3585809406	0.2229	-7.624189777e-17	0.1414455836	v2.7.1	
1	Broyden	0	-0.03085859381	-66.08905817	-89.1824	5.076291653	YY	9.5	0.2720566151	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.183185674	-0.03922695069	1.708290248	-2.1407543	1.889337975	-2.999698916	1.58664564	-0.2488610079	1.398653057	-0.2481675483	1.398413617	-2.995233247	1.586315467	-2.497245484	1.173456711	-0.310818142	1.984182872	a248bdd	2x2_2C_8b_C2v_L	8.62	1.230236662	2	1.577755803	0.9999999998139097	0.9999999999999999	0.1435085713	-1.773609076	7.580251798e-05	-0.00035112647	0.01975171036	0.3535421775	-0.2582082417	1.71514279	-0.2578683307	1.714812186	-0.0197098311	-0.3534699698	7.87644258e-05	-8.336775655e-05	0.36802973	-0.4078283065	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0002570560032	-0.002157103428	-0.9325892415	0.7627794412	-1.53818601	2.233631785	-0.07007907714	1.086056681	0.06994802622	-1.085487173	-1.537010685	2.234020762	2.054631615	-3.472817919	-6.815676848e-05	0.000310783623	2024-09-10@23:49	1.9019	-0.8329386984	1	-1.362778655e-17	-0.3594409262	0.2229	3.06064769e-18	0.1417782518	v2.7.1	
1	Broyden	0	-0.03054293113	-65.99900714	-89.0224	5.060375046	YY	9.5	0.271525736	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.18268573	-0.03919586103	1.705886702	-2.138413728	1.888608142	-2.986951395	1.584137133	-0.2478303881	1.39674305	-0.2489766161	1.397619519	-2.990031842	1.584360637	-2.491520738	1.172005964	-0.3116601861	1.98408775	a248bdd	2x2_2C_8b_C2v_L	8.61	1.229379445	2	1.576923495	0.999999999804838	0.9999999999999998	0.1436939705	-1.779597448	3.07088768e-05	0.0002795439744	0.01938046662	0.3547602085	-0.2580191507	1.714583841	-0.2584530412	1.714208771	-0.01947772766	-0.3553710663	-6.687410532e-05	-0.0001999575893	0.3692007949	-0.4091731665	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.0002689128159	-0.002499197857	-0.9326029935	0.7659903958	-1.536302184	2.240846128	-0.06915903588	1.083915219	0.06917888959	-1.084276217	-1.53717416	2.240582272	2.05503313	-3.474652183	0.0003007636531	-0.001510992102	2024-09-10@23:52	1.9019	-0.8345078411	1	-3.246156661e-16	-0.360317862	0.2229	2.933467766e-16	0.1421310192	v2.7.1	
1	Broyden	0	-0.03030971235	-65.93861521	-88.8624	5.045449865	YY	9.5	0.2709784109	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.182208666	-0.03938313496	1.703393244	-2.13124104	1.887672735	-2.990068949	1.58314959	-0.2506569146	1.398035992	-0.2500779095	1.398611546	-2.984089525	1.582443211	-2.484296176	1.170513387	-0.3123299046	1.984027074	a248bdd	2x2_2C_8b_C2v_L	8.6	1.228501223	2	1.5761594	0.9999999998055276	0.9999999999999999	0.1440169985	-1.785892606	-7.775910884e-05	3.507334408e-05	0.01961146554	0.3562247924	-0.2596043939	1.713773933	-0.2592014726	1.711151132	-0.01950732245	-0.3565587273	6.420572432e-05	-2.789290589e-05	0.3700283604	-0.4102862261	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0003914806857	0.003479566663	-0.9319778358	0.7695584686	-1.538664144	2.245245517	-0.06886405786	1.083285422	0.06887961852	-1.083952143	-1.537133568	2.24683827	2.054803103	-3.476336268	-0.0001699864892	0.000764481242	2024-09-10@23:55	1.9019	-0.8359542417	1	-3.359384485e-16	-0.3611629781	0.2229	5.541945683e-16	0.1424636845	v2.7.1	
1	Broyden	0	-0.02994382354	-65.83934236	-88.7024	5.029626355	YY	9.5	0.2704568913	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.181710714	-0.03888173349	1.700754299	-2.128354244	1.886840752	-2.976637067	1.58047108	-0.2504252327	1.397293118	-0.250220021	1.397493588	-2.975938193	1.580274449	-2.478847174	1.169110074	-0.3130099287	1.983921248	a248bdd	2x2_2C_8b_C2v_L	8.59	1.227655318	2	1.57532928	0.9999999998048188	1.0	0.1440706681	-1.791915169	4.645368334e-06	-0.000218214628	0.01916752486	0.3581296603	-0.2596822923	1.712033109	-0.259563854	1.710631447	-0.01933246445	-0.3575696826	8.81349799e-06	1.301654969e-05	0.3711641866	-0.4116128542	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0001107924631	0.001046060789	-0.9318787341	0.773094254	-1.536771654	2.252902646	-0.06768248834	1.079754384	0.06793152463	-1.081131316	-1.536550423	2.253652704	2.055335647	-3.478161708	-1.002842006e-05	5.193711106e-05	2024-09-10@23:58	1.9019	-0.8375145109	1	-8.656292485e-17	-0.3620314438	0.2229	-2.035524334e-16	0.1428147318	v2.7.1	
1	Broyden	0	-0.02969971308	-65.7688366	-88.5424	5.014056082	YY	9.5	0.2699185631	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.181214911	-0.03904656628	1.698111648	-2.121849663	1.885865067	-2.975859751	1.579211397	-0.2526679043	1.397508178	-0.2506963267	1.397783965	-2.969087895	1.578143664	-2.472259434	1.167599125	-0.3137905293	1.983849842	a248bdd	2x2_2C_8b_C2v_L	8.58	1.22677756	2	1.574529599	0.9999999997981048	1.0	0.1443212025	-1.798322808	-0.0001349281095	0.0001654334097	0.01935513447	0.3595982652	-0.2610046511	1.711895386	-0.2599992602	1.707737242	-0.01915563996	-0.3593268072	-1.125769391e-05	8.757118351e-05	0.3721451037	-0.4128278832	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0002635816924	0.002429457845	-0.9314101107	0.7769004135	-1.538039203	2.257572053	-0.06753582596	1.080383477	0.06755695879	-1.081318092	-1.536157083	2.260540844	2.055354246	-3.47995822	8.51587316e-05	-0.000329210084	2024-09-11@00:01	1.9019	-0.8390311758	1	5.628653801e-18	-0.3629038391	0.2229	-3.462039555e-16	0.143160692	v2.7.1	
